start_record,end_record,start_global_step,end_global_step,loss_mean,loss_min,loss_max,batch_time_mean,num_records
99216,103349,24804,25837,3.3027767295597483,2.821,3.947,0.8548768746976294,4134
103350,107483,25837,26871,3.2959131591678763,2.778,3.883,0.8554620222544751,4134
107484,111617,26871,27904,3.286063618771166,2.674,4.004,0.855426221577165,4134
111618,115751,27904,28938,3.276227382680213,2.773,3.878,0.8554158200290276,4134
115752,119885,28938,29971,3.2682876149008226,2.728,3.8,0.8554489598451862,4134
119886,124019,29971,31005,3.260475084663764,2.661,3.893,0.8560387034349298,4134
124020,128153,31005,32038,3.2515275761973874,2.633,3.863,0.8554368650217706,4134
128154,132287,32038,33072,3.2499784712143205,2.724,3.845,0.8553480890179003,4134
132288,136421,33072,34105,3.2404990324141267,2.683,3.835,0.8550665215287857,4134
136422,140555,34105,35139,3.2336531204644414,2.756,3.849,0.8556695694242864,4134
140556,144689,35139,36172,3.227539671020803,2.655,3.788,0.8562005321722302,4134
144690,148823,36172,37206,3.225642718916304,2.683,3.811,0.8553681664247702,4134
148824,152957,37206,38239,3.216747460087083,2.671,3.862,0.8551298984034833,4134
152958,157091,38239,39273,3.214597968069666,2.671,3.913,0.8553113207547169,4134
157092,161225,39273,40306,3.2050974842767297,2.738,3.758,0.8553567972907595,4134
161226,165359,40306,41340,3.2019997581035318,2.646,3.826,0.8549574262215771,4134
165360,169493,41340,42373,3.199339138848573,2.557,3.884,0.8553776003870344,4134
169494,173627,42373,43407,3.192290517658442,2.598,3.765,0.855459603289792,4134
173628,177761,43407,44440,3.18799854862119,2.663,3.867,0.8554995162070633,4134
177762,181895,44440,45474,3.1866526366715044,2.64,3.727,0.8554799225931301,4134
181896,186029,45474,46507,3.178452830188679,2.652,3.796,0.8555082244799226,4134
186030,190163,46507,47541,3.1760919206579583,2.511,3.691,0.8554404934687954,4134
190164,194297,47541,48574,3.167583938074504,2.571,3.675,0.8555050798258346,4134
194298,198431,48574,49608,3.1710791001451377,2.6,3.676,0.8552087566521529,4134
198432,202565,49608,50641,3.1604429124334783,2.591,3.887,0.855614900822448,4134
202566,206699,50641,51675,3.1631990807934205,2.551,3.762,0.8556627963231737,4134
206700,210833,51675,52708,3.156933236574746,2.606,3.796,0.8558674407353652,4134
210834,214967,52708,53742,3.1565723270440254,2.584,3.806,0.8555435413642961,4134
214968,219101,53742,54775,3.1525662796323175,2.435,3.72,0.8555416061925496,4134
219102,223235,54775,55809,3.1539719400096757,2.685,3.793,0.8555304789550072,4134
223236,227369,55809,56842,3.1399242864054187,2.593,3.759,0.8550863570391872,4134
227370,231503,56842,57876,3.144190130624093,2.485,3.655,0.8562755200774068,4134
231504,235637,57876,58909,3.13935389453314,2.622,3.715,0.8560079825834542,4134
235638,239771,58909,59943,3.137755926463474,2.534,3.933,0.8557815674891146,4134
239772,243905,59943,60976,3.1335544267053703,2.543,3.699,0.8559172714078375,4134
243906,248039,60976,62010,3.129921383647799,2.609,3.715,0.8559966134494437,4134
248040,252173,62010,63043,3.1319351717464925,2.596,3.776,0.8555486211901306,4134
252174,256307,63043,64077,3.12736816642477,2.6,3.71,0.8555735365263667,4134
256308,260441,64077,65110,3.1238725205612,2.564,3.699,0.8553224479922593,4134
260442,264575,65110,66144,3.121065312046444,2.408,3.727,0.8555919206579584,4134
264576,268709,66144,67177,3.1217510885341073,2.634,3.751,0.8555793420416061,4134
268710,272843,67177,68211,3.1194315432994677,2.589,3.686,0.8556821480406386,4134
272844,276977,68211,69244,3.112933962264151,2.593,3.809,0.8556884373488147,4134
276978,281111,69244,70278,3.111247701983551,2.595,3.689,0.8560752298016449,4134
281112,285245,70278,71311,3.1094700048379296,2.505,3.794,0.8553601838413158,4134
285246,289379,71311,72345,3.102599419448476,2.555,3.654,0.8559417029511369,4134
289380,293513,72345,73378,3.1031717464925013,2.523,3.69,0.855892114175133,4134
293514,297647,73378,74412,3.103177793904209,2.508,3.787,0.8556511852926947,4134
297648,301781,74412,75445,3.1008894533139815,2.536,3.734,0.8556078858248669,4134
301782,305915,75445,76479,3.0990868408321237,2.641,3.717,0.8558584905660377,4134
305916,310049,76479,77512,3.0971221577164973,2.553,3.605,0.8557576197387518,4134
310050,314183,77512,78546,3.094213352685051,2.284,3.683,0.8556804547653604,4134
314184,318317,78546,79579,3.0971344944363812,2.465,3.759,0.8552402031930334,4134
