key,kind,left_pattern_id,right_pattern_id,gap_bucket,left_pattern,right_pattern,train_support,valid_support,npmi,heldout_log_rate_diff,document_count,document_coverage
1115234,hetero,17,140,2,' ' --d=2--> '.','3' --d=1--> '.',28,8,0.15605957,0.11277141,34,0.00340000
3145881,hetero,48,19,1,' ' --d=2--> '1',' ' --d=3--> '.',28,10,0.14972744,0.33591496,33,0.00330000
7995458,hetero,122,8,2,'0' --d=3--> ' ','0' --d=1--> '0',28,5,0.14395222,0.35723222,30,0.00300000
3145880,hetero,48,19,0,' ' --d=2--> '1',' ' --d=3--> '.',28,8,0.11758805,0.11277141,33,0.00330000
2425128,self,37,37,0,' ' --d=2--> '9',' ' --d=2--> '9',28,7,0.11494954,0.02075999,32,0.00320000
1114546,hetero,17,54,2,' ' --d=2--> '.',' ' --d=1--> '5',28,8,0.10059337,0.11277141,34,0.00340000
2099360,hetero,32,276,0,' ' --d=1--> ' ','\n' --d=2--> ' ',27,9,0.25224385,0.26692209,20,0.00200000
2097696,hetero,32,68,0,' ' --d=1--> ' ','1' --d=1--> '.',27,12,0.16874563,0.55460416,34,0.00340000
2097826,hetero,32,84,2,' ' --d=1--> ' ',' ' --d=2--> '3',27,12,0.14225310,0.55460416,33,0.00330000
6226058,hetero,95,17,2,' ' --d=1--> '6',' ' --d=2--> '.',27,8,0.12930028,0.14913905,32,0.00320000
18087960,hetero,276,3,0,'\n' --d=2--> ' ',' ' --d=1--> '1',27,6,0.12416979,0.13854302,26,0.00260000
5898282,hetero,90,5,2,' ' --d=3--> ' ',' ' --d=1--> '2',27,8,0.11934504,0.14913905,31,0.00310000
1114497,hetero,17,48,1,' ' --d=2--> '.',' ' --d=2--> '1',27,5,0.11847994,0.32086458,31,0.00310000
197330,hetero,3,90,2,' ' --d=1--> '1',' ' --d=3--> ' ',27,7,0.10379871,0.01560766,32,0.00320000
198818,hetero,3,276,2,' ' --d=1--> '1','\n' --d=2--> ' ',27,10,0.10379871,0.37228260,30,0.00300000
199466,hetero,3,357,2,' ' --d=1--> '1','1' --d=2--> '7',27,6,0.10185182,0.13854302,27,0.00270000
25100314,hetero,383,3,2,'1' --d=2--> '3',' ' --d=1--> '1',27,7,0.10160318,0.01560766,31,0.00310000
1114769,hetero,17,82,1,' ' --d=2--> '.','2' --d=1--> '.',26,8,0.16472194,0.18687938,31,0.00310000
7996368,self,122,122,0,'0' --d=3--> ' ','0' --d=3--> ' ',26,8,0.14952825,0.18687938,30,0.00300000
13500473,hetero,206,7,1,'0' --d=3--> '2','2' --d=1--> '0',26,6,0.12253465,0.10080269,29,0.00290000
4849722,hetero,74,7,2,'1' --d=3--> ' ','2' --d=1--> '0',26,7,0.11216633,0.05334799,30,0.00300000
1376681,hetero,21,53,1,"',' --d=1--> ' '","',' --d=2--> '2'",26,8,0.10781183,0.18687938,30,0.00300000
4980962,hetero,76,28,2,'1' --d=1--> '1','2' --d=2--> '1',26,6,0.10533222,0.10080269,29,0.00290000
18089490,hetero,276,194,2,'\n' --d=2--> ' ','\n' --d=1--> ' ',25,6,0.33034745,0.06158198,19,0.00190000
