key,kind,left_pattern_id,right_pattern_id,gap_bucket,left_pattern,right_pattern,train_support,valid_support,npmi,heldout_log_rate_diff,document_count,document_coverage
39125608,hetero,597,77,0,' about' --d=1--> ' ','1' --d=2--> '0',33,7,0.28424665,0.18506304,40,0.00400000
12715402,hetero,194,177,2,'\n' --d=1--> ' ','0' --d=1--> '.',33,7,0.28415829,0.18506304,26,0.00260000
48040768,hetero,733,360,0,'7' --d=3--> '2','0' --d=2--> '7',33,7,0.28218748,0.18506304,29,0.00290000
50006848,hetero,763,360,0,'9' --d=3--> '2','0' --d=2--> '7',33,7,0.27875158,0.18506304,37,0.00370000
657121,hetero,10,220,1,"',' --d=1--> ' but'","' can' --d=1--> ""'t""",33,8,0.27526366,0.05153164,40,0.00400000
8198601,hetero,125,825,1,' in' --d=1--> ' ','9' --d=1--> '2',33,8,0.27232252,0.05153164,36,0.00360000
35720944,hetero,545,478,0,'1' --d=2--> '-','0' --d=1--> '3',33,5,0.26998311,0.52153527,17,0.00170000
7672593,hetero,117,610,1,'2' --d=3--> '2','0' --d=2--> '-',33,6,0.26624603,0.33921372,18,0.00180000
48038465,hetero,733,72,1,'7' --d=3--> '2','1' --d=1--> '2',33,12,0.26576498,0.35393346,42,0.00420000
46139834,hetero,704,311,2,'-' --d=1--> '0','0' --d=1--> '2',33,6,0.26498846,0.33921372,26,0.00260000
658096,hetero,10,342,0,"',' --d=1--> ' but'",' I' --d=2--> ' it',33,14,0.26288564,0.50808414,45,0.00450000
2044832,hetero,31,1652,0,'1' --d=1--> '9','6' --d=1--> '8',33,6,0.25763231,0.33921372,33,0.00330000
9969249,hetero,152,972,1,'1' --d=2--> ' ','0' --d=3--> '\n',33,7,0.25721456,0.18506304,33,0.00330000
47057480,hetero,718,329,0,'/' --d=2--> '0','0' --d=1--> '8',33,12,0.25670632,0.35393346,18,0.00180000
10027136,hetero,153,16,0,'.' --d=1--> ' In',' ' --d=3--> '0',33,5,0.25350010,0.52153527,36,0.00360000
7673265,hetero,117,694,1,'2' --d=3--> '2','0' --d=2--> '\n\n',33,8,0.25315060,0.05153164,39,0.00390000
24053808,hetero,367,262,0,' (' --d=1--> '1','9' --d=2--> '0',33,6,0.25257451,0.33921372,35,0.00350000
281084112,hetero,4289,26,0,' December' --d=2--> '2','0' --d=1--> '1',33,6,0.25252998,0.33921372,29,0.00290000
34212425,hetero,522,329,1,'/' --d=1--> '2','0' --d=1--> '8',33,12,0.25250975,0.35393346,18,0.00180000
4853490,hetero,74,478,2,'1' --d=3--> ' ','0' --d=1--> '3',33,11,0.24821785,0.26692209,28,0.00280000
50005944,hetero,763,247,0,'9' --d=3--> '2','0' --d=2--> '3',33,7,0.24778101,0.18506304,39,0.00390000
6685114,hetero,102,55,2,' you' --d=2--> ' to',"',' --d=1--> ' you'",33,8,0.24724974,0.05153164,41,0.00410000
8003817,hetero,122,1053,1,'0' --d=3--> ' ',':' --d=1--> '5',33,6,0.24722485,0.33921372,32,0.00320000
256573648,hetero,3915,26,0,' March' --d=2--> '2','0' --d=1--> '1',33,9,0.24714165,0.06625139,37,0.00370000
51118297,hetero,780,27,1,'6' --d=3--> '2','1' --d=1--> '0',33,8,0.24486904,0.05153164,38,0.00380000
538872,hetero,8,1823,0,'0' --d=1--> '0','-' --d=3--> '0',33,11,0.24347004,0.26692209,39,0.00390000
35261080,hetero,538,339,0,'7' --d=2--> ' ','2' --d=3--> '7',33,6,0.24030842,0.33921372,28,0.00280000
10815448,hetero,165,251,0,' ' --d=1--> '9','-' --d=1--> '1',33,6,0.23643107,0.33921372,21,0.00210000
7219890,hetero,110,1366,2,'1' --d=1--> '3','7' --d=1--> ':',33,6,0.23541134,0.33921372,17,0.00170000
468409,hetero,7,1207,1,'2' --d=1--> '0','7' --d=3--> ' ',33,11,0.23526157,0.26692209,23,0.00230000
210698448,hetero,3215,26,0,' June' --d=2--> '2','0' --d=1--> '1',33,8,0.23225965,0.05153164,33,0.00330000
2426769,hetero,37,242,1,' ' --d=2--> '9','5' --d=1--> '.',33,7,0.22343437,0.18506304,35,0.00350000
2752536,hetero,42,3,0,' from' --d=1--> ' the',' ' --d=1--> '1',33,5,0.22132833,0.52153527,34,0.00340000
72352169,hetero,1104,53,1,' May' --d=1--> ' ',"',' --d=2--> '2'",33,9,0.22102432,0.06625139,38,0.00380000
4985848,hetero,76,639,0,'1' --d=1--> '1',':' --d=1--> '0',33,8,0.21955433,0.05153164,36,0.00360000
116064425,hetero,1771,21,1,' December' --d=1--> ' ',"',' --d=1--> ' '",33,5,0.21915078,0.52153527,36,0.00360000
11600473,hetero,177,75,1,'0' --d=1--> '.','0' --d=3--> '0',33,6,0.21850985,0.33921372,24,0.00240000
11993097,hetero,183,1,1,' able' --d=1--> ' to',' the' --d=2--> ' of',33,6,0.21850134,0.33921372,39,0.00390000
