model_seed,step,set_name,split_id,layer,token_count,c_norm,cos_to_set_global,common_margin,common_winner,set_global_margin,set_global_winner,winner_matches_set_global
0,10,primary,7,4,32768,22.23154067993164,0.999936580657959,0.7044563293457031,1,0.7137305736541748,1,1
0,10,primary,0,5,32768,21.897640228271484,0.9999524354934692,1.1740695238113403,6,1.166936993598938,6,1
0,10,primary,1,5,32768,22.22391128540039,0.9999563694000244,1.1666921377182007,6,1.166936993598938,6,1
0,10,primary,2,5,32768,22.279624938964844,0.9999773502349854,1.164292335510254,6,1.166936993598938,6,1
0,10,primary,3,5,32768,22.00133514404297,0.9999536275863647,1.143544316291809,6,1.166936993598938,6,1
0,10,primary,4,5,32768,22.2262020111084,0.9999210834503174,1.1378259658813477,6,1.166936993598938,6,1
0,10,primary,5,5,32768,22.359432220458984,0.9999687671661377,1.1891734600067139,6,1.166936993598938,6,1
0,10,primary,6,5,32768,22.18929672241211,0.9999622106552124,1.1790335178375244,6,1.166936993598938,6,1
0,10,primary,7,5,32768,22.27384376525879,0.9999551773071289,1.18086576461792,6,1.166936993598938,6,1
0,10,secondary,0,0,32768,16.531110763549805,0.9661250114440918,0.13298344612121582,4,0.03212249279022217,4,1
0,10,secondary,1,0,32768,15.18451976776123,0.9946167469024658,0.0829000473022461,4,0.03212249279022217,4,1
0,10,secondary,2,0,32768,14.345608711242676,0.9961753487586975,0.02821826934814453,2,0.03212249279022217,4,0
0,10,secondary,3,0,32768,14.652252197265625,0.9922630190849304,0.0013540685176849365,2,0.03212249279022217,4,0
0,10,secondary,4,0,32768,14.893529891967773,0.9970158338546753,0.02583351731300354,2,0.03212249279022217,4,0
0,10,secondary,5,0,32768,14.535367965698242,0.9950597286224365,0.027201980352401733,2,0.03212249279022217,4,0
0,10,secondary,6,0,32768,15.226797103881836,0.9948903918266296,0.0016165375709533691,4,0.03212249279022217,4,1
0,10,secondary,7,0,32768,14.937186241149902,0.9925572276115417,0.045787304639816284,2,0.03212249279022217,4,0
0,10,secondary,0,1,32768,21.530412673950195,0.996319591999054,0.18059277534484863,5,0.0881805419921875,5,1
0,10,secondary,1,1,32768,21.36091423034668,0.9993606805801392,0.11509430408477783,5,0.0881805419921875,5,1
0,10,secondary,2,1,32768,21.034259796142578,0.9993753433227539,0.054684579372406006,5,0.0881805419921875,5,1
0,10,secondary,3,1,32768,21.34304428100586,0.9990876317024231,0.07070410251617432,5,0.0881805419921875,5,1
0,10,secondary,4,1,32768,21.347326278686523,0.9995801448822021,0.07476586103439331,5,0.0881805419921875,5,1
0,10,secondary,5,1,32768,21.285158157348633,0.9993463158607483,0.11544990539550781,5,0.0881805419921875,5,1
0,10,secondary,6,1,32768,21.445213317871094,0.9993259310722351,0.03936582803726196,5,0.0881805419921875,5,1
0,10,secondary,7,1,32768,21.31791114807129,0.9990462064743042,0.054786741733551025,5,0.0881805419921875,5,1
0,10,secondary,0,2,32768,22.064083099365234,0.9984777569770813,0.09540468454360962,7,0.12010461091995239,7,1
0,10,secondary,1,2,32768,21.993501663208008,0.999785304069519,0.11950039863586426,7,0.12010461091995239,7,1
0,10,secondary,2,2,32768,21.774808883666992,0.9996460676193237,0.13724446296691895,7,0.12010461091995239,7,1
0,10,secondary,3,2,32768,21.967449188232422,0.9996674656867981,0.13994812965393066,7,0.12010461091995239,7,1
0,10,secondary,4,2,32768,21.942157745361328,0.9998191595077515,0.13027197122573853,7,0.12010461091995239,7,1
0,10,secondary,5,2,32768,21.901412963867188,0.9997583627700806,0.119232177734375,7,0.12010461091995239,7,1
0,10,secondary,6,2,32768,21.9997501373291,0.9997373223304749,0.12035501003265381,7,0.12010461091995239,7,1
0,10,secondary,7,2,32768,21.956209182739258,0.9996693134307861,0.0988801121711731,7,0.12010461091995239,7,1
0,10,secondary,0,3,32768,22.2313289642334,0.999146044254303,0.4828634560108185,2,0.4498983919620514,2,1
0,10,secondary,1,3,32768,22.168624877929688,0.9998862743377686,0.4724624752998352,2,0.4498983919620514,2,1
0,10,secondary,2,3,32768,22.00787353515625,0.9997656345367432,0.43743979930877686,2,0.4498983919620514,2,1
0,10,secondary,3,3,32768,22.142108917236328,0.9998036026954651,0.4186135530471802,2,0.4498983919620514,2,1
0,10,secondary,4,3,32768,22.098791122436523,0.9998995065689087,0.4293922185897827,2,0.4498983919620514,2,1
0,10,secondary,5,3,32768,22.061655044555664,0.9998629689216614,0.45222145318984985,2,0.4498983919620514,2,1
0,10,secondary,6,3,32768,22.14457893371582,0.9998531341552734,0.44265127182006836,2,0.4498983919620514,2,1
0,10,secondary,7,3,32768,22.13787841796875,0.9998206496238708,0.4635428190231323,2,0.4498983919620514,2,1
