size,method,step,task,source_layer,target_layer,target_token_offset,recall_k,correct,total,recall
L,baseline,352000,same_token,1,19,0,2,9409,16384,0.57427978515625
L,baseline,352000,same_token,1,19,0,4,12430,16384,0.7586669921875
L,baseline,352000,same_token,1,20,0,1,6975,16384,0.42572021484375
L,baseline,352000,same_token,1,20,0,2,9452,16384,0.576904296875
L,baseline,352000,same_token,1,20,0,4,12334,16384,0.7528076171875
L,baseline,352000,same_token,1,21,0,1,6285,16384,0.38360595703125
L,baseline,352000,same_token,1,21,0,2,8807,16384,0.53753662109375
L,baseline,352000,same_token,1,21,0,4,12025,16384,0.73394775390625
L,baseline,352000,same_token,1,22,0,1,6100,16384,0.372314453125
L,baseline,352000,same_token,1,22,0,2,8601,16384,0.52496337890625
L,baseline,352000,same_token,1,22,0,4,11800,16384,0.72021484375
L,baseline,352000,same_token,1,23,0,1,6585,16384,0.40191650390625
L,baseline,352000,same_token,1,23,0,2,9149,16384,0.55841064453125
L,baseline,352000,same_token,1,23,0,4,12346,16384,0.7535400390625
L,baseline,352000,same_token,1,24,0,1,5625,16384,0.34332275390625
L,baseline,352000,same_token,1,24,0,2,8216,16384,0.50146484375
L,baseline,352000,same_token,1,24,0,4,11672,16384,0.71240234375
L,baseline,352000,same_token,1,25,0,1,5788,16384,0.353271484375
L,baseline,352000,same_token,1,25,0,2,8278,16384,0.5052490234375
L,baseline,352000,same_token,1,25,0,4,11734,16384,0.7161865234375
L,baseline,352000,same_token,1,26,0,1,4911,16384,0.29974365234375
L,baseline,352000,same_token,1,26,0,2,7777,16384,0.47467041015625
L,baseline,352000,same_token,1,26,0,4,11575,16384,0.70648193359375
L,baseline,352000,same_token,1,27,0,1,4854,16384,0.2962646484375
L,baseline,352000,same_token,1,27,0,2,7762,16384,0.4737548828125
L,baseline,352000,same_token,1,27,0,4,11647,16384,0.71087646484375
L,baseline,352000,same_token,2,3,0,1,8923,16384,0.54461669921875
L,baseline,352000,same_token,2,3,0,2,11347,16384,0.69256591796875
L,baseline,352000,same_token,2,3,0,4,14108,16384,0.861083984375
L,baseline,352000,same_token,2,4,0,1,8309,16384,0.50714111328125
L,baseline,352000,same_token,2,4,0,2,10896,16384,0.6650390625
L,baseline,352000,same_token,2,4,0,4,13533,16384,0.82598876953125
L,baseline,352000,same_token,2,5,0,1,8282,16384,0.5054931640625
