dim,seed,variant,switch_step,switch_reason,switch_full_accuracy,switch_to_K_accuracy,switch_non_K_accuracy,switch_value_output_direction_K_alignment,initial_loss,final_loss,initial_non_K_loss,final_non_K_loss,final_full_accuracy,final_to_K_accuracy,final_non_K_accuracy,first_stable_all_post_step,first_stable_non_K_post_step,final_adapter_norm,final_adapter_output_common_energy_fraction,final_adapter_input_common_energy_fraction,final_base_relative_drift,final_frozen_input_direction_angle_deg,final_frozen_output_direction_angle_deg
3,1,baseline_continue,141,detected_stable_common,0.625,1.0,0.5,0.08353003859519958,0.7341424226760864,0.02388850599527359,0.9239789843559265,0.024918893352150917,1.0,1.0,1.0,1085,1085,0.0,0.0,nan,0.8054791207764007,15.142101287841797,12.242197036743164
3,1,frozen_no_bridge,141,detected_stable_common,0.625,1.0,0.5,0.08353003859519958,0.7341424226760864,0.7341424226760864,0.9239789843559265,0.9239789843559265,0.625,1.0,0.5,,,0.0,0.0,0.14502644538879395,0.0,0.0,0.0
3,1,unconstrained_bridge,141,detected_stable_common,0.625,1.0,0.5,0.08353003859519958,0.7341424226760864,0.654281497001648,0.9239789843559265,0.7638692259788513,0.75,1.0,0.6666666865348816,,,11.275755882263184,0.6662737727165222,0.14502644538879395,0.0,0.0,0.0
3,1,common_to_residual,141,detected_stable_common,0.625,1.0,0.5,0.08353003859519958,0.7341424226760864,0.6919915676116943,0.9239789843559265,0.819713294506073,0.6875,1.0,0.5833333134651184,,,1.059691071510315,2.8390778857664714e-16,0.14502644538879395,0.0,0.0,0.0
3,1,residual_to_residual,141,detected_stable_common,0.625,1.0,0.5,0.08353003859519958,0.7341424226760864,0.667464017868042,0.9239789843559265,0.7713199257850647,0.6875,1.0,0.5833333134651184,,,3.0404348373413086,6.980800858972635e-16,0.14502644538879395,0.0,0.0,0.0
3,2,baseline_continue,96,detected_stable_common,1.0,1.0,1.0,0.9694458246231079,0.09130310267210007,0.0002529796038288623,0.08283549547195435,0.00020155812671873719,1.0,1.0,1.0,0,0,0.0,0.0,nan,0.5056319398237918,3.3717944622039795,7.573389053344727
3,2,frozen_no_bridge,96,detected_stable_common,1.0,1.0,1.0,0.9694458246231079,0.09130310267210007,0.09130310267210007,0.08283549547195435,0.08283549547195435,1.0,1.0,1.0,0,0,0.0,0.0,0.32544568181037903,0.0,0.0,0.0
3,2,unconstrained_bridge,96,detected_stable_common,1.0,1.0,1.0,0.9694458246231079,0.09130310267210007,0.05826706439256668,0.08283549547195435,0.039803892374038696,1.0,1.0,1.0,0,0,37.8945198059082,0.71296226978302,0.32544568181037903,0.0,0.0,0.0
3,2,common_to_residual,96,detected_stable_common,1.0,1.0,1.0,0.9694458246231079,0.09130310267210007,0.08946757763624191,0.08283549547195435,0.08021802455186844,1.0,1.0,1.0,0,0,0.2189902812242508,6.132042082088304e-16,0.32544568181037903,0.0,0.0,0.0
3,2,residual_to_residual,96,detected_stable_common,1.0,1.0,1.0,0.9694458246231079,0.09130310267210007,0.08902937173843384,0.08283549547195435,0.07944124191999435,1.0,1.0,1.0,0,0,0.45277389883995056,7.572168557801249e-16,0.32544568181037903,0.0,0.0,0.0
