size,method,step,layer,expert,activation_count,activation_share
L,baseline,352000,26,0,13654,0.1041717529296875
L,baseline,352000,26,1,20862,0.1591644287109375
L,baseline,352000,26,2,15102,0.1152191162109375
L,baseline,352000,26,3,12169,0.09284210205078125
L,baseline,352000,26,4,15739,0.12007904052734375
L,baseline,352000,26,5,22770,0.1737213134765625
L,baseline,352000,26,6,15388,0.117401123046875
L,baseline,352000,26,7,15388,0.117401123046875
L,baseline,352000,27,0,11749,0.08963775634765625
L,baseline,352000,27,1,19151,0.14611053466796875
L,baseline,352000,27,2,12249,0.09345245361328125
L,baseline,352000,27,3,24069,0.18363189697265625
L,baseline,352000,27,4,15269,0.11649322509765625
L,baseline,352000,27,5,13490,0.1029205322265625
L,baseline,352000,27,6,20054,0.1529998779296875
L,baseline,352000,27,7,15041,0.11475372314453125
L,proposed,352000,0,0,12018,0.0916900634765625
L,proposed,352000,0,1,19001,0.14496612548828125
L,proposed,352000,0,2,12358,0.0942840576171875
L,proposed,352000,0,3,12844,0.097991943359375
L,proposed,352000,0,4,20462,0.1561126708984375
L,proposed,352000,0,5,13378,0.1020660400390625
L,proposed,352000,0,6,23747,0.18117523193359375
L,proposed,352000,0,7,17264,0.1317138671875
L,proposed,352000,1,0,14283,0.10897064208984375
L,proposed,352000,1,1,23957,0.18277740478515625
L,proposed,352000,1,2,28104,0.21441650390625
L,proposed,352000,1,3,16996,0.129669189453125
L,proposed,352000,1,4,27193,0.20746612548828125
L,proposed,352000,1,5,4724,0.036041259765625
L,proposed,352000,1,6,4830,0.0368499755859375
L,proposed,352000,1,7,10985,0.08380889892578125
L,proposed,352000,2,0,3568,0.0272216796875
L,proposed,352000,2,1,41585,0.31726837158203125
L,proposed,352000,2,2,20911,0.15953826904296875
L,proposed,352000,2,3,8777,0.06696319580078125
L,proposed,352000,2,4,5919,0.04515838623046875
L,proposed,352000,2,5,16846,0.1285247802734375
L,proposed,352000,2,6,18087,0.13799285888671875
L,proposed,352000,2,7,15379,0.11733245849609375
L,proposed,352000,3,0,21714,0.1656646728515625
L,proposed,352000,3,1,10331,0.07881927490234375
L,proposed,352000,3,2,13053,0.09958648681640625
L,proposed,352000,3,3,1898,0.0144805908203125
L,proposed,352000,3,4,16210,0.1236724853515625
L,proposed,352000,3,5,20619,0.15731048583984375
L,proposed,352000,3,6,30085,0.22953033447265625
L,proposed,352000,3,7,17162,0.1309356689453125
L,proposed,352000,4,0,37767,0.28813934326171875
L,proposed,352000,4,1,4348,0.033172607421875
L,proposed,352000,4,2,25938,0.1978912353515625
L,proposed,352000,4,3,15206,0.1160125732421875
L,proposed,352000,4,4,5509,0.04203033447265625
L,proposed,352000,4,5,8602,0.0656280517578125
L,proposed,352000,4,6,21141,0.16129302978515625
L,proposed,352000,4,7,12561,0.09583282470703125
L,proposed,352000,5,0,20403,0.15566253662109375
L,proposed,352000,5,1,17219,0.13137054443359375
L,proposed,352000,5,2,18398,0.1403656005859375
L,proposed,352000,5,3,4717,0.03598785400390625
L,proposed,352000,5,4,4464,0.0340576171875
L,proposed,352000,5,5,15999,0.12206268310546875
L,proposed,352000,5,6,28001,0.21363067626953125
L,proposed,352000,5,7,21871,0.16686248779296875
L,proposed,352000,6,0,7420,0.056610107421875
L,proposed,352000,6,1,7686,0.0586395263671875
L,proposed,352000,6,2,9456,0.0721435546875
L,proposed,352000,6,3,42263,0.32244110107421875
L,proposed,352000,6,4,22113,0.16870880126953125
L,proposed,352000,6,5,21522,0.1641998291015625
L,proposed,352000,6,6,16882,0.1287994384765625
L,proposed,352000,6,7,3730,0.0284576416015625
L,proposed,352000,7,0,32004,0.244171142578125
L,proposed,352000,7,1,10194,0.0777740478515625
L,proposed,352000,7,2,12049,0.09192657470703125
L,proposed,352000,7,3,19460,0.148468017578125
L,proposed,352000,7,4,3658,0.0279083251953125
L,proposed,352000,7,5,6551,0.04998016357421875
L,proposed,352000,7,6,36770,0.2805328369140625
L,proposed,352000,7,7,10386,0.0792388916015625
L,proposed,352000,8,0,27420,0.209197998046875
L,proposed,352000,8,1,5758,0.0439300537109375
L,proposed,352000,8,2,11230,0.0856781005859375
L,proposed,352000,8,3,13804,0.105316162109375
L,proposed,352000,8,4,16685,0.12729644775390625
L,proposed,352000,8,5,11952,0.0911865234375
L,proposed,352000,8,6,12652,0.096527099609375
L,proposed,352000,8,7,31571,0.24086761474609375
L,proposed,352000,9,0,10454,0.0797576904296875
L,proposed,352000,9,1,4805,0.03665924072265625
L,proposed,352000,9,2,37420,0.285491943359375
L,proposed,352000,9,3,5461,0.04166412353515625
L,proposed,352000,9,4,29814,0.2274627685546875
L,proposed,352000,9,5,8209,0.06262969970703125
L,proposed,352000,9,6,18204,0.138885498046875
L,proposed,352000,9,7,16705,0.12744903564453125
L,proposed,352000,10,0,18902,0.1442108154296875
L,proposed,352000,10,1,13255,0.10112762451171875
L,proposed,352000,10,2,19177,0.14630889892578125
L,proposed,352000,10,3,13204,0.100738525390625
L,proposed,352000,10,4,28359,0.21636199951171875
L,proposed,352000,10,5,11299,0.08620452880859375
L,proposed,352000,10,6,18442,0.1407012939453125
L,proposed,352000,10,7,8434,0.0643463134765625
L,proposed,352000,11,0,7396,0.056427001953125
L,proposed,352000,11,1,18692,0.142608642578125
L,proposed,352000,11,2,20125,0.15354156494140625
L,proposed,352000,11,3,4700,0.035858154296875
L,proposed,352000,11,4,18182,0.1387176513671875
L,proposed,352000,11,5,29561,0.22553253173828125
L,proposed,352000,11,6,13045,0.09952545166015625
L,proposed,352000,11,7,19371,0.14778900146484375
L,proposed,352000,12,0,11791,0.08995819091796875
L,proposed,352000,12,1,13271,0.10124969482421875
L,proposed,352000,12,2,10125,0.07724761962890625
L,proposed,352000,12,3,12752,0.0972900390625
L,proposed,352000,12,4,21339,0.16280364990234375
L,proposed,352000,12,5,19456,0.1484375
L,proposed,352000,12,6,16512,0.1259765625
L,proposed,352000,12,7,25826,0.1970367431640625
L,proposed,352000,13,0,16614,0.1267547607421875
L,proposed,352000,13,1,20736,0.158203125
L,proposed,352000,13,2,6970,0.0531768798828125
L,proposed,352000,13,3,12510,0.0954437255859375
L,proposed,352000,13,4,13784,0.10516357421875
L,proposed,352000,13,5,25308,0.193084716796875
L,proposed,352000,13,6,15252,0.116363525390625
L,proposed,352000,13,7,19898,0.1518096923828125
L,proposed,352000,14,0,16323,0.12453460693359375
L,proposed,352000,14,1,25013,0.19083404541015625
L,proposed,352000,14,2,9741,0.07431793212890625
L,proposed,352000,14,3,42573,0.32480621337890625
L,proposed,352000,14,4,5787,0.04415130615234375
L,proposed,352000,14,5,13691,0.10445404052734375
L,proposed,352000,14,6,11285,0.08609771728515625
L,proposed,352000,14,7,6659,0.05080413818359375
L,proposed,352000,15,0,10303,0.07860565185546875
L,proposed,352000,15,1,9679,0.07384490966796875
L,proposed,352000,15,2,38529,0.29395294189453125
L,proposed,352000,15,3,13445,0.10257720947265625
L,proposed,352000,15,4,23825,0.18177032470703125
L,proposed,352000,15,5,10593,0.08081817626953125
L,proposed,352000,15,6,10579,0.08071136474609375
L,proposed,352000,15,7,14119,0.10771942138671875
L,proposed,352000,16,0,17401,0.13275909423828125
L,proposed,352000,16,1,10778,0.0822296142578125
L,proposed,352000,16,2,11720,0.08941650390625
L,proposed,352000,16,3,19894,0.1517791748046875
