variant,router_metric,seed,step,source_variant,cancel_active,slot_to_expert_NMI,per_slot_route_purity,max_load,load_entropy_norm,active_experts,target_accuracy,cross_entropy_loss,slot_component_variance_ratio,position_component_variance_ratio,residual_component_variance_ratio,alpha,cancel_until,initial_slot_minus_common_margin_mean
R2P2_alpha_0.2,dot_product,20260524,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.271345813118387e-05,0.9952529668807983,0.0018660160712897778,0.002880923682823777,0.2,,0.2502187848091125
R2P2_alpha_0.2,dot_product,20260525,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.428994805290131e-05,0.9999111294746399,5.8897636336041614e-05,3.002272751473356e-05,0.2,,0.2448952803388238
R2P2_alpha_0.2,dot_product,20260526,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.203697729077248e-05,0.9813090562820435,0.013334961608052254,0.005355962086468935,0.2,,0.3676498349756002
R2P2_alpha_0.2,dot_product,20260527,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.446575510679395e-05,0.9998133182525635,8.637418068246916e-05,0.00010038602340500802,0.2,,0.3123831532895565
R2P2_alpha_0.2,dot_product,20260528,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,2.8279021080379607e-05,0.9998225569725037,6.031800148775801e-05,0.00011714054562617093,0.2,,0.2972266353201121
R2P2_alpha_0.4,dot_product,20260521,1600,original,0,0.8417442805882993,0.9749999940395355,0.4749999940395355,0.821599217328803,4,1.0,3.12800055326079e-05,0.98912113904953,0.0034433796536177397,0.0074353693053126335,0.4,,0.24949083309620618
R2P2_alpha_0.4,dot_product,20260522,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.161081922371522e-05,0.9963670969009399,0.0009877191623672843,0.002645216416567564,0.4,,0.27545944303274156
R2P2_alpha_0.4,dot_product,20260523,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.119955144939013e-05,0.9959807395935059,0.0012568337842822075,0.0027623779606074095,0.4,,0.2967599766328931
R2P2_alpha_0.4,dot_product,20260524,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.232902345189359e-05,0.9955745339393616,0.0018021719297394156,0.0026232958771288395,0.4,,0.3583265542984009
R2P2_alpha_0.4,dot_product,20260525,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.3047228862415066e-05,0.9998953342437744,7.416866719722748e-05,3.0608585802838206e-05,0.4,,0.32736472245305775
