variant,router_metric,seed,step,source_variant,cancel_active,slot_to_expert_NMI,per_slot_route_purity,max_load,load_entropy_norm,active_experts,target_accuracy,cross_entropy_loss,slot_component_variance_ratio,position_component_variance_ratio,residual_component_variance_ratio,alpha,cancel_until
R2P2_alpha_0.2,dot_product,20260526,2,original,0,0.8343601402385008,0.9500000029802322,0.44999998807907104,0.86724891631262,4,0.25,2.814771905913949,0.404041051864624,0.488472044467926,0.10748697817325592,0.2,
R2P2_alpha_0.2,dot_product,20260526,5,original,0,0.8417442805882993,0.9749999940395355,0.4749999940395355,0.8215993033201284,4,0.9,1.3841385159641504,0.630618691444397,0.2911180853843689,0.07826316356658936,0.2,
R2P2_alpha_0.2,dot_product,20260526,10,original,0,0.8618387297192595,0.9000000059604645,0.3499999940395355,0.9703226765149491,4,1.0,0.23823997098952532,0.7966896295547485,0.16147324442863464,0.041836995631456375,0.2,
R2P2_alpha_0.2,dot_product,20260526,20,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,0.01942803245037794,0.940983772277832,0.04418632388114929,0.014829779043793678,0.2,
R2P2_alpha_0.2,dot_product,20260526,50,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,0.004379389836685732,0.9618027210235596,0.029718101024627686,0.008479150012135506,0.2,
R2P2_alpha_0.2,dot_product,20260526,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.203697729077248e-05,0.9813090562820435,0.013334961608052254,0.005355962086468935,0.2,
R2P2_alpha_0.2,dot_product,20260527,0,original,0,0.9404189282521158,0.9749999940395355,0.2750000059604645,0.9981935829744978,4,0.0,3.781044441461563,0.3717069923877716,0.5641283988952637,0.06416457146406174,0.2,
R2P2_alpha_0.2,dot_product,20260527,1,original,0,0.9057917190389746,0.9500000029802322,0.30000001192092896,0.9927376913498516,4,0.0,3.2175362026318908,0.3878677785396576,0.5457021594047546,0.06643000990152359,0.2,
R2P2_alpha_0.2,dot_product,20260527,2,original,0,0.7638096609452468,0.9249999970197678,0.4749999940395355,0.8552237173816416,4,0.5,2.699311393499374,0.4293353855609894,0.5028372406959534,0.0678272470831871,0.2,
R2P2_alpha_0.2,dot_product,20260527,5,original,0,0.8417442805882993,0.9749999940395355,0.4749999940395355,0.821599217328803,4,0.9,1.3168188581243156,0.5163871049880981,0.41253143548965454,0.07108145952224731,0.2,
R2P2_alpha_0.2,dot_product,20260527,10,original,0,0.7583580164656423,0.9249999970197678,0.42500001192092896,0.8393928003610455,4,0.825,0.45235421061515807,0.6926735043525696,0.2528393566608429,0.05448713153600693,0.2,
R2P2_alpha_0.2,dot_product,20260527,20,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,0.020115375122986733,0.972041666507721,0.018003039062023163,0.009955372661352158,0.2,
R2P2_alpha_0.2,dot_product,20260527,50,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,0.004209170135436579,0.9994446039199829,0.0002442008117213845,0.00031116537866182625,0.2,
R2P2_alpha_0.2,dot_product,20260527,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.446575510679395e-05,0.9998133182525635,8.637418068246916e-05,0.00010038602340500802,0.2,
R2P2_alpha_0.2,dot_product,20260528,0,original,0,0.8440906733385238,0.9249999970197678,0.32499998807907104,0.9877849349703044,4,0.0,3.1377434611320494,0.35893213748931885,0.49977394938468933,0.14129391312599182,0.2,
R2P2_alpha_0.2,dot_product,20260528,1,original,0,0.8340170934575095,0.9249999970197678,0.42500001192092896,0.9024600423109934,4,0.55,2.6669194877147673,0.41253113746643066,0.46379199624061584,0.1236768290400505,0.2,
R2P2_alpha_0.2,dot_product,20260528,2,original,0,0.8343601402385008,0.9500000029802322,0.44999998807907104,0.86724891631262,4,0.6,2.2156100889667867,0.5260624289512634,0.3682344853878021,0.10570310801267624,0.2,
R2P2_alpha_0.2,dot_product,20260528,5,original,0,0.7856854705501443,0.9500000029802322,0.44999998807907104,0.8318180824777693,4,0.925,0.9802760079503059,0.8321536779403687,0.11686233431100845,0.05098399892449379,0.2,
