variant,seed,step,source_variant,slot,expert,count,fraction
R2P2_alpha_0,20260524,5,original,3,0,0,0.0
R2P2_alpha_0,20260524,5,original,3,1,320,1.0
R2P2_alpha_0,20260524,5,original,3,2,0,0.0
R2P2_alpha_0,20260524,5,original,3,3,0,0.0
R2P2_alpha_0,20260524,10,original,0,0,0,0.0
R2P2_alpha_0,20260524,10,original,0,1,320,1.0
R2P2_alpha_0,20260524,10,original,0,2,0,0.0
R2P2_alpha_0,20260524,10,original,0,3,0,0.0
R2P2_alpha_0,20260524,10,original,1,0,0,0.0
R2P2_alpha_0,20260524,10,original,1,1,320,1.0
R2P2_alpha_0,20260524,10,original,1,2,0,0.0
R2P2_alpha_0,20260524,10,original,1,3,0,0.0
R2P2_alpha_0,20260524,10,original,2,0,0,0.0
R2P2_alpha_0,20260524,10,original,2,1,320,1.0
R2P2_alpha_0,20260524,10,original,2,2,0,0.0
R2P2_alpha_0,20260524,10,original,2,3,0,0.0
R2P2_alpha_0,20260524,10,original,3,0,0,0.0
R2P2_alpha_0,20260524,10,original,3,1,320,1.0
R2P2_alpha_0,20260524,10,original,3,2,0,0.0
R2P2_alpha_0,20260524,10,original,3,3,0,0.0
R2P2_alpha_0,20260524,20,original,0,0,0,0.0
R2P2_alpha_0,20260524,20,original,0,1,320,1.0
R2P2_alpha_0,20260524,20,original,0,2,0,0.0
R2P2_alpha_0,20260524,20,original,0,3,0,0.0
R2P2_alpha_0,20260524,20,original,1,0,0,0.0
R2P2_alpha_0,20260524,20,original,1,1,320,1.0
R2P2_alpha_0,20260524,20,original,1,2,0,0.0
R2P2_alpha_0,20260524,20,original,1,3,0,0.0
R2P2_alpha_0,20260524,20,original,2,0,0,0.0
R2P2_alpha_0,20260524,20,original,2,1,320,1.0
R2P2_alpha_0,20260524,20,original,2,2,0,0.0
