model,layer,band,condition,novelty,ci_low,ci_high,eligible_tokens
decommon,4,N,true,0.8653411865234375,0.8613203048706055,0.8690116882324219,4096
decommon,5,H,true,0.8772430419921875,0.8725276947021484,0.881340217590332,4096
decommon,5,M,true,0.8875045776367188,0.8826822280883789,0.8916170120239257,4096
decommon,5,T,true,0.9004745483398438,0.8951637268066406,0.9047395706176757,4096
decommon,5,N,true,0.8862762451171875,0.881599235534668,0.8904882431030273,4096
decommon,6,H,full_random,0.8818206787109375,0.8764495849609375,0.8867420196533203,4096
decommon,6,H,true,0.8712081909179688,0.8660116195678711,0.8762971878051757,4096
decommon,6,M,full_random,0.8661880493164062,0.8604267120361329,0.871605110168457,4096
decommon,6,M,nonhead_random,0.8805465698242188,0.8748397827148438,0.8856433868408203,4096
decommon,6,M,true,0.8743438720703125,0.8687057495117188,0.8793201446533203,4096
decommon,6,M,wrong_layer,0.8648223876953125,0.8591911315917968,0.8698198318481445,4096
decommon,6,T,full_random,0.8623428344726562,0.8564603805541993,0.8674776077270507,4096
decommon,6,T,nonhead_random,0.8748931884765625,0.8691940307617188,0.8799213409423828,4096
decommon,6,T,true,0.8895187377929688,0.8837038040161133,0.8947454452514648,4096
decommon,6,T,wrong_layer,0.8627471923828125,0.8566728591918945,0.8681489944458007,4096
decommon,6,N,full_random,0.8604583740234375,0.8547740936279297,0.8659061431884766,4096
decommon,6,N,true,0.8729476928710938,0.8674461364746093,0.8782197952270507,4096
decommon,6,N,wrong_layer,0.8597335815429688,0.8543697357177734,0.8651124954223632,4096
decommon,7,H,true,0.8536224365234375,0.8379653930664063,0.8651515960693359,4096
decommon,7,M,true,0.8555755615234375,0.8411231994628906,0.8669755935668946,4096
decommon,7,T,true,0.8651046752929688,0.8499164581298828,0.8774734497070312,4096
decommon,7,N,true,0.8530731201171875,0.8372188568115234,0.8652885437011719,4096
decommon,8,H,true,0.8835525512695312,0.8755941390991211,0.8895111083984375,4096
decommon,8,M,true,0.8792953491210938,0.8717405319213867,0.8851625442504882,4096
decommon,8,T,true,0.8986740112304688,0.8907848358154297,0.9045646667480469,4096
decommon,8,N,true,0.876678466796875,0.8691633224487305,0.8826297760009766,4096
decommon,9,H,true,0.8317108154296875,0.8145664215087891,0.8451694488525391,4096
decommon,9,M,true,0.8298873901367188,0.8123075485229492,0.8435520172119141,4096
decommon,9,T,true,0.8506698608398438,0.8336322784423829,0.8634872436523438,4096
decommon,9,N,true,0.8276443481445312,0.8112104415893555,0.8415342330932617,4096
