layer,D_coarse,D_coarse_ci_low,D_coarse_ci_high,D_fine,D_fine_ci_low,D_fine_ci_high,R,R_ci_low,R_ci_high
15,0.29094696044921875,0.17535855595677016,0.3918109638539025,0.29319673776626587,0.11474448487440218,0.1839911959760325,0.007702859580413316,-1.0403898321960667,-0.12333377772588443
16,0.2879571318626404,0.17534377076264762,0.38599347192813793,0.2898467183113098,0.11307474515511735,0.18101291649565127,0.006540604339668322,-1.0407243745843013,-0.13498784689592724
17,0.28176531195640564,0.17552479021723424,0.36393629727831023,0.29070839285850525,0.11453549625672364,0.18094339866972572,0.031246181010415562,-0.992753661000592,-0.1354659076806261
18,0.27731409668922424,0.1730272746042151,0.3631879229280805,0.2800738513469696,0.1086904584496508,0.17243194812287407,0.009902536354720387,-1.03084646661702,-0.17427361783087647
19,0.27426591515541077,0.1696075301096911,0.36308972384360166,0.27462804317474365,0.1056888805577475,0.16806349594161601,0.0013194828122151218,-1.061997542848215,-0.1926875219308631
20,0.2730921506881714,0.1660411819987038,0.36692038445683167,0.2740596830844879,0.10534996764116646,0.16853347832133422,0.0035366176079837308,-1.079295350689504,-0.17637797168822006
21,0.2586534917354584,0.15122405716186194,0.3573521284499877,0.25622689723968506,0.09355933683630681,0.15413960962304252,-0.009425926930728083,-1.162221679629489,-0.1738354691431305
22,0.24432988464832306,0.1383896928056258,0.34379981379616276,0.2519916892051697,0.09085180054149715,0.1520147296814334,0.030876809176719578,-1.1331046920978989,-0.11624259443955665
23,0.23389361798763275,0.1315293517727121,0.32619711619845077,0.2575167119503021,0.09341752912864078,0.15833916241660184,0.09621823077528802,-1.0632623790044837,-0.036229740555152656
24,0.24275313317775726,0.1421919560138944,0.3207430978938132,0.2907808721065521,0.11091871354248445,0.1896059197820521,0.18052495259336113,-0.8681848725832164,0.060110225100165116
25,0.5193993449211121,0.38544940710247644,0.6601757245046551,0.5148125290870667,0.24612635434042182,0.40128498762894665,-0.008870224803726455,-0.8494987512185664,-0.11058695869782591
26,0.5278313755989075,0.39129879415345986,0.6757448723153874,0.5350175499916077,0.25878768881906555,0.42383814783476575,0.013522681778023586,-0.8102072739132045,-0.07233373259730425
27,0.5963210463523865,0.4444870158162891,0.7938801024789881,0.616324782371521,0.31031130045359,0.5082481123413246,0.03299487828668566,-0.793259582848717,-0.01152696022601371
28,0.7096361517906189,0.5317603293735028,0.9249441183231816,0.9375705718994141,0.5302235084460534,0.8236486158938385,0.27853965528916425,-0.4540959815096923,0.34734036138280117
29,0.7160894274711609,0.5312555788355858,0.913075364347728,1.007982850074768,0.5718973278297641,0.9042400810189131,0.3419013768076723,-0.37386495351604165,0.42921583222780607
30,0.8252544403076172,0.6007560762789281,1.1171498106037507,1.2980353832244873,0.7871821363674205,1.170364821957545,0.452915405416237,-0.23082946283040306,0.5692736318651634
31,0.9616926908493042,0.7144734944646817,1.2586354431446063,1.5117205381393433,0.9295279683369456,1.4068731316755005,0.45230875893385125,-0.21528831366982715,0.5838930958025506
32,0.9716603755950928,0.7286342886715457,1.2540626806331578,1.5767539739608765,0.9834070381224155,1.4596331418678936,0.48411723031063536,-0.15356197689772189,0.6174473263502878
33,0.9702141880989075,0.7238535690110112,1.2458613861203094,1.6117643117904663,1.0166891420366122,1.476473559268151,0.5075678442153079,-0.12677700302423567,0.6366057246389303
34,0.9135064482688904,0.681049394490898,1.1536756340065064,1.5935419797897339,1.008491454698056,1.4520014581989698,0.5564240432496079,-0.05866550619964839,0.6815764249262257
35,0.8712850213050842,0.6524380230642524,1.0749761721792348,1.5895655155181885,1.0141822258933533,1.4425737986959541,0.6012468393046229,0.0022826624120031447,0.7185881008293958
36,0.8225222229957581,0.6191412684441225,1.002693734388382,1.513008952140808,0.9586711351897447,1.3671066653087587,0.6094801294713099,0.008879217073030299,0.7246531614351511
