layer,condition,R,delta_middle_e,delta_tail_e,delta_middle_q_enrichment,delta_tail_q_enrichment
20,eigen_floor_1e-05,0.0035366176079837308,,,-0.02095298827159406,0.04778504295783584
20,eigen_floor_1e-04,0.0035366176079837308,,,-0.0018487560741097596,0.06740495450254319
20,calibration_half0_basis,0.0035366176079837308,-0.0013078069224677581,0.06863125727078712,,
20,calibration_half1_basis,0.0035366176079837308,0.005977409471427499,0.06566124415417054,,
20,wrong_layer_basis_1,0.0035366176079837308,0.012471703823858678,-0.01335089826037283,,
21,length_template_bundle_residualized,0.39639865323723417,0.0018691091544159799,0.035003751238680124,,
21,eigen_floor_1e-06,-0.009425926930728083,,,-0.01661696553968022,0.009521935110447528
21,eigen_floor_1e-05,-0.009425926930728083,,,-0.006850642223077658,0.022203558546879887
21,eigen_floor_1e-04,-0.009425926930728083,,,0.006262996789410809,0.03571401481985994
21,calibration_half0_basis,-0.009425926930728083,0.0019446672000428982,0.03868645074195705,,
21,calibration_half1_basis,-0.009425926930728083,-0.001880559452769426,0.03782839801819515,,
21,wrong_layer_basis_2,-0.009425926930728083,-0.01601227021205466,0.011286784362620561,,
22,length_template_bundle_residualized,0.4286992740651381,0.0015851380007727855,0.009527712635182484,,
22,eigen_floor_1e-06,0.030876809176719578,,,-0.0024623308557291117,0.0021593012201370668
22,eigen_floor_1e-05,0.030876809176719578,,,-0.00020844025861456946,0.008151662410980236
22,eigen_floor_1e-04,0.030876809176719578,,,0.009276986042855085,0.017513008840392228
22,calibration_half0_basis,0.030876809176719578,-0.001829486704990351,0.01868827727918044,,
22,calibration_half1_basis,0.030876809176719578,-0.0015053293254460095,0.021824061748694612,,
22,wrong_layer_basis_3,0.030876809176719578,-0.028838165875508328,0.00998152237267076,,
23,length_template_bundle_residualized,0.4795338403513194,0.0034018777823503757,0.008838331199084936,,
23,eigen_floor_1e-06,0.09621823077528802,,,0.004527421111019367,-0.00029882136544693747
23,eigen_floor_1e-05,0.09621823077528802,,,0.0018876430208506524,0.005565523842043188
23,eigen_floor_1e-04,0.09621823077528802,,,0.007270087350415524,0.020614001896944286
23,calibration_half0_basis,0.09621823077528802,0.010577806007419512,0.00826179402570328,,
23,calibration_half1_basis,0.09621823077528802,0.011013968467618745,0.017025682795041262,,
23,wrong_layer_basis_4,0.09621823077528802,-0.027391854519425714,0.02041589307538859,,
24,length_template_bundle_residualized,0.5664270690362185,-0.004553254318671713,0.003104081713322746,,
24,eigen_floor_1e-06,0.18052495259336113,,,-0.007820027048802967,0.0035736249274870755
24,eigen_floor_1e-05,0.18052495259336113,,,-0.001958690567709877,0.00436353685621579
24,eigen_floor_1e-04,0.18052495259336113,,,0.0006610146947743998,0.014250504492304004
24,calibration_half0_basis,0.18052495259336113,0.0022857620508531956,-0.000840188135580625,,
24,calibration_half1_basis,0.18052495259336113,0.002875601278553856,0.012030646297140698,,
24,wrong_layer_basis_5,0.18052495259336113,-0.022713544226824825,0.014807204292180558,,
25,length_template_bundle_residualized,0.3646599248732039,0.07221961194418057,0.03176530262670965,,
25,eigen_floor_1e-06,-0.008870224803726455,,,0.05481442630072117,-0.014910785302822369
25,eigen_floor_1e-05,-0.008870224803726455,,,0.03311586540369655,-0.01832285792373433
25,eigen_floor_1e-04,-0.008870224803726455,,,0.04438585699853158,0.011027610098742582
25,calibration_half0_basis,-0.008870224803726455,0.06551580661730294,-0.01697247884059172,,
25,calibration_half1_basis,-0.008870224803726455,0.07999351521613025,0.032207637934080054,,
25,wrong_layer_basis_6,-0.008870224803726455,0.009472858225376605,-0.0073512476540756305,,
26,length_template_bundle_residualized,0.3836051677801848,0.06615857625366799,0.010684041171622864,,
26,eigen_floor_1e-06,0.013522681778023586,,,0.07377079365916686,-0.01895090914551243
26,eigen_floor_1e-05,0.013522681778023586,,,0.049845544339770426,-0.020865191063378988
26,eigen_floor_1e-04,0.013522681778023586,,,0.04239009966971093,-0.008109444399041855
26,calibration_half0_basis,0.013522681778023586,0.05689837669779937,-0.02048176699446433,,
26,calibration_half1_basis,0.013522681778023586,0.06651514256118853,0.0142860762404345,,
26,wrong_layer_basis_7,0.013522681778023586,-0.0002941058494852431,-0.00998615930150793,,
27,length_template_bundle_residualized,0.38043446152446225,0.09862187809926008,-0.0058694640857644255,,
27,eigen_floor_1e-06,0.03299487828668566,,,0.10575646924963929,-0.025642424281369862
27,eigen_floor_1e-05,0.03299487828668566,,,0.07917880972608439,-0.02540403292204484
27,eigen_floor_1e-04,0.03299487828668566,,,0.06528654079853109,-0.03562448878688308
