layer,template_index,split,D_coarse,D_fine,R
16,0,design,0.7649180293083191,0.7775089740753174,0.016326509351358813
16,1,design,0.5497022867202759,0.785270094871521,0.35665089370371067
16,2,confirmation,0.5211760401725769,0.763975977897644,0.3824484724412452
16,3,confirmation,0.6462698578834534,0.7426663637161255,0.1390297512397236
17,0,design,0.7450411319732666,0.7729307413101196,0.036750019745250335
17,1,design,0.543150007724762,0.778059720993042,0.3594177443322661
17,2,confirmation,0.5146393775939941,0.7561320662498474,0.38474963402829127
17,3,confirmation,0.6258090138435364,0.7434108257293701,0.17220358536859998
18,0,design,0.7543583512306213,0.7944395542144775,0.051769380810129405
18,1,design,0.5537998080253601,0.7670987844467163,0.325812322268324
18,2,confirmation,0.5425580143928528,0.7462865710258484,0.3188146512357835
18,3,confirmation,0.6059568524360657,0.7349066138267517,0.19293465218863246
19,0,design,0.757649302482605,0.8157026767730713,0.07382930491775636
19,1,design,0.5419594049453735,0.7525925040245056,0.3283328179942763
19,2,confirmation,0.5622209906578064,0.7389329671859741,0.27331221495926245
19,3,confirmation,0.5895648002624512,0.7318782806396484,0.21622957881000013
20,0,design,0.7427489757537842,0.8133425116539001,0.09079417902594346
20,1,design,0.5360418558120728,0.7440170049667358,0.3278516434863529
20,2,confirmation,0.5592604279518127,0.7319520115852356,0.26909970735696337
20,3,confirmation,0.5747723579406738,0.7155880331993103,0.2191305655686857
21,0,design,0.7467724084854126,0.8441969156265259,0.12262531507529563
21,1,design,0.564752459526062,0.7475937604904175,0.28047221908397374
21,2,confirmation,0.5860116481781006,0.7349820733070374,0.22650644204045106
21,3,confirmation,0.5403774976730347,0.7097659707069397,0.27266733188879977
22,0,design,0.7223115563392639,0.8724833726882935,0.18888703251327332
22,1,design,0.5540204644203186,0.7566555142402649,0.3117064573573041
22,2,confirmation,0.5567101240158081,0.7424267530441284,0.28787953592201526
22,3,confirmation,0.5251191258430481,0.7026129364967346,0.2911810087632438
23,0,design,0.7036433815956116,0.8990783095359802,0.2450984704799494
23,1,design,0.5269594192504883,0.7594048380851746,0.3654114764519377
23,2,confirmation,0.5265817642211914,0.7411907315254211,0.3418513724625689
23,3,confirmation,0.4948383867740631,0.6962110996246338,0.3414217005121725
24,0,design,0.6757624745368958,0.9822837114334106,0.37403853320398284
24,1,design,0.521073043346405,0.780762255191803,0.4043804624432695
24,2,confirmation,0.5056697726249695,0.7969090342521667,0.45485670411915
24,3,confirmation,0.49620693922042847,0.7800946831703186,0.45242224511184304
25,0,design,0.9453719854354858,1.2610012292861938,0.2880828253935895
25,1,design,0.6801660060882568,0.9084082245826721,0.28935696913585635
25,2,confirmation,0.7669135928153992,1.0273098945617676,0.29232477281583125
25,3,confirmation,0.8509897589683533,1.1402382850646973,0.2925924471468457
26,0,design,0.9485114812850952,1.304343819618225,0.3185614791066856
26,1,design,0.6961100101470947,0.9229085445404053,0.282022436188294
26,2,confirmation,0.7687991261482239,1.0506750345230103,0.312358405596614
26,3,confirmation,0.8603677153587341,1.1755712032318115,0.31214956500369195
27,0,design,1.029647946357727,1.400658130645752,0.30772527531832217
27,1,design,0.7309937477111816,0.9779098033905029,0.291012533559173
27,2,confirmation,0.8044084906578064,1.129818320274353,0.3397049071507901
27,3,confirmation,0.943149209022522,1.3031768798828125,0.32333581795880695
28,0,design,1.0531953573226929,1.8268182277679443,0.5507470397884191
28,1,design,0.8444741368293762,1.291796326637268,0.4250749196393134
28,2,confirmation,0.8816223740577698,1.4735610485076904,0.5136734152726925
28,3,confirmation,0.96490478515625,1.7497453689575195,0.595196124638969
29,0,design,1.0461509227752686,1.9415373802185059,0.6183624824009932
29,1,design,0.8823385238647461,1.3512282371520996,0.42619346683366105
29,2,confirmation,0.882897675037384,1.5493158102035522,0.5623593891109947
29,3,confirmation,0.9535799622535706,1.8907757997512817,0.6845192165374488
30,0,design,1.150167465209961,2.234818935394287,0.6642526578423568
30,1,design,0.942425549030304,1.5741621255874634,0.5130215028214263
30,2,confirmation,0.9740666747093201,1.819751501083374,0.6249754770557665
30,3,confirmation,1.0144400596618652,2.2370059490203857,0.7908015469661286
31,0,design,1.2956384420394897,2.4751498699188232,0.6472973685897709
31,1,design,1.2248560190200806,1.8101859092712402,0.3906062507126984
31,2,confirmation,1.120341420173645,2.0444018840789795,0.6014717911983117
31,3,confirmation,1.128110408782959,2.496598720550537,0.794385265345272
32,0,design,1.2957133054733276,2.5452067852020264,0.6751505397087173
32,1,design,1.24397611618042,1.8091769218444824,0.3745592076192176
32,2,confirmation,1.1368639469146729,2.116908550262451,0.6216832455191099
32,3,confirmation,1.1221950054168701,2.5893540382385254,0.8361218449009983
33,0,design,1.2965235710144043,2.5694875717163086,0.6840199842610247
33,1,design,1.2621207237243652,1.8142567873001099,0.36288248009310403
33,2,confirmation,1.1381666660308838,2.1625890731811523,0.6418873686936811
33,3,confirmation,1.1088048219680786,2.610196113586426,0.8561426595560744
34,0,design,1.193875789642334,2.4267284870147705,0.7093390678503892
34,1,design,1.1570243835449219,1.6689200401306152,0.366325211892179
34,2,confirmation,1.0780004262924194,2.107353925704956,0.6703252289109481
34,3,confirmation,1.0358787775039673,2.514620065689087,0.8868715979596767
35,0,design,1.1256506443023682,2.3679330348968506,0.7436562184726342
35,1,design,1.0692180395126343,1.636845350265503,0.42584324538164225
35,2,confirmation,1.0273619890213013,2.0848541259765625,0.7077045481301245
35,3,confirmation,0.9830656051635742,2.43613600730896,0.907492601840555
36,0,design,1.08167564868927,2.289095878601074,0.7496455614426372
36,1,design,1.0251779556274414,1.5648877620697021,0.42294789112567177
36,2,confirmation,0.9498667120933533,1.9647690057754517,0.7268082913890012
36,3,confirmation,0.9492695331573486,2.349379777908325,0.9062138716459028
