role,band,band_index,b,q,j,e,q_enrichment,j_enrichment,layer,split,floor_ratio
coarse,F15,15,5.9345138652133755e-06,0.008034599048418387,0.3464294672012329,0.3892680642390111,1.9013114710224532,0.6627372273865578,1,confirmation,1e-06
coarse,F16,16,4.317591447033919e-06,0.008820493114989968,0.3933615982532501,0.28320777454302487,2.0872858295158205,0.7525207861006584,1,confirmation,1e-06
fine,F1,1,1.9014665667782538e-05,0.00014573424315827028,0.4307466447353363,1.7395355230380949,0.04462226639200184,0.9558107272649697,1,confirmation,1e-06
fine,F2,2,1.4529182408296037e-05,0.00037930608194527537,0.5033569931983948,1.3291860799190458,0.11613946500059792,1.1169303803596127,1,confirmation,1e-06
fine,F3,3,1.3692714674107265e-05,0.0005819002584247145,0.467594712972641,1.2526627603446214,0.17817163476673803,1.0375752153478601,1,confirmation,1e-06
fine,F4,4,1.3351853340282105e-05,0.0008292682143355714,0.46983733773231506,1.2214794406387346,0.25391305686690707,1.0425515159847312,1,confirmation,1e-06
fine,F5,5,1.3650644177687354e-05,0.0011770175641966176,0.4915883541107178,1.2488139878091002,0.36039018805352113,1.0908162094826162,1,confirmation,1e-06
fine,F6,6,1.263454669242492e-05,0.0014843262691415894,0.4634582996368408,1.155857440406928,0.45448482634483367,1.0283966685452752,1,confirmation,1e-06
fine,F7,7,1.2847721336584073e-05,0.0019957862230032607,0.45214229822158813,1.1753594854391558,0.6110883933271714,1.003286883768914,1,confirmation,1e-06
fine,F8,8,1.1552612704690546e-05,0.002358633405187254,0.47568145394325256,1.0568779138599493,0.7221883192753753,1.0555193917280914,1,confirmation,1e-06
fine,F9,9,1.1091276974184439e-05,0.002954289994214621,0.47794920206069946,1.014673128076004,0.9045719953264761,1.0605514401581435,1,confirmation,1e-06
fine,F10,10,1.0802408723975532e-05,0.003734937714859032,0.4261314868927002,0.988246337750279,1.1435979770998417,0.9455698642706148,1,confirmation,1e-06
fine,F11,11,1.000551856122911e-05,0.004470128553642039,0.4687139689922333,0.9153437282447252,1.368705547882,1.040058802679665,1,confirmation,1e-06
fine,F12,12,8.666453140904196e-06,0.005010073467593769,0.45024141669273376,0.7928408188049942,1.5340309049512684,0.9990688986058369,1,confirmation,1e-06
fine,F13,13,7.522252417402342e-06,0.005697375039500656,0.4855319559574127,0.6881648892465926,1.7444752944689994,1.0773772880324595,1,confirmation,1e-06
fine,F14,14,6.3656507336418144e-06,0.0063798872470415356,0.41739439964294434,0.5823544716426663,1.9534532318478444,0.9261825937708115,1,confirmation,1e-06
fine,F15,15,5.334915385901695e-06,0.007251588839066046,0.3354692757129669,0.48805879568540095,2.220358935069609,0.7443938015844037,1,confirmation,1e-06
fine,F16,16,3.831772119156085e-06,0.00780500147100252,0.39473864436149597,0.3505454071039836,2.3898079633268146,0.8759103184159945,1,confirmation,1e-06
coarse,F1,1,2.263927126477938e-05,0.00016964373312792575,0.46079015731811523,1.6868443964720405,0.04601585983772523,1.0756313511604667,1,design,1e-06
coarse,F2,2,1.915464599733241e-05,0.0005011428303015168,0.5455101728439331,1.4272061538161283,0.1359349845269317,1.2733949173372061,1,design,1e-06
coarse,F3,3,1.6552861779928207e-05,0.0006990608158935357,0.45537397265434265,1.233348097316515,0.18962023488333324,1.062988246841712,1,design,1e-06
coarse,F4,4,1.7408903659088537e-05,0.0010835885563602998,0.4803011417388916,1.297131486371687,0.2939233781989354,1.1211762183883967,1,design,1e-06
coarse,F5,5,1.782025719876401e-05,0.0015317916509974428,0.4892529845237732,1.3277812986052644,0.4154984602923298,1.1420726776489853,1,design,1e-06
coarse,F6,6,1.59502487804275e-05,0.0018734609151547944,0.4611016809940338,1.1884476078281276,0.5081762426096261,1.0763585468852996,1,design,1e-06
coarse,F7,7,1.676981628406793e-05,0.0026186321572886483,0.48872917890548706,1.2495133035776727,0.7103039298568626,1.1408499480919527,1,design,1e-06
coarse,F8,8,1.492107730882708e-05,0.003032955300767517,0.46068841218948364,1.1117643917663598,0.8226890757524224,1.0753938455444159,1,design,1e-06
coarse,F9,9,1.4149893104331568e-05,0.003798073213916439,0.4458134174346924,1.054303719168439,1.030227297186421,1.040670858404838,1,design,1e-06
coarse,F10,10,1.3812365978083108e-05,0.0047702865039298496,0.43518221378326416,1.0291546878718667,1.2939401362094525,1.015854234684828,1,design,1e-06
coarse,F11,11,1.1113708751508966e-05,0.004958087530655362,0.3943208158016205,0.8280786564305459,1.3448811616386995,0.9204706853114895,1,design,1e-06
coarse,F12,12,9.801812666410115e-06,0.005641474542111028,0.38707759976387024,0.7303297256447135,1.530249877324486,0.9035627064198011,1,design,1e-06
coarse,F13,13,8.630741831439082e-06,0.006538522099596374,0.4090729057788849,0.6430736363148447,1.7735740126280402,0.9549067734585092,1,design,1e-06
coarse,F14,14,7.101377377694007e-06,0.007137340323129163,0.3772149384021759,0.5291212113983733,1.936003445972221,0.8805401057890467,1,design,1e-06
coarse,F15,15,5.174410034669563e-06,0.007005889354937868,0.27080923318862915,0.3855435305291885,1.9003473729992064,0.6321552159377329,1,design,1e-06
coarse,F16,16,3.7358745430537965e-06,0.007626229141942511,0.2930077612400055,0.27835874066656946,2.068614530083307,0.6839736680953193,1,design,1e-06
fine,F1,1,1.784702362783719e-05,0.00013373085210804448,0.418552428483963,1.808189047483022,0.04564675007927542,1.1965364118946682,1,design,1e-06
fine,F2,2,1.319185412285151e-05,0.00034399394017382455,0.4402546286582947,1.336545893497231,0.11741647621607605,1.2585775588565227,1,design,1e-06
fine,F3,3,1.2286091077839956e-05,0.0005217905871693802,0.37666183710098267,1.2447776047473806,0.1781043353181948,1.0767817181109298,1,design,1e-06
fine,F4,4,1.2046766642015427e-05,0.0007485549282677472,0.3676948845386505,1.2205302101858593,0.25550648330305803,1.0511474498224262,1,design,1e-06
fine,F5,5,1.2106520443921909e-05,0.0010444857072104523,0.36772656440734863,1.2265842263851903,0.3565174175357158,1.0512380146211031,1,design,1e-06
fine,F6,6,1.1310208719805814e-05,0.001329120831529177,0.35921865701675415,1.1459051076730278,0.4536727723304584,1.026916041341084,1,design,1e-06
fine,F7,7,1.1511860066093504e-05,0.0017897726589848147,0.37266552448272705,1.1663356154916469,0.6109084326883282,1.0653572626887577,1,design,1e-06
fine,F8,8,1.0501873475732282e-05,0.002145460062023096,0.3549949824810028,1.0640078140117764,0.7323162734139483,1.0148416152236104,1,design,1e-06
fine,F9,9,1.000180964183528e-05,0.0026640120594835347,0.3410320281982422,1.0133433465716946,0.9093151712603628,0.9749250311114152,1,design,1e-06
fine,F10,10,9.672476153355092e-06,0.003343893351751317,0.32554107904434204,0.9799765948232172,1.1413810778370204,0.9306402929136517,1,design,1e-06
fine,F11,11,9.027008673001546e-06,0.0040343464574650115,0.3488916754722595,0.9145804115256674,1.3770554929862577,0.9973937913144652,1,design,1e-06
fine,F12,12,7.798028491379227e-06,0.004508694560087799,0.33027568459510803,0.7900650553338924,1.5389661437425044,0.9441753426515537,1,design,1e-06
fine,F13,13,6.772720553271938e-06,0.005131108361195359,0.35000306367874146,0.6861849561844033,1.75141650038941,1.0005709714388829,1,design,1e-06
fine,F14,14,5.651532774209045e-06,0.005661892913586179,0.31887733936309814,0.5725906950600334,1.9325907726459641,0.9115903325613103,1,design,1e-06
