seed,pool,fit_pool_size,uses_feature_labels_for_fit,selected_positions,fit_pool_role_entropy,fit_pool_route_fraction,fit_pool_slot_nonroute_fraction,fit_pool_target_fraction,fit_pool_neutral_fraction,representation_type,latent_dim,d_sae,sae_expansion,sparsity,top_k,l1_lambda,train_sample_count,train_epochs,train_reconstruction_mse,reconstruction_mse,retained_variance_fraction,latent_l0_mean,latent_active_fraction,feature_NMI,nuisance_NMI,slot_start_NMI,feature_purity,dominant_expert_count,load_imbalance_L,max_load,active_experts,load_entropy,load_e0,load_e1,load_e2,load_e3,count_e0,count_e1,count_e2,count_e3,margin_mean,margin_std,margin_min,margin_p05,margin_median
20260627,bottleneck_ae_q16,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,16,nan,nan,,nan,nan,65536,10,0.7950401715934277,0.790326955417792,nan,7.657264709472656,0.478579044342041,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.5,0.25,0.25,0.0,6144,3072,3072,0,2.1516921520233154,0.41477319598197937,1.217529535293579,1.4370275735855103,2.235710382461548
20260627,bottleneck_ae_q32,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,32,nan,nan,,nan,nan,65536,10,0.6052475981414318,0.5993884565929571,nan,15.880907694498697,0.4962783654530843,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.5,0.25,0.25,0,6144,3072,3072,2.4718899726867676,0.26432639360427856,1.7595044374465942,2.122617483139038,2.426985025405884
20260627,sae_l1_4x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,sae,512,512,4,l1,nan,0.0001,65536,10,0.013490777113474905,0.012588908032436544,nan,258.15335337320965,0.5042057683070501,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.0,0.0,0.25,0.75,0,0,3072,9216,1.8800266981124878,1.0645840167999268,0.40307140350341797,0.5993449091911316,2.648226022720337
20260627,sae_topk_4x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,sae,512,512,4,topk,8,nan,65536,10,0.13011975307017565,0.12621702331428727,nan,8.0,0.015625,0.3997841211812525,3.605485619156729e-05,0.0020925162105599987,0.9300130208333334,2.0,2.2799479961395264,0.8199869990348816,2,0.3400527394141511,0.0,0.0,0.8199869990348816,0.1800130158662796,0,0,10076,2212,0.6941527724266052,0.500859797000885,6.186962127685547e-05,0.03190040588378906,0.6292453408241272
20260627,sae_l1_8x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,sae,1024,1024,8,l1,nan,0.0001,65536,10,0.0035283740726299584,0.0033190502169115157,nan,516.6709874471029,0.5045615111788114,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.0,0.75,0.25,0.0,0,9216,3072,0,1.3902219533920288,0.6557613611221313,0.29967838525772095,0.5890712738037109,1.222967267036438
20260627,sae_topk_8x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,sae,1024,1024,8,topk,8,nan,65536,10,0.031802565907128155,0.031045557717637468,nan,8.0,0.0078125,0.6630246316989548,7.410396373422204e-05,0.0002670440995855662,0.9276529947916666,3.0,1.2893879413604736,0.5723469853401184,3,0.706241123336308,0.0,0.5723469853401184,0.21533203125,0.2123209685087204,0,7033,2646,2609,0.5756309628486633,0.5841548442840576,8.225440979003906e-06,0.01870042085647583,0.34862586855888367
20260629,pca_q4,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,pca,4,nan,nan,,nan,nan,393216,0,0.9153034687042236,0.9153034687042236,0.08249670426773803,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.25,4,1.0000000027478353,0.25,0.25,0.25,0.25,3072,3072,3072,3072,2.762382745742798,0.6183394193649292,1.6048728227615356,1.9366998672485352,2.8659989833831787
20260629,pca_q8,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,pca,8,nan,nan,,nan,nan,393216,0,0.8434520959854126,0.8434520959854126,0.15452086639894536,8.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.25,4,1.0000000027478353,0.25,0.25,0.25,0.25,3072,3072,3072,3072,2.221588373184204,0.8793774247169495,0.9793416261672974,1.2556421756744385,1.9937540292739868
20260629,pca_q16,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,pca,16,nan,nan,,nan,nan,393216,0,0.7227421998977661,0.7227421998977661,0.27552073764656787,16.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.25,4,1.0000000027478353,0.25,0.25,0.25,0.25,3072,3072,3072,3072,2.404587984085083,0.5283125638961792,1.4540700912475586,1.7233834266662598,2.5749785900115967
20260629,pca_q32,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,pca,32,nan,nan,,nan,nan,393216,0,0.5338115692138672,0.5338115692138672,0.46490553727829426,32.0,1.0,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.5,0.25,0.25,0,6144,3072,3072,1.942270278930664,0.2973003089427948,1.1661880016326904,1.411447525024414,2.006392478942871
20260629,bottleneck_ae_q4,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,4,nan,nan,,nan,nan,65536,10,0.9882529266178608,0.9854856903354327,nan,1.984362284342448,0.496090571085612,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.25,0.0,0.5,3072,3072,0,6144,1.6711231470108032,0.7966620326042175,0.08572375774383545,0.3783732056617737,1.8247441053390503
