seed,pool,cluster,position,count,fraction,cluster_total
20260623,pca_q4,0,1,2894,0.03276646815063065,88322
20260623,pca_q4,0,2,1982,0.02244061502230475,88322
20260623,pca_q4,0,3,1890,0.021398971943570117,88322
20260623,pca_q4,0,4,2910,0.03294762346867145,88322
20260623,pca_q4,0,5,2959,0.03350241163017142,88322
20260623,pca_q4,0,6,1932,0.021874504653427232,88322
20260623,pca_q4,0,7,3987,0.04514164081429316,88322
20260623,pca_q4,0,8,2933,0.03320803423835511,88322
20260623,pca_q4,0,9,2943,0.033321256312130614,88322
20260623,pca_q4,0,10,1942,0.021987726727202735,88322
20260623,pca_q4,0,11,1930,0.02185186023867213,88322
20260623,pca_q4,0,12,2962,0.03353637825230407,88322
20260623,pca_q4,0,13,2998,0.03394397771789588,88322
20260623,pca_q4,0,14,1923,0.02177260478702928,88322
20260623,pca_q4,0,15,4003,0.04532279613233396,88322
20260623,pca_q4,0,16,2918,0.03303820112769185,88322
20260623,pca_q4,0,17,2941,0.03329861189737551,88322
20260623,pca_q4,0,18,2004,0.022689703584610855,88322
20260623,pca_q4,0,19,1959,0.022180204252621093,88322
20260623,pca_q4,0,20,2972,0.033649600326079575,88322
20260623,pca_q4,0,21,2950,0.03340051176377346,88322
20260623,pca_q4,0,22,2014,0.022802925658386358,88322
20260623,pca_q4,0,23,3941,0.04462081927492584,88322
20260623,pca_q4,0,24,2886,0.032675890491610245,88322
20260623,pca_q4,0,25,3003,0.03400058875478363,88322
20260623,pca_q4,0,26,2940,0.03328728968999796,88322
20260623,pca_q4,0,27,2958,0.03349108942279387,88322
20260623,pca_q4,0,28,2942,0.03330993410475306,88322
20260623,pca_q4,0,29,2869,0.03248341296619189,88322
20260623,pca_q4,0,30,2845,0.03221167998913068,88322
20260623,pca_q4,0,31,2980,0.03374017798509998,88322
20260623,pca_q4,1,0,2962,0.031133067059070842,95140
20260623,pca_q4,1,1,2931,0.030807231448391842,95140
20260623,pca_q4,1,2,2828,0.029724616354845492,95140
20260623,pca_q4,1,3,2894,0.030418330880807233,95140
20260623,pca_q4,1,4,3957,0.04159133907925163,95140
20260623,pca_q4,1,5,2896,0.0304393525331091,95140
20260623,pca_q4,1,6,3885,0.040834559596384275,95140
20260623,pca_q4,1,7,1869,0.01964473407609838,95140
20260623,pca_q4,1,8,2911,0.030597014925373135,95140
20260623,pca_q4,1,9,2791,0.02933571578726088,95140
20260623,pca_q4,1,10,2924,0.030733655665335296,95140
20260623,pca_q4,1,11,2923,0.030723144839184358,95140
20260623,pca_q4,1,12,3926,0.04126550346857263,95140
20260623,pca_q4,1,13,2936,0.03085978557914652,95140
20260623,pca_q4,1,14,3902,0.04101324364095018,95140
20260623,pca_q4,1,15,1840,0.019339920117721253,95140
20260623,pca_q4,1,16,2882,0.030292200966996006,95140
20260623,pca_q4,1,17,2781,0.029230607525751524,95140
20260623,pca_q4,1,18,2866,0.03012402774858104,95140
20260623,pca_q4,1,19,2933,0.030828253100693714,95140
20260623,pca_q4,1,20,4016,0.04221147782215682,95140
20260623,pca_q4,1,21,2904,0.030523439142316585,95140
20260623,pca_q4,1,22,3944,0.04145469833928947,95140
20260623,pca_q4,1,23,1858,0.019529114988438092,95140
20260623,pca_q4,1,24,2847,0.029924322051713265,95140
20260623,pca_q4,1,25,2805,0.029482867353373975,95140
20260623,pca_q4,1,26,2884,0.030313222619297878,95140
20260623,pca_q4,1,27,2877,0.030239646836241328,95140
20260623,pca_q4,1,28,2729,0.02868404456590288,95140
