seed,pool,fit_pool_size,uses_feature_labels_for_fit,selected_positions,fit_pool_role_entropy,fit_pool_route_fraction,fit_pool_slot_nonroute_fraction,fit_pool_target_fraction,fit_pool_neutral_fraction,feature_NMI,nuisance_NMI,slot_start_NMI,feature_purity,dominant_expert_count,load_imbalance_L,max_load,active_experts,load_entropy,load_e0,load_e1,load_e2,load_e3,count_e0,count_e1,count_e2,count_e3,margin_mean,margin_std,margin_min,margin_p05,margin_median,representation_type,latent_dim,d_sae,sae_expansion,sparsity,top_k,l1_lambda,train_sample_count,train_epochs,train_reconstruction_mse,reconstruction_mse,retained_variance_fraction,latent_l0_mean,latent_active_fraction
20260629,selector_stability_top3_positions,36864,False,6 11 12,1.4466166496276855,0.0,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.985472828402289,3.440372018046445e-06,6.068596539909125e-05,0.9962565104166667,4.0,0.013671875,0.25341796875,4,0.9999662941482662,0.24658203125,0.25,0.25341796875,0.25,3030,3072,3114,3072,0.49859604239463806,0.24719393253326416,0.0012117624282836914,0.14194858074188232,0.49264979362487793,,,,,,,,,,,,,,
20260629,selector_stability_threshold_positions,73728,False,6 11 12 19 7 14,1.5577278137207031,0.0,0.16666666666666666,0.1111111111111111,0.6666666666666666,0.7343772808942371,2.6635354645722533e-05,0.0018401965752804625,0.9331868489583334,3.0,1.0,0.5,4,0.7509785833442859,0.3104654848575592,0.003173828125,0.1863606721162796,0.5,3815,39,2290,6144,0.3909851014614105,0.2676406800746918,5.0067901611328125e-05,0.023693621158599854,0.3865990936756134,,,,,,,,,,,,,,
20260629,pca_q4,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,1.0,0.0,0.0,1.0,4.0,0.0,0.25,4,1.0000000027478353,0.25,0.25,0.25,0.25,3072,3072,3072,3072,2.762382745742798,0.6183394193649292,1.6048728227615356,1.9366998672485352,2.8659989833831787,pca,4,nan,nan,,nan,nan,393216,0,0.9153034687042236,0.9153034687042236,0.08249670426773803,4.0,1.0
20260629,pca_q8,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,1.0,0.0,0.0,1.0,4.0,0.0,0.25,4,1.0000000027478353,0.25,0.25,0.25,0.25,3072,3072,3072,3072,2.221588373184204,0.8793774247169495,0.9793416261672974,1.2556421756744385,1.9937540292739868,pca,8,nan,nan,,nan,nan,393216,0,0.8434520959854126,0.8434520959854126,0.15452086639894536,8.0,1.0
20260629,pca_q16,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,1.0,0.0,0.0,1.0,4.0,0.0,0.25,4,1.0000000027478353,0.25,0.25,0.25,0.25,3072,3072,3072,3072,2.404587984085083,0.5283125638961792,1.4540700912475586,1.7233834266662598,2.5749785900115967,pca,16,nan,nan,,nan,nan,393216,0,0.7227421998977661,0.7227421998977661,0.27552073764656787,16.0,1.0
20260629,pca_q32,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.5,0.25,0.25,0,6144,3072,3072,1.942270278930664,0.2973003089427948,1.1661880016326904,1.411447525024414,2.006392478942871,pca,32,nan,nan,,nan,nan,393216,0,0.5338115692138672,0.5338115692138672,0.46490553727829426,32.0,1.0
20260629,bottleneck_ae_q4,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.25,0.0,0.5,3072,3072,0,6144,1.6711231470108032,0.7966620326042175,0.08572375774383545,0.3783732056617737,1.8247441053390503,bottleneck_ae,4,nan,nan,,nan,nan,65536,10,0.9882529266178608,0.9854856903354327,nan,1.984362284342448,0.496090571085612
20260629,bottleneck_ae_q8,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,1.0,0.0,0.0,1.0,4.0,0.0,0.25,4,1.0000000027478353,0.25,0.25,0.25,0.25,3072,3072,3072,3072,2.296410322189331,0.751530110836029,1.1703921556472778,1.407050371170044,2.205446243286133,bottleneck_ae,8,nan,nan,,nan,nan,65536,10,0.9152572080492973,0.9119282762209574,nan,4.2588653564453125,0.5323581695556641
20260629,bottleneck_ae_q16,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.25,0.5,0.25,0,3072,6144,3072,1.9122705459594727,0.22421663999557495,1.4118702411651611,1.6370316743850708,1.8380126953125,bottleneck_ae,16,nan,nan,,nan,nan,65536,10,0.8002520091831684,0.7958668644229571,nan,8.016578674316406,0.5010361671447754
20260629,bottleneck_ae_q32,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.0,0.25,0.5,3072,0,3072,6144,2.239441156387329,0.9889337420463562,0.21212685108184814,0.4737175703048706,2.673922061920166,bottleneck_ae,32,nan,nan,,nan,nan,65536,10,0.5978822112083435,0.5926318777104219,nan,16.08673858642578,0.5027105808258057
20260629,sae_l1_4x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.25,0.5,0.0,3072,3072,6144,0,2.176692247390747,0.8370595574378967,0.3910820484161377,0.6699774861335754,2.556363344192505,sae,512,512,4,l1,nan,0.0001,65536,10,0.01360187417594716,0.012628594578321403,nan,258.84403228759766,0.5055547505617142
20260629,sae_topk_4x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.25,0.0,0.75,0.0,3072,0,9216,0,2.610399007797241,2.4094719886779785,0.4456554651260376,0.718405544757843,1.447398066520691,sae,512,512,4,topk,8,nan,65536,10,0.13061889167875051,0.12624603036480644,nan,8.0,0.015625
20260629,sae_l1_8x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.25,0.5,0.25,0,3072,6144,3072,2.0391194820404053,0.9751940965652466,0.2628519833087921,0.5246200561523438,2.099104881286621,sae,1024,1024,8,l1,nan,0.0001,65536,10,0.0035485217085806653,0.0033612439316736222,nan,516.8913879394531,0.5047767460346222
20260629,sae_topk_8x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.75,0.0,0.25,0.0,9216,0,3072,0,1.008657455444336,0.5786970257759094,0.12774229049682617,0.3067254424095154,0.9275872707366943,sae,1024,1024,8,topk,8,nan,65536,10,0.03239557263441384,0.03153519378975034,nan,8.0,0.0078125
20260624,all_position,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.7071067811865476,0.0,0.0,1.0,2.0,1.0,0.5,2,0.5000000013739176,0.0,0.5,0.0,0.5,0,6144,0,6144,1.9410563707351685,0.3461603820323944,1.0297796726226807,1.2999458312988281,2.0762720108032227,,,,,,,,,,,,,,
20260624,route_only,12288,False,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.25,4,1.0000000027478353,0.25,0.25,0.25,0.25,3072,3072,3072,3072,5.234182834625244,0.5112884640693665,4.593471527099609,4.8235087394714355,4.980808258056641,,,,,,,,,,,,,,
20260624,slot_offset_3,12288,False,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.25,4,1.0000000027478353,0.25,0.25,0.25,0.25,3072,3072,3072,3072,5.234182834625244,0.5112884640693665,4.593471527099609,4.8235087394714355,4.980808258056641,,,,,,,,,,,,,,
20260624,selector_stability_top1_position,12288,False,6,0.9182958602905273,0.0,0.0,0.3333333333333333,0.6666666666666666,0.7605055368081708,3.4040893868092235e-05,0.011309482728684903,0.9524739583333334,3.0,1.0,0.5,3,0.7434428195314302,0.2975260317325592,0.2024739533662796,0.5,0.0,3656,2488,6144,0,0.7874227166175842,0.41760149598121643,9.417533874511719e-06,0.0435539186000824,0.909673810005188,,,,,,,,,,,,,,
20260624,selector_stability_top3_positions,36864,False,6 18 22,1.22439444065094,0.0,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.7194875911140828,0.00011601167926753465,0.025257457400755624,0.9137369791666666,3.0,0.8990885615348816,0.4735514223575592,4,0.8120313065133523,0.4735514223575592,0.02522786520421505,0.31103515625,0.190185546875,5819,310,3822,2337,0.662484884262085,0.5427642464637756,2.181529998779297e-05,0.023677676916122437,0.8509906530380249,,,,,,,,,,,,,,
20260624,selector_stability_threshold_positions,73728,False,6 18 22 23 7 13,1.5577278137207031,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.6666666666666666,0.7071067811865476,0.0,0.0,1.0,2.0,1.0,0.5,2,0.5000000013739176,0.0,0.5,0.5,0.0,0,6144,6144,0,2.4601891040802,0.7493727803230286,1.1934752464294434,1.4152988195419312,2.5793964862823486,,,,,,,,,,,,,,
20260624,pca_q4,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.25,0.5,0.25,0,3072,6144,3072,1.9418859481811523,0.6239650249481201,0.8981290459632874,1.0940141677856445,1.8769749402999878,pca,4,nan,nan,,nan,nan,393216,0,0.911841094493866,0.911841094493866,0.0852739710055778,4.0,1.0
20260624,pca_q8,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.5,0.25,0.25,0,6144,3072,3072,2.5713281631469727,0.5347486734390259,1.6923794746398926,1.93114173412323,2.419302463531494,pca,8,nan,nan,,nan,nan,393216,0,0.8408715128898621,0.8408715128898621,0.1564680734178414,8.0,1.0
20260624,pca_q16,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.5,0.0,0.25,3072,6144,0,3072,2.4120829105377197,0.5284765958786011,1.45750093460083,1.7808657884597778,2.2319488525390625,pca,16,nan,nan,,nan,nan,393216,0,0.7208986282348633,0.7208986282348633,0.2768205341123089,16.0,1.0
20260624,pca_q32,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.75,0.0,0.25,0.0,9216,0,3072,0,2.3478517532348633,0.824208676815033,0.9538682699203491,1.162867784500122,2.2862436771392822,pca,32,nan,nan,,nan,nan,393216,0,0.5327900648117065,0.5327900648117065,0.4655243699323977,32.0,1.0
20260624,bottleneck_ae_q4,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.0,0.25,0.5,3072,0,3072,6144,2.277029275894165,0.2701621353626251,1.7115229368209839,1.9539704322814941,2.1863443851470947,bottleneck_ae,4,nan,nan,,nan,nan,65536,10,0.9874192848801613,0.9843702626725038,nan,2.2785771687825522,0.5696442921956381
20260624,bottleneck_ae_q8,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.0,0.25,0.0,0.75,0,3072,0,9216,1.2747206687927246,0.29276731610298157,0.45351189374923706,0.7851594090461731,1.270751714706421,bottleneck_ae,8,nan,nan,,nan,nan,65536,10,0.9140731394290924,0.9110141104708115,nan,3.9446131388346353,0.4930766423543294
20260624,bottleneck_ae_q16,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.0,0.0,0.75,0.25,0,0,9216,3072,2.198716878890991,0.24912208318710327,1.5121097564697266,1.7538284063339233,2.2577316761016846,bottleneck_ae,16,nan,nan,,nan,nan,65536,10,0.7940911874175072,0.7899123653769493,nan,7.957201639811198,0.4973251024881999
20260624,bottleneck_ae_q32,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.25,0.0,0.0,0.75,3072,0,0,9216,2.136815071105957,0.3610047996044159,1.2335898876190186,1.4873073101043701,2.2526535987854004,bottleneck_ae,32,nan,nan,,nan,nan,65536,10,0.5999603345990181,0.5947190790126721,nan,15.861867268880209,0.49568335215250653
20260624,sae_l1_4x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.7071067811865476,0.0,0.0,1.0,2.0,1.0,0.5,2,0.5000000013739176,0.5,0.5,0.0,0.0,6144,6144,0,0,2.0443484783172607,0.6586584448814392,0.857164204120636,1.2273623943328857,1.8669555187225342,sae,512,512,4,l1,nan,0.0001,65536,10,0.013522037072107196,0.012604473391547799,nan,257.76338450113934,0.5034441103537878
20260624,sae_topk_4x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.55842310157265,3.692796855635015e-05,0.07506362063674761,0.9166666666666666,2.0,1.998046875,0.74951171875,3,0.5209142955973912,0.083251953125,0.167236328125,0.74951171875,0.0,1023,2055,9210,0,1.9633513689041138,2.5495169162750244,5.844235420227051e-05,0.04976990818977356,0.8538367748260498,sae,512,512,4,topk,8,nan,65536,10,0.1316589843481779,0.1275628002670904,nan,8.0,0.015625
20260624,sae_l1_8x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.5,0.25,0.25,0,6144,3072,3072,1.605201244354248,0.7018534541130066,0.5479679107666016,0.8027313351631165,1.6065140962600708,sae,1024,1024,8,l1,nan,0.0001,65536,10,0.0035263913305243477,0.0033401829399129688,nan,516.5608927408854,0.5044539968172709
20260624,sae_topk_8x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.8112910144040304,1.020148137495117e-05,2.808183316009088e-06,0.9786783854166666,3.0,1.0,0.4786783754825592,3,0.7596901065497652,0.0,0.4786783754825592,0.25,0.2713216245174408,0,5882,3072,3334,1.653395175933838,1.5353718996047974,0.00021827220916748047,0.06398665904998779,1.1571775674819946,sae,1024,1024,8,topk,8,nan,65536,10,0.03317869594320655,0.032243890571407974,nan,8.0,0.0078125
20260626,all_position,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.25,0.5,0.25,0,3072,6144,3072,1.7854820489883423,0.48621585965156555,0.9364074468612671,1.1998851299285889,1.7978745698928833,,,,,,,,,,,,,,
20260626,route_only,12288,False,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.25,4,1.0000000027478353,0.25,0.25,0.25,0.25,3072,3072,3072,3072,5.8506951332092285,0.17678774893283844,5.4589152336120605,5.630176067352295,5.804454803466797,,,,,,,,,,,,,,
20260626,slot_offset_3,12288,False,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.25,4,1.0000000027478353,0.25,0.25,0.25,0.25,3072,3072,3072,3072,5.8506951332092285,0.17678774893283844,5.4589152336120605,5.630176067352295,5.804454803466797,,,,,,,,,,,,,,
20260626,selector_stability_top1_position,12288,False,3,0.9182958602905273,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6749854916804856,7.097237775000583e-05,0.007861013288039457,0.9086100260416666,2.0,1.0,0.5,3,0.6715302518736317,0.5,0.0913899764418602,0.0,0.4086100161075592,6144,1123,0,5021,0.3926282823085785,0.21172118186950684,2.771615982055664e-05,0.02515995502471924,0.4318944215774536,,,,,,,,,,,,,,
20260626,selector_stability_top3_positions,36864,False,3 19 20,1.22439444065094,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6960600210779606,8.969500531609022e-05,0.0015904122773881544,0.9945475260416666,2.0,1.0,0.5,3,0.5216835739947006,0.0054524741135537624,0.5,0.0,0.4945475161075592,67,6144,0,6077,0.5797454714775085,0.3727107346057892,0.00027561187744140625,0.09881669282913208,0.4802630543708801,,,,,,,,,,,,,,
20260626,selector_stability_threshold_positions,73728,False,3 19 20 7 11 22,1.5157897472381592,0.0,0.2222222222222222,0.05555555555555555,0.6666666666666666,0.6906424489027193,9.59799943839192e-05,0.010726845663104626,0.9903157552083334,2.0,1.0,0.5,3,0.5344699681383979,0.4903157651424408,0.0,0.009684245102107525,0.5,6025,0,119,6144,0.4498535692691803,0.15461549162864685,0.0002244412899017334,0.14290019869804382,0.4713101387023926,,,,,,,,,,,,,,
20260626,pca_q4,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.75,0.0,0.0,0.25,9216,0,0,3072,2.2212440967559814,0.3838076889514923,1.423694133758545,1.6233763694763184,2.234626293182373,pca,4,nan,nan,,nan,nan,393216,0,0.9132096767425537,0.9132096767425537,0.08394710362244495,4.0,1.0
20260626,pca_q8,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.25,0.75,0.0,0.0,3072,9216,0,0,2.461702585220337,0.6372379660606384,1.4407408237457275,1.7440770864486694,2.4265425205230713,pca,8,nan,nan,,nan,nan,393216,0,0.8411799669265747,0.8411799669265747,0.1562010633921888,8.0,1.0
20260626,pca_q16,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.5,0.25,0.25,0,6144,3072,3072,2.426462173461914,0.6835443377494812,1.1042348146438599,1.4143630266189575,2.443950891494751,pca,16,nan,nan,,nan,nan,393216,0,0.7189668416976929,0.7189668416976929,0.2787946946379588,16.0,1.0
