layer,band,x_source_energy_fraction,a_source_energy_fraction,h_energy_fraction,a_norm_share_in_band,x_norm_share_in_band,cross_term_over_h_energy,a_shapley_share_in_h_band,x_shapley_share_in_h_band,a_to_x_norm_ratio,a_adjacent_cosine,a_between_cosine,a_sequence_gap,a_sequence_accuracy,h_adjacent_cosine,h_between_cosine,h_sequence_gap,h_sequence_accuracy
3,0_1,0.999735094136024,0.09512906664650288,0.9997011349016252,3.648479752654082e-06,0.9999963515202474,-0.00040452314515901524,-0.0001986116166697509,1.0001986835913155,0.0019101028935916394,0.4727305471897125,0.17865495383739471,0.2940755933523178,0.56640625,0.7123193740844727,0.6569706201553345,0.055348753929138184,0.35546875
3,1_2,2.8332780733854932e-05,0.029740783008440214,3.331489380339992e-05,0.03869112660639112,0.9613088733936089,0.11499203451754762,0.09173797073764857,0.9082619837410245,0.20061999362979877,0.6170997023582458,0.15075179934501648,0.46634790301322937,0.689453125,0.18609102070331573,-0.002537015825510025,0.18862803652882576,0.314453125
3,2_5,5.7038659942423536e-05,0.062357158129899296,6.660572282223866e-05,0.040231721781769036,0.959768278218231,0.10741273312447246,0.08961669162779562,0.9103833699821338,0.20473925270141044,0.5355276465415955,-0.0185540821403265,0.554081728681922,0.74609375,0.18492594361305237,-0.00821597408503294,0.1931419176980853,0.3671875
3,5_10,5.3861064934225875e-05,0.0895236872744225,6.349635283072837e-05,0.059912381781663825,0.9400876182183362,0.09735461437576103,0.10275694180816554,0.897243052572102,0.2524492740639412,0.4684417247772217,0.010043599642813206,0.4583981251344085,0.83984375,0.1723378449678421,0.001755016972310841,0.17058282799553126,0.337890625
3,10_20,5.257441081960862e-05,0.1450625730094107,6.294072750007378e-05,0.0956734570284341,0.9043265429715659,0.07598981949449969,0.12639815045200076,0.873601770177211,0.32526182498342043,0.4177895188331604,0.005888459272682667,0.41190105956047773,0.828125,0.14906807243824005,-0.006024312227964401,0.15509238466620445,0.28125
3,20_50,5.177075352044336e-05,0.28623138520509317,5.838370799289391e-05,0.1749115541106063,0.8250884458893937,-0.07510692071756062,0.15049515770286334,0.8495048178497335,0.4604251057492604,0.33469823002815247,0.017725156620144844,0.3169730734080076,0.861328125,0.06049446761608124,-0.0004907213151454926,0.06098518893122673,0.130859375
3,50_100,1.6614556255210104e-05,0.2919554420812847,9.42567940175702e-06,0.4025471146849108,0.5974528853150892,-1.951425213145209,0.2123750362296126,0.7876248123404497,0.8208362500329061,0.2990850508213043,0.024167563766241074,0.27491748705506325,0.8125,-0.04650033637881279,0.0011174726532772183,-0.04761780903209001,0.01953125
4,0_1,0.9996372054680003,0.0421612959981018,0.9996360138558016,2.0908236310094192e-06,0.999997909176369,-0.0001927334600962434,-9.42755031898219e-05,1.00009439776005,0.0014459695717967287,0.45670685172080994,0.10043376684188843,0.3562730848789215,0.365234375,0.6852151155471802,0.6015722155570984,0.08364289999008179,0.37890625
4,1_2,3.7215108777243854e-05,0.018156837502361238,4.116063496685469e-05,0.023615044092438538,0.9763849559075615,0.0738134821511202,0.05877867730033413,0.9412213552192161,0.1555191381368059,0.5221428275108337,0.038512926548719406,0.48362990096211433,0.384765625,0.22072726488113403,0.0026595224626362324,0.2180677424184978,0.279296875
4,2_5,7.504448923222988e-05,0.0408615559072459,8.18358314116943e-05,0.026283039968804576,0.9737169600311955,0.058056453980018435,0.0537853680047868,0.9462146756118153,0.16429389677725467,0.5045480132102966,0.019372429698705673,0.48517558351159096,0.60546875,0.20342054963111877,-0.003333490341901779,0.20675403997302055,0.373046875
