layer,a_centered_adjacent_cosine,a_centered_between_cosine,a_centered_sequence_centroid_accuracy,a_centered_sequence_gap,a_centered_within_cosine,a_raw_adjacent_cosine,a_raw_between_cosine,a_raw_sequence_centroid_accuracy,a_raw_sequence_gap,a_raw_within_cosine,attention_common_centered_sequence_accuracy,attention_common_centered_sequence_gap,attention_energy_common,attention_energy_middle,attention_energy_tail,attention_middle_centered_sequence_accuracy,attention_middle_centered_sequence_gap,attention_tail_centered_sequence_accuracy,attention_tail_centered_sequence_gap,h_centered_adjacent_cosine,h_centered_between_cosine,h_centered_sequence_centroid_accuracy,h_centered_sequence_gap,h_centered_within_cosine,h_optimal_energy_top1,h_optimal_energy_top10,h_optimal_energy_top5,h_raw_adjacent_cosine,h_raw_between_cosine,h_raw_sequence_centroid_accuracy,h_raw_sequence_gap,h_raw_within_cosine,h_recovery_a_top1,h_recovery_a_top10,h_recovery_a_top5,h_recovery_x_top1,h_recovery_x_top10,h_recovery_x_top5,ha_overlap_top1,ha_overlap_top10,ha_overlap_top5,hx_overlap_top1,hx_overlap_top10,hx_overlap_top5,x_centered_adjacent_cosine,x_centered_between_cosine,x_centered_sequence_centroid_accuracy,x_centered_sequence_gap,x_centered_within_cosine,x_raw_adjacent_cosine,x_raw_between_cosine,x_raw_sequence_centroid_accuracy,x_raw_sequence_gap,x_raw_within_cosine,x_to_a_norm_ratio
10,0.5860549211502075,0.004665107000619173,0.92138671875,0.10997068835422397,0.11463579535484314,0.7212504744529724,0.326536625623703,0.9482421875,0.07113346457481384,0.39767009019851685,0.53076171875,0.21425136923789978,0.07416302039166395,0.12668492786326407,0.7991521020061683,0.841552734375,0.18873705994337797,0.957763671875,0.08982698011095636,0.4116114675998688,0.06908673048019409,0.81103515625,0.05643637478351593,0.12552310526371002,0.999330607315311,0.9997480359776395,0.9996016450713854,0.6732773780822754,0.48221418261528015,0.840576171875,0.029307156801223755,0.5115213394165039,0.5532495976325092,0.6525205328025938,0.6062628089423149,0.9999845399268319,0.9999597442788702,0.9999671801040448,0.15716911852359772,0.15031875669956207,0.12272893637418747,0.8370065689086914,0.7604439854621887,0.871799111366272,0.36037886142730713,0.07674717903137207,0.731201171875,0.04283193498849869,0.11957911401987076,0.5959274172782898,0.41652607917785645,0.761962890625,0.0248376727104187,0.44136375188827515,22.577665328979492
11,0.3693300485610962,-0.002444969490170479,0.801513671875,0.053411612287163734,0.050966642796993256,0.49426183104515076,0.20268027484416962,0.83837890625,0.04116266965866089,0.2438429445028305,0.329833984375,0.05303492769598961,0.09859030999032231,0.2979263538334451,0.6034833546526139,0.596435546875,0.03880591131746769,0.8662109375,0.06216670339927077,0.368414044380188,0.03715360537171364,0.787109375,0.0485723502933979,0.08572595566511154,0.9987811187585126,0.9995972733061951,0.9993084375303061,0.6457289457321167,0.4614831805229187,0.798095703125,0.02472752332687378,0.4862107038497925,0.6688778615336372,0.7500402411025107,0.7141865166345617,0.9999607783038587,0.9998656080994538,0.9998839267966272,0.29516229033470154,0.4314580261707306,0.4347740411758423,0.7683731317520142,0.7269561290740967,0.7446995973587036,0.3933570086956024,0.05521150678396225,0.745849609375,0.0499594584107399,0.10517096519470215,0.654012143611908,0.46078628301620483,0.786376953125,0.02622199058532715,0.487008273601532,14.84195613861084
12,0.6144812703132629,-0.004108273424208164,0.818359375,0.09335938189178705,0.08925110846757889,0.7315511703491211,0.2979315519332886,0.890380859375,0.05828562378883362,0.3562171757221222,0.346435546875,0.1367766484618187,0.08722687403246851,0.09380807903785897,0.8189650857136711,0.7578125,0.1741560399532318,0.891357421875,0.08016302715986967,0.38031792640686035,0.03401293233036995,0.759765625,0.048236217349767685,0.08224914968013763,0.9986437220149825,0.9995308394127052,0.9992145244920585,0.6754010319709778,0.4965353012084961,0.791259765625,0.02173018455505371,0.5182654857635498,0.594045327721317,0.6568400713703947,0.6323837735163393,0.9999816949463772,0.9999490594478159,0.9999619740578786,0.11576157063245773,0.11005160957574844,0.0811770111322403,0.9440942406654358,0.8099853992462158,0.9256066083908081,0.3579004406929016,0.03845304623246193,0.69873046875,0.04155842587351799,0.08001147210597992,0.6241715550422668,0.44094985723495483,0.756591796875,0.02101767063140869,0.4619675278663635,20.1899471282959
13,0.6466944813728333,0.005397094879299402,0.783447265625,0.09280020138248801,0.09819729626178741,0.7525009512901306,0.3079715669155121,0.875732421875,0.059651315212249756,0.36762288212776184,0.325439453125,0.12027100473642349,0.09285870661698013,0.111031552641822,0.7961097031120509,0.6826171875,0.1283821603283286,0.889404296875,0.08374914014711976,0.3944140672683716,0.03349742293357849,0.761474609375,0.04604977369308472,0.07954719662666321,0.9984626963035893,0.9994345935217204,0.9990834069924075,0.684615969657898,0.49840986728668213,0.787353515625,0.021662890911102295,0.5200727581977844,0.632490967070401,0.6997895812560544,0.6755432531767457,0.9999748491983854,0.9999302791910814,0.9999475231250814,0.11660777777433395,0.12816086411476135,0.09030883014202118,0.9343152642250061,0.793562650680542,0.9151515960693359,0.37018755078315735,0.03797801584005356,0.690673828125,0.04231194406747818,0.08028995990753174,0.6306081414222717,0.43917980790138245,0.7548828125,0.02240806818008423,0.4615878760814667,17.148910522460938
14,0.5488560199737549,0.003574420465156436,0.749267578125,0.05792225827462971,0.06149667873978615,0.6495087742805481,0.22242096066474915,0.8427734375,0.04670298099517822,0.26912394165992737,0.28759765625,0.08569962717592716,0.09589515255538003,0.0733456420294413,0.8307590915769419,0.718505859375,0.09085455443710089,0.870849609375,0.05220600496977568,0.40142959356307983,0.031666748225688934,0.766357421875,0.042983800172805786,0.07465054839849472,0.9983349443985559,0.9993793027786215,0.9990014661942412,0.7003918290138245,0.5135238170623779,0.7822265625,0.023032724857330322,0.5365565419197083,0.7439736410849572,0.7832017069248945,0.7687805057242769,0.9999576594530564,0.9999268466252502,0.999942878397918,0.1391564905643463,0.11748049408197403,0.09333247691392899,0.8645919561386108,0.782424807548523,0.9008351564407349,0.37902140617370605,0.0326245091855526,0.699462890625,0.03847295418381691,0.0710974633693695,0.6579329967498779,0.4671756327152252,0.75927734375,0.022966116666793823,0.49014174938201904,16.666454315185547
15,0.6351128220558167,0.0010939721250906587,0.836669921875,0.07401333411689848,0.07510730624198914,0.7305768728256226,0.2601342797279358,0.85400390625,0.0541989803314209,0.3143332600593567,0.4638671875,0.15253224968910217,0.08393755760672028,0.16933684473122085,0.7467255976620589,0.788330078125,0.10629411600530148,0.886962890625,0.05815611069556326,0.4351308345794678,0.02386302873492241,0.79541015625,0.05258422717452049,0.0764472559094429,0.9978689453803212,0.9991699586959757,0.9987023514568312,0.7135266065597534,0.5039794445037842,0.80859375,0.02617669105529785,0.530156135559082,0.46344320297503067,0.5829142315143144,0.538642354150218,0.9999481681836465,0.9998629881024795,0.9998902621521671,0.18828557431697845,0.20050904154777527,0.18548250198364258,0.8708032965660095,0.7609264850616455,0.8503214716911316,0.3812304139137268,0.028726104646921158,0.7060546875,0.04185810312628746,0.07058420777320862,0.665879487991333,0.4749521315097809,0.748779296875,0.02269834280014038,0.49765047430992126,13.588093757629395
16,0.6398159861564636,0.0061522116884589195,0.793701171875,0.0889509404078126,0.09510315209627151,0.7832098007202148,0.40795233845710754,0.83251953125,0.05163964629173279,0.45959198474884033,0.4111328125,0.13622327148914337,0.13702149971612287,0.16422120072263335,0.6987573790875571,0.7392578125,0.10546305449679494,0.87255859375,0.07749906019307673,0.4520190954208374,0.018565356731414795,0.80517578125,0.05810987204313278,0.07667522877454758,0.9972255432357494,0.9988915636511351,0.9983028210407108,0.721219539642334,0.49911051988601685,0.8076171875,0.02954202890396118,0.528652548789978,0.46713826073220693,0.5842247922528614,0.5331233170827945,0.9999173544314516,0.9998091828307679,0.9998393184946339,0.24447961151599884,0.2343197762966156,0.21995589137077332,0.8445796370506287,0.7522182464599609,0.8395223617553711,0.4165266454219818,0.022098353132605553,0.735595703125,0.051508696749806404,0.07360704988241196,0.662771463394165,0.43456676602363586,0.787109375,0.029181569814682007,0.46374833583831787,10.771167755126953
17,0.747677206993103,0.0026795007288455963,0.831298828125,0.08936997130513191,0.09204947203397751,0.8376914858818054,0.36008524894714355,0.850341796875,0.05555805563926697,0.4156433045864105,0.47119140625,0.1509104073047638,0.10955239964456254,0.19195849225262912,0.6984890374392956,0.758056640625,0.10666964016854763,0.903564453125,0.07573841809062287,0.4388985335826874,0.010634331963956356,0.787109375,0.04915813822299242,0.059792470186948776,0.9947384063590073,0.9980987317035697,0.9968937660697695,0.6754859089851379,0.429742693901062,0.7919921875,0.029108703136444092,0.4588513970375061,0.5130013824983108,0.6477961426145801,0.6039618338023209,0.9998507546687676,0.9996547934071314,0.9997009024365904,0.26808780431747437,0.2192949503660202,0.20940622687339783,0.7733651995658875,0.7764303088188171,0.8501533269882202,0.35818588733673096,0.01279777567833662,0.732666015625,0.039501593448221684,0.052299369126558304,0.5816231369972229,0.3582547903060913,0.760009765625,0.02742147445678711,0.3856762647628784,8.380593299865723
18,0.7112066149711609,0.02100726217031479,0.931640625,0.1455182358622551,0.16652549803256989,0.822739839553833,0.3960733413696289,0.936767578125,0.08658641576766968,0.4826597571372986,0.71826171875,0.32128530740737915,0.12101409934193949,0.15980106022682644,0.719185053256011,0.90478515625,0.19475475326180458,0.953857421875,0.10522940754890442,0.4557628035545349,0.011198852211236954,0.826904296875,0.06066000089049339,0.07185885310173035,0.9924105743169104,0.9970916385375942,0.9954311576749313,0.6942971348762512,0.4438358545303345,0.840087890625,0.033445924520492554,0.477281779050827,0.42043948598754627,0.5608815271572914,0.5118202160634467,0.9998255915859887,0.9996034300460807,0.9996693113082513,0.24619746208190918,0.2066613733768463,0.206278458237648,0.875379741191864,0.7693731188774109,0.8701085448265076,0.3978767693042755,0.0101216034963727,0.738037109375,0.04351824801415205,0.05363985151052475,0.6301446557044983,0.39204227924346924,0.773193359375,0.026159197092056274,0.4182014763355255,8.066932678222656
19,0.6110291481018066,0.005013208836317062,0.800537109375,0.07939987257122993,0.084413081407547,0.7069792747497559,0.24970997869968414,0.822998046875,0.05773778259754181,0.30744776129722595,0.499755859375,0.2035425528883934,0.05588732675727689,0.14264275564471238,0.801469977724112,0.74267578125,0.09760203864425421,0.82763671875,0.06660392694175243,0.4413698613643646,0.009252828545868397,0.8134765625,0.058862450532615185,0.06811527907848358,0.9889947095826406,0.9955414430076025,0.9931656022864473,0.6816298961639404,0.4362081289291382,0.832763671875,0.03186225891113281,0.468070387840271,0.2545209075812411,0.4943927030375529,0.3738053759360858,0.9997750951269158,0.9993861080288218,0.9995315351045814,0.12974056601524353,0.18376044929027557,0.13729485869407654,0.8949712514877319,0.7491660714149475,0.8666534423828125,0.4065070152282715,0.009213000535964966,0.803955078125,0.05393326282501221,0.06314626336097717,0.6466719508171082,0.41173017024993896,0.824462890625,0.0299452543258667,0.44167542457580566,7.208090782165527
20,0.5464202165603638,0.006644462235271931,0.881103515625,0.13669327925890684,0.14333774149417877,0.6831409931182861,0.3050123453140259,0.903076171875,0.09546065330505371,0.4004729986190796,0.70556640625,0.351737841963768,0.09437038913897322,0.16835605844351512,0.7372735589431153,0.840087890625,0.19852806441485882,0.878662109375,0.08994817279744893,0.4253392219543457,0.005733592435717583,0.848388671875,0.06742683984339237,0.07316043227910995,0.9826269388121422,0.9930488740761811,0.9893301158286475,0.6694262623786926,0.42844438552856445,0.86181640625,0.04023769497871399,0.46868208050727844,0.24631287551783596,0.5572588873989941,0.44931581739767773,0.999565964537387,0.999022803049291,0.9991759614847762,0.18312619626522064,0.1869259774684906,0.16538405418395996,0.8556760549545288,0.7570525407791138,0.8627939820289612,0.3984909951686859,0.004641855601221323,0.781982421875,0.05123708164319396,0.05587893724441528,0.6295682191848755,0.3890579342842102,0.806396484375,0.032755494117736816,0.421813428401947,6.194840908050537
21,0.49579140543937683,-0.0038618044927716255,0.8984375,0.12061441410332918,0.11675260961055756,0.6542308926582336,0.32550808787345886,0.900634765625,0.0737999975681305,0.39930808544158936,0.681884765625,0.3386358879506588,0.05603264326111961,0.1376782774819225,0.8062891274026506,0.809326171875,0.18047883361577988,0.89697265625,0.09103836608119309,0.39998912811279297,0.004194050561636686,0.853271484375,0.07419434236362576,0.07838839292526245,0.973848268724982,0.9892310175269639,0.9835829405453744,0.6688052415847778,0.452106773853302,0.86767578125,0.03714415431022644,0.48925092816352844,0.18331069228390512,0.4730804790213935,0.3402102610836577,0.9996826161665098,0.9991313340899215,0.9993011920084957,0.1310388147830963,0.17367218434810638,0.1353929191827774,0.9446299076080322,0.7791674137115479,0.8925877213478088,0.38777557015419006,0.004973523784428835,0.833984375,0.06565923197194934,0.07063275575637817,0.647914707660675,0.429829478263855,0.850341796875,0.033834487199783325,0.4636639654636383,6.67136287689209
22,0.502751886844635,-0.004310938064008951,0.90771484375,0.1437136703170836,0.13940273225307465,0.6633203625679016,0.3226170241832733,0.934814453125,0.09296473860740662,0.41558176279067993,0.69677734375,0.36878577247262,0.0805869554118373,0.10171296528588969,0.8177000854152381,0.84033203125,0.19583345390856266,0.930908203125,0.11335011478513479,0.39635929465293884,0.003057532710954547,0.8486328125,0.0873790152836591,0.09043654799461365,0.9653321114161307,0.9857964349380808,0.9785097850856267,0.7007156014442444,0.5084068775177002,0.86962890625,0.04208487272262573,0.5504917502403259,0.31224200570174887,0.5858542539378634,0.4981575733417463,0.9995912710855561,0.9990886721780029,0.9992332391547161,0.1870402693748474,0.14395356178283691,0.12425414472818375,0.8918948769569397,0.7690792083740234,0.9076837301254272,0.3801988959312439,0.0029297075234353542,0.83642578125,0.07533645117655396,0.07826615869998932,0.674657940864563,0.4790343642234802,0.850341796875,0.03848034143447876,0.517514705657959,7.437381744384766
23,0.46115928888320923,-0.0027904841117560863,0.830810546875,0.08795077679678798,0.08516029268503189,0.6095635294914246,0.27291813492774963,0.86083984375,0.0607491135597229,0.33366724848747253,0.53662109375,0.1638653799891472,0.07602599311989895,0.13621969535280154,0.7877542835386565,0.675537109375,0.08951666299253702,0.85693359375,0.08143586805090308,0.38970112800598145,0.0029591224156320095,0.836181640625,0.0825978466309607,0.08555696904659271,0.952370485632291,0.980226883083001,0.970280738697775,0.7244516611099243,0.5524449348449707,0.8642578125,0.03520268201828003,0.5876476168632507,0.2654958981906369,0.5255894215568602,0.4506175240249597,0.999646128383292,0.99904516906401,0.9992617233823095,0.16735535860061646,0.1967511624097824,0.16267457604408264,0.9357980489730835,0.7770522236824036,0.9209762811660767,0.37601521611213684,0.003368989797309041,0.83642578125,0.0807332235854119,0.08410221338272095,0.714863657951355,0.5474144220352173,0.860595703125,0.03475189208984375,0.582166314125061,8.3846435546875
24,0.50171959400177,0.008903777226805687,0.906494140625,0.15083704330027103,0.15974082052707672,0.7757190465927124,0.5630680322647095,0.949951171875,0.06414425373077393,0.6272122859954834,0.729248046875,0.35925935208797455,0.09798191667706051,0.13444364540069983,0.7675744501984324,0.86572265625,0.2063752692192793,0.93505859375,0.11424604011699557,0.39686861634254456,0.0068011111579835415,0.844970703125,0.09058112883940339,0.09738223999738693,0.9373501525342905,0.9738633418740749,0.9610944084389967,0.7659173607826233,0.6162605881690979,0.88330078125,0.03427720069885254,0.6505377888679504,0.2931495091104016,0.510777384891689,0.4364792866749635,0.9992502644853892,0.9983081374324617,0.9985885510312106,0.18392792344093323,0.1812950223684311,0.15532423555850983,0.9415244460105896,0.7697861790657043,0.8958481550216675,0.3773766756057739,0.006564117036759853,0.822998046875,0.07960824016481638,0.08617235720157623,0.7329709529876709,0.5748646259307861,0.8564453125,0.03364211320877075,0.6085067391395569,5.772477149963379
25,0.5438697934150696,0.008432959206402302,0.92919921875,0.16510849725455046,0.17354145646095276,0.7682616114616394,0.5068725347518921,0.960205078125,0.07858598232269287,0.585458517074585,0.79296875,0.3990713022649288,0.12131429814567216,0.17219317759360037,0.7064926291205906,0.84912109375,0.18740534782409668,0.9404296875,0.12421091785654426,0.40796729922294617,0.005187005735933781,0.856201171875,0.09905409719794989,0.10424110293388367,0.9196123156922755,0.9666824723042123,0.9504768689410147,0.8010225296020508,0.6714816093444824,0.896728515625,0.029995441436767578,0.70147705078125,0.33260450205512215,0.48681917436308575,0.4074665686930316,0.9988203438094843,0.9974016488705556,0.9978112516787501,0.2224809229373932,0.2384721338748932,0.21951177716255188,0.9466747045516968,0.7647401094436646,0.8963828682899475,0.3849533796310425,0.005478984676301479,0.826171875,0.08708640281111002,0.0925653874874115,0.7808448672294617,0.6510095000267029,0.871826171875,0.027995288372039795,0.6790047883987427,6.027811050415039
