site,layer,role,gini,hhi,maximum_energy_share,effective_units_inverse_hhi
mlp,18,fine,0.028429228210606672,0.031330871737746624,0.0340068449881763,31.91740109788346
mlp,19,coarse,0.05121244567290595,0.03152248052687929,0.03942658889034146,31.723391791686502
mlp,19,fine,0.02516691835850371,0.03131862691484805,0.034883400893417134,31.929880026953022
mlp,20,coarse,0.07337600269614475,0.031767468401683895,0.03970699023717626,31.47874383175567
mlp,20,fine,0.03848283457591917,0.03139260551172911,0.03524364975002821,31.85463530978254
mlp,21,coarse,0.06308426369688203,0.031628769974501945,0.03692984273640531,31.616784364556906
mlp,21,fine,0.03568888967923267,0.03137433038513146,0.036119427489626585,31.87319020755604
mlp,22,coarse,0.06132446935823199,0.03161865121877188,0.03916720059368489,31.626902522847136
mlp,22,fine,0.03207920857038604,0.03135113004909511,0.03565698103091093,31.89677687643234
mlp,23,coarse,0.07351177507692275,0.03186542171761574,0.04717971207459321,31.38197915162639
mlp,23,fine,0.03610230983718443,0.03139701081834718,0.03846941889526166,31.85016579398824
mlp,24,coarse,0.07989347397972746,0.03225113926535616,0.05587381689972259,31.006656595049023
mlp,24,fine,0.04957708018845741,0.031528595427427246,0.042002643517470434,31.71723911081949
mlp,25,coarse,0.11190130547748023,0.03274301322789966,0.05582640386051473,30.54086662824056
mlp,25,fine,0.11143753159983572,0.03281114365834873,0.05786966296365364,30.47745029593176
mlp,26,coarse,0.10547182164442281,0.032508857913371214,0.05237487740109907,30.76084686410008
mlp,26,fine,0.0957075572406143,0.03244873946336599,0.054751476813917115,30.81783812061424
mlp,27,coarse,0.09953243163730963,0.03234726119516987,0.04984787998889495,30.9145183564821
mlp,27,fine,0.10010635467712392,0.03247045321042934,0.05216556039527624,30.797229515687985
mlp,28,coarse,0.09387124250661527,0.03225667246657393,0.049628180349912975,31.001337817354
mlp,28,fine,0.09353072946588381,0.03229021912746389,0.048364489678452874,30.969130189316903
mlp,29,coarse,0.09408275150138201,0.03225870758812488,0.048814207335505275,30.999382020131563
mlp,29,fine,0.09195226958545777,0.03226353365884864,0.04693522318730887,30.994745044789557
mlp,30,coarse,0.08709008857704892,0.032065194292377766,0.04516016759446532,31.186463143861584
mlp,30,fine,0.08552521440220784,0.032072553694385955,0.04557211173517116,31.17930706512597
mlp,31,coarse,0.07749675509463594,0.03189034623506937,0.041813651860914534,31.357451958308122
mlp,31,fine,0.07904292773793453,0.03194624730272086,0.04400817055678706,31.302581192841078
mlp,32,coarse,0.06392526569927393,0.03171565517291276,0.04028627690291985,31.530170023227683
mlp,32,fine,0.0694582229333387,0.03182484256685126,0.0453417706486432,31.421993617074463
mlp,33,coarse,0.05945528529830457,0.03164861349142932,0.04149960499258199,31.596960804327413
mlp,33,fine,0.06544362952412874,0.03174829634718594,0.043769204136825904,31.49775310978652
mlp,34,coarse,0.059373652146235134,0.0316883355659016,0.04160036315595682,31.55735327026943
mlp,34,fine,0.0666273018440342,0.03178454300914251,0.04403957161244818,31.461833499143275
mlp,35,coarse,0.08246825827794324,0.032162374817843495,0.04926379894307323,31.092231393473032
mlp,35,fine,0.07765789143993773,0.03202097711975426,0.04867764993281407,31.229527951634047
mlp,36,coarse,0.1287028695370962,0.03336159731185451,0.055098769758914104,29.97458397007466
mlp,36,fine,0.08547074853789027,0.032198979851819014,0.0527787676428012,31.056884553549207
