role,band,band_index,b,q,j,e,q_enrichment,j_enrichment,layer,split,floor_ratio
coarse,F7,7,3.854240276268683e-06,0.017429149428259294,0.3221147954463959,0.355912098123244,0.8483871489040515,1.0356323845948736,2,confirmation,1e-06
coarse,F8,8,2.733441760938149e-06,0.01987984946108811,0.3208194375038147,0.25241420422678695,0.9676782492660475,1.0314676748269782,2,confirmation,1e-06
coarse,F9,9,1.776466092451301e-06,0.020122073334047558,0.29086342453956604,0.16404420297876293,0.9794688201038516,0.9351559947126679,2,confirmation,1e-06
coarse,F10,10,1.2648831670958316e-06,0.023623135712459605,0.2868152856826782,0.11680310245672607,1.1498877118336062,0.9221408095774432,2,confirmation,1e-06
coarse,F11,11,8.106304676402942e-07,0.02565913189852915,0.2865237593650818,0.07485604681081148,1.2489925480500212,0.9212035223129877,2,confirmation,1e-06
coarse,F12,12,4.645099238587136e-07,0.02645231011650955,0.2553843557834625,0.04289423848781816,1.2876015581853137,0.8210871189624277,2,confirmation,1e-06
coarse,F13,13,2.6934642960441124e-07,0.03053889561507548,0.24463649094104767,0.024872256530751865,1.486521570556064,0.786531621812326,2,confirmation,1e-06
coarse,F14,14,1.3775606078070268e-07,0.03622652124817226,0.23186475038528442,0.01272080750220336,1.763374351855472,0.7454691549086806,2,confirmation,1e-06
coarse,F15,15,5.0010413588097435e-08,0.04283311290456529,0.22934533655643463,0.004618111470046331,2.084959032875696,0.7373689788589058,2,confirmation,1e-06
coarse,F16,16,6.617400849506794e-09,0.018135087986848226,0.1757899820804596,0.0006110706265439678,0.8827496519904982,0.5651829748384614,2,confirmation,1e-06
fine,F1,1,6.998113531153649e-05,0.004167580351318681,0.4964676797389984,6.963753851238718,0.14749791272969057,1.1430758019546357,2,confirmation,1e-06
fine,F2,2,3.209648639312945e-05,0.008403390371634716,0.4759807884693146,3.193889749521398,0.29741059204214493,1.0959064279483306,2,confirmation,1e-06
fine,F3,3,1.872756183729507e-05,0.010990222886355167,0.42405274510383606,1.8635612338697773,0.38896309117556527,0.9763463997000974,2,confirmation,1e-06
fine,F4,4,1.2287616300454829e-05,0.01326373465596858,0.44278740882873535,1.2227285961268188,0.4694266245249002,1.0194814145976392,2,confirmation,1e-06
fine,F5,5,8.124719897750765e-06,0.014806280558211609,0.42049741744995117,0.8084828750823464,0.5240200052616609,0.9681605516076043,2,confirmation,1e-06
fine,F6,6,5.883473932044581e-06,0.017102484465894355,0.41595688462257385,0.5854586964122017,0.6052866528207894,0.9577063500255714,2,confirmation,1e-06
fine,F7,7,4.220816663291771e-06,0.019348578162647803,0.40079718828201294,0.4200093091305592,0.6847798129134609,0.9228024020767635,2,confirmation,1e-06
fine,F8,8,3.175230403940077e-06,0.02296842940433711,0.43491503596305847,0.3159640502483083,0.8128926403895315,1.0013559266878314,2,confirmation,1e-06
fine,F9,9,2.209284275522805e-06,0.02519638371522407,0.41594868898391724,0.2198437023586962,0.891743816086471,0.9576874802448943,2,confirmation,1e-06
fine,F10,10,1.583592393217259e-06,0.029530307866966202,0.4114455282688141,0.157581719387183,1.045128925052275,0.9473193248627488,2,confirmation,1e-06
fine,F11,11,1.0686208042898215e-06,0.0337869172485151,0.44384437799453735,0.10633740376258657,1.1957777299122516,1.021914998748526,2,confirmation,1e-06
fine,F12,12,7.020948942226823e-07,0.040033359090947025,0.45880815386772156,0.06986477143894307,1.416850164293652,1.056367856013075,2,confirmation,1e-06
fine,F13,13,4.164992901678488e-07,0.047032737186135445,0.4448743164539337,0.04144543415925998,1.6645703214154086,1.0242863469318708,2,confirmation,1e-06
fine,F14,14,2.167529657981504e-07,0.05705096628051116,0.42126426100730896,0.021568874149080215,2.019132862771263,0.9699261455225221,2,confirmation,1e-06
fine,F15,15,8.235492288122259e-08,0.07191386950045646,0.4437786936759949,0.008195057265497652,2.5451568424533035,1.0217637660335723,2,confirmation,1e-06
fine,F16,16,1.3211035820859252e-08,0.03648766835883964,0.3977987766265869,0.0013146171631370376,1.291362006157632,0.9158988070443173,2,confirmation,1e-06
coarse,F1,1,7.622762495884672e-05,0.00429182279225038,0.3866349458694458,7.714674753714544,0.23110024709100008,1.4589407255244702,2,design,1e-06
coarse,F2,2,3.148510222672485e-05,0.008182427447505213,0.37118348479270935,3.1864737147165427,0.44059624463924496,1.4006356859140079,2,design,1e-06
coarse,F3,3,1.774519114405848e-05,0.010479984986382706,0.3338634669780731,1.7959155646370286,0.5643120038031901,1.2598111317738427,2,design,1e-06
coarse,F4,4,1.0372202268627007e-05,0.011224453576557623,0.31017860770225525,1.0497266184719407,0.6043991377481358,1.1704379228982158,2,design,1e-06
coarse,F5,5,7.228293725347612e-06,0.013192423273523851,0.30071553587913513,0.7315449634627597,0.7103676982529432,1.1347296636764153,2,design,1e-06
coarse,F6,6,4.7832013478910085e-06,0.013849472410935433,0.270796000957489,0.48408752995295246,0.745747588187105,1.0218303294277191,2,design,1e-06
coarse,F7,7,3.4681625038501807e-06,0.01569212630297807,0.2788550555706024,0.3509980236781236,0.8449683133585099,1.0522406250047442,2,design,1e-06
coarse,F8,8,2.459465122228721e-06,0.01790065715382562,0.27312415838241577,0.2489120380746864,0.963890284289035,1.0306154734477961,2,design,1e-06
coarse,F9,9,1.6186083939828677e-06,0.018310296934096006,0.249674454331398,0.16381249343596227,0.9859480110455378,0.9421296068518725,2,design,1e-06
