layer,template_index,D_coarse,D_fine,R
22,1,0.454621821641922,0.7143089175224304,0.45184961424631875
22,2,0.4102391004562378,0.7562440037727356,0.6116239188538439
22,3,0.4903097152709961,0.7166028022766113,0.37948445196745145
23,0,0.5871297717094421,0.8322113752365112,0.348840593768542
23,1,0.4616515338420868,0.7232564091682434,0.4489534547044668
23,2,0.43793120980262756,0.7307338118553162,0.5119874081681853
23,3,0.4426432251930237,0.6910807490348816,0.44549259033745964
24,0,0.6042171120643616,1.1351089477539062,0.630550324113519
24,1,0.5029223561286926,0.7827788591384888,0.4424144318242443
24,2,0.47228309512138367,0.9514339566230774,0.7003916909871684
24,3,0.5497783422470093,1.0925405025482178,0.6867458166550653
25,0,1.0827765464782715,1.544768214225769,0.3553452574849318
25,1,0.8390305042266846,1.1216378211975098,0.2902981728206421
25,2,1.0197054147720337,1.385597825050354,0.30661791260826315
25,3,1.0685549974441528,1.564431071281433,0.3812149590810939
26,0,0.3381005823612213,1.1231625080108643,1.200560220929529
26,1,0.41596361994743347,0.8168599009513855,0.6748697959043137
26,2,0.3507373631000519,0.9678485989570618,1.0150379788993296
26,3,0.3044740855693817,1.0087740421295166,1.1979050742199153
27,0,0.4446975588798523,1.1580455303192139,0.957094567287321
27,1,0.4376415014266968,0.9672201871871948,0.7930260855270839
27,2,0.38408833742141724,1.1260032653808594,1.0755571371788095
27,3,0.3920903205871582,1.1431373357772827,1.0700395874514708
28,0,0.6505111455917358,2.261577606201172,1.2460594728898287
28,1,0.6664720177650452,2.001505136489868,1.0996565898605066
28,2,0.649763286113739,2.182201862335205,1.2114815532894327
28,3,0.5962406396865845,2.2361555099487305,1.321869036693754
29,0,0.587300717830658,1.341544508934021,0.826039863014365
29,1,0.5892212986946106,0.9825689792633057,0.5113687167481038
29,2,0.5372869968414307,1.1617323160171509,0.7711351494864167
29,3,0.5085030794143677,1.2132905721664429,0.869620157272599
30,0,0.4019019901752472,1.6576554775238037,1.41695126672907
30,1,0.39255550503730774,1.5180987119674683,1.3525360421557018
30,2,0.3874624967575073,1.7844065427780151,1.5272221083533375
30,3,0.3527950048446655,1.641165018081665,1.5372744800702367
31,0,1.2333805561065674,1.7494300603866577,0.3495312361270643
31,1,1.179054617881775,1.5984807014465332,0.3043406704489008
31,2,1.1389073133468628,1.6248865127563477,0.3553686693489094
31,3,1.1584150791168213,1.7752423286437988,0.4268841770305625
32,0,0.45635098218917847,0.9059000015258789,0.6856667151273769
32,1,0.381910502910614,0.7684797644615173,0.699227935834183
32,2,0.4686029255390167,0.9566139578819275,0.713644153075116
32,3,0.4755227267742157,0.9617345333099365,0.7043237833107794
33,0,0.38458117842674255,0.8065754175186157,0.7406425113964527
33,1,0.294370174407959,0.7174333333969116,0.8908419562236756
33,2,0.4103527367115021,0.85576993227005,0.734984446037509
33,3,0.4454028904438019,0.8274717926979065,0.6193957749478587
34,0,0.2233307659626007,0.6824166178703308,1.1169864200160133
34,1,0.21655209362506866,0.6314380168914795,1.070168649077729
34,2,0.27711641788482666,0.7433385848999023,0.9867139415822558
34,3,0.25953689217567444,0.7273253202438354,1.0304750017027389
35,0,0.5666854381561279,1.288243293762207,0.8212304145134337
35,1,0.4610230624675751,0.9762055277824402,0.7502250771982036
35,2,0.5470163822174072,1.2060818672180176,0.790653507065854
35,3,0.5649157166481018,1.3885163068771362,0.8993145049730905
36,0,0.9502608776092529,2.4277734756469727,0.9379932962347733
36,1,0.8095166683197021,1.6776139736175537,0.7286904452932491
36,2,0.8654459118843079,2.0289111137390137,0.8520096517771525
36,3,0.792933464050293,2.388559103012085,1.102706263331141
