layer,band,rank,split_half_overlap,random_expectation,normalized_excess,stability_pass,reconstruction_relative_error,trace_relative_error,orthogonality_relative_error
14,F12,256,0.5424111315104494,0.0625,0.5119052069444794,True,4.576050557062471e-15,1.8995273247098655e-16,5.776891931083399e-15
14,F13,256,0.6342375186274821,0.0625,0.6098533532026476,True,4.576050557062471e-15,1.8995273247098655e-16,5.776891931083399e-15
14,F14,256,0.7378596622305311,0.0625,0.7203836397125666,True,4.576050557062471e-15,1.8995273247098655e-16,5.776891931083399e-15
14,F15,256,0.8542015872665226,0.0625,0.8444816930842908,True,4.576050557062471e-15,1.8995273247098655e-16,5.776891931083399e-15
14,F16,256,0.9585083178005592,0.0625,0.9557422056539299,True,4.576050557062471e-15,1.8995273247098655e-16,5.776891931083399e-15
14,H,256,0.7078569916839741,0.0625,0.6883807911295724,True,4.576050557062471e-15,1.8995273247098655e-16,5.776891931083399e-15
14,M,1792,0.8747327608540054,0.4375,0.7773026859626763,True,4.576050557062471e-15,1.8995273247098655e-16,5.776891931083399e-15
14,T,2048,0.9253248379269033,0.5,0.8506496758538067,True,4.576050557062471e-15,1.8995273247098655e-16,5.776891931083399e-15
15,F1,256,0.6795011519026813,0.0625,0.6581345620295268,True,4.583819176182018e-15,0.0,5.864635591974978e-15
15,F2,256,0.44760778702465087,0.0625,0.4107816394929609,True,4.583819176182018e-15,0.0,5.864635591974978e-15
15,F3,256,0.35146903382532735,0.0625,0.30823363608034915,True,4.583819176182018e-15,0.0,5.864635591974978e-15
15,F4,256,0.3119322556988148,0.0625,0.2660610727454024,True,4.583819176182018e-15,0.0,5.864635591974978e-15
15,F5,256,0.2967870317150489,0.0625,0.24990616716271882,False,4.583819176182018e-15,0.0,5.864635591974978e-15
15,F6,256,0.2972189010044145,0.0625,0.25036682773804214,True,4.583819176182018e-15,0.0,5.864635591974978e-15
15,F7,256,0.3043616929500359,0.0625,0.2579858058133716,True,4.583819176182018e-15,0.0,5.864635591974978e-15
15,F8,256,0.3205777044929571,0.0625,0.2752828847924876,True,4.583819176182018e-15,0.0,5.864635591974978e-15
15,F9,256,0.3454023006734245,0.0625,0.30176245405165275,True,4.583819176182018e-15,0.0,5.864635591974978e-15
