layer,omitted_parent,D_coarse,D_fine,R
8,2,0.4565353989601135,0.44393661618232727,-0.027984445405044245
8,3,0.418075293302536,0.42763978242874146,0.022619667551397007
8,4,0.45017239451408386,0.4220362603664398,-0.06453937293727292
8,5,0.4278896152973175,0.44194915890693665,0.032329596230451736
8,6,0.36542877554893494,0.4715403616428375,0.2549333093844115
8,7,0.42666095495224,0.44128966331481934,0.033711811414681755
9,0,0.259315550327301,0.34699416160583496,0.29126229330547704
9,1,0.3351737856864929,0.3742825984954834,0.11036196247759616
9,2,0.3434785008430481,0.36571502685546875,0.0627298937914692
9,3,0.3194231688976288,0.35865867137908936,0.11585438814569962
9,4,0.33328330516815186,0.3448209762573242,0.03403247839754621
9,5,0.3212909698486328,0.3499390482902527,0.08541183089525882
9,6,0.28822124004364014,0.37211671471595764,0.25547917447912
9,7,0.32120558619499207,0.34756189584732056,0.078861393127975
10,0,0.18642473220825195,0.23621706664562225,0.23672357924442083
10,1,0.21647438406944275,0.24395321309566498,0.11950423524253863
10,2,0.21738505363464355,0.24362267553806305,0.113950394842147
10,3,0.21600604057312012,0.24373158812522888,0.1207611982190488
10,4,0.21838916838169098,0.23646588623523712,0.07952530596038304
10,5,0.2021544873714447,0.24005386233329773,0.17183113048420326
10,6,0.18007910251617432,0.253103107213974,0.34040073132162924
10,7,0.19981016218662262,0.23536065220832825,0.16375130124282836
11,0,0.24484924972057343,0.3527493178844452,0.36511494312033077
11,1,0.28586268424987793,0.37074965238571167,0.2600154728975493
11,2,0.2844194769859314,0.36287152767181396,0.24359867329804105
11,3,0.27346718311309814,0.3542843759059906,0.25891828636660635
11,4,0.27970659732818604,0.35383695363998413,0.23509503700689954
11,5,0.25857555866241455,0.3629302680492401,0.3390227689689957
11,6,0.25376054644584656,0.37773966789245605,0.39781415723071895
11,7,0.26449617743492126,0.36332815885543823,0.31747964561934905
12,0,0.33134040236473083,0.3885362446308136,0.1592402063634211
12,1,0.3676171898841858,0.39467594027519226,0.07102287195989972
12,2,0.35853394865989685,0.39759209752082825,0.10340324717662652
12,3,0.3618020713329315,0.3927169144153595,0.08199173473868168
12,4,0.3571074604988098,0.39684566855430603,0.10551071462500862
12,5,0.3229946494102478,0.3907639682292938,0.1904679580984482
12,6,0.3477397859096527,0.4232941269874573,0.1966128146428555
12,7,0.3054857850074768,0.39901742339134216,0.2671018363086078
13,0,0.2670900225639343,0.34846872091293335,0.2659627079602144
13,1,0.3510711193084717,0.3544979691505432,0.009713795130544768
13,2,0.34830427169799805,0.3647170066833496,0.04604528698984718
13,3,0.34608596563339233,0.3498852252960205,0.010917973192164053
13,4,0.33150553703308105,0.34870511293411255,0.05058210396730424
13,5,0.3064861297607422,0.36143314838409424,0.16490459538251093
13,6,0.31509914994239807,0.3852742314338684,0.20106801914822506
13,7,0.31767407059669495,0.3579014539718628,0.11923175832805277
14,0,0.2100646197795868,0.27611997723579407,0.2734202747725209
14,1,0.29194068908691406,0.2853032946586609,-0.02299785586858451
14,2,0.2953051030635834,0.29230576753616333,-0.010208666060784126
14,3,0.2843918204307556,0.2847811281681061,0.0013679771641295834
14,4,0.2789399027824402,0.2709232270717621,-0.029160870599538535
14,5,0.2664957046508789,0.2813241183757782,0.05414932495965383
14,6,0.25908133387565613,0.3002503216266632,0.14747448934548482
14,7,0.26996561884880066,0.2879840135574341,0.06461035682094154
15,0,0.2965697646141052,0.36262908577919006,0.2010980250392031
15,1,0.35780882835388184,0.3800612986087799,0.060333707078450205
15,2,0.35210922360420227,0.3842644989490509,0.08738969302393199
15,3,0.3363109827041626,0.36817193031311035,0.09051375532782201
15,4,0.33692944049835205,0.37307924032211304,0.10191730456890918
15,5,0.31705087423324585,0.37595775723457336,0.17041454175711868
15,6,0.3196036219596863,0.3987884819507599,0.2213496092842803
15,7,0.32067304849624634,0.3803558051586151,0.1706850804473015
16,0,0.25639745593070984,0.31447654962539673,0.20418070664109653
16,1,0.33049964904785156,0.3220038414001465,-0.02604212212136286
16,2,0.3323814868927002,0.3359530568122864,0.010688072172794381
16,3,0.3251071572303772,0.3231407105922699,-0.006066977671647854
16,4,0.31783822178840637,0.3228292763233185,0.015581110397587413
16,5,0.3021755516529083,0.32349273562431335,0.06816851277133198
16,6,0.2995893955230713,0.3480943739414215,0.15006077692982778
16,7,0.3026556372642517,0.3176887631416321,0.048476522737670995
17,0,0.20849643647670746,0.2825985550880432,0.30410540746066367
17,1,0.25046780705451965,0.28317075967788696,0.12271970925019496
17,2,0.24827413260936737,0.2989272475242615,0.1856667153524137
17,3,0.25086697936058044,0.29063791036605835,0.14715536217482816
17,4,0.23005646467208862,0.28866440057754517,0.22693999230260115
17,5,0.2307252734899521,0.2936208248138428,0.2410615129262096
17,6,0.22951869666576385,0.3173169493675232,0.32391662151044687
17,7,0.22468136250972748,0.29692983627319336,0.2788126375195735
18,0,0.23114556074142456,0.2984335124492645,0.2554995240081696
18,1,0.27394136786460876,0.298653244972229,0.08636908699375877
18,2,0.29121971130371094,0.3105441629886627,0.06424811915882661
18,3,0.28449511528015137,0.30003947019577026,0.0531979493920283
18,4,0.26778846979141235,0.3099280595779419,0.1461428276371571
18,5,0.26359081268310547,0.30485424399375916,0.14543582506701078
18,6,0.26232418417930603,0.32941749691963196,0.22774485080131793
18,7,0.25945383310317993,0.31126317381858826,0.18205999274303172
19,0,0.23405912518501282,0.3005230128765106,0.24995057782239705
19,1,0.27643874287605286,0.3046835958957672,0.09728459597411415
19,2,0.2944931387901306,0.3175525665283203,0.0753876635034258
19,3,0.28181275725364685,0.31082677841186523,0.0979929053734892
19,4,0.24878180027008057,0.31400415301322937,0.23283000382800934
