condition,seed,metric,status,threshold,natural_load_error,calibrated_load_error,natural_mean_margin,calibrated_mean_margin,margin_delta_cal_minus_nat,calibrated_validity,calibrated_validity_reason
C1_random_unconstrained,15,M1_signed_prototype,ok,0.0,0.0,0.0,0.12337926255375907,0.12337926255375907,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,15,M2_unsigned_prototype,ok,1.1275702593849246e-17,0.0,0.0,0.1227986316995308,0.1227986316995308,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,15,M3_top1_projection,ok,1.734723475976807e-18,0.0,0.0,0.1785531944041385,0.1785531944041385,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,15,M3_fullspan_control,ok,0.0,0.10819999999999996,0.10819999999999996,9.999778782798784e-17,9.999778782798784e-17,0.0,False,degenerate_scores
C1_random_unconstrained,15,M4_matrix_response,ok,0.015843790289584686,0.009000000000000008,0.0,0.3622427654322376,0.3621022760439936,-0.0001404893882440139,True,calibrated_load_margin_preserved
C1_random_unconstrained,16,M1_signed_prototype,ok,-2.220446049250313e-16,0.0,0.0,0.9320945291183013,0.9320945291183013,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,16,M2_unsigned_prototype,ok,-5.551115123125783e-17,0.0,0.0,0.6349748263456939,0.6349748263456939,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,16,M3_top1_projection,ok,-5.551115123125783e-17,0.0,0.0,0.5783462644679629,0.5783462644679629,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,16,M3_fullspan_control,ok,-1.1102230246251565e-16,0.028100000000000014,0.1271,1.2296830220748233e-16,8.850697952311748e-17,-3.446132268436485e-17,False,degenerate_scores
C1_random_unconstrained,16,M4_matrix_response,ok,-0.7736975071515262,0.0902,0.0,1.830939579642981,1.7616214231507474,-0.0693181564922336,True,calibrated_load_margin_preserved
C1_random_unconstrained,17,M1_signed_prototype,ok,3.3306690738754696e-16,0.0,0.0,1.0224122616561135,1.0224122616561135,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,17,M2_unsigned_prototype,ok,1.942890293094024e-16,0.0,0.0,0.6093352735166134,0.6093352735166134,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,17,M3_top1_projection,ok,-4.163336342344337e-17,0.0,0.0,0.5217381989438024,0.5217381989438024,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,17,M3_fullspan_control,ok,2.220446049250313e-16,0.49019999999999997,0.20430000000000004,2.2549739853161553e-16,1.8841594950913532e-16,-3.708144902248021e-17,False,degenerate_scores
C1_random_unconstrained,17,M4_matrix_response,ok,1.4119452159242503,0.247,0.0,1.613611702539265,1.2835364228282546,-0.33007527971101025,True,calibrated_load_margin_preserved
C1_random_unconstrained,18,M1_signed_prototype,ok,0.0,0.0,0.0,0.3370268166677644,0.3370268166677644,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,18,M2_unsigned_prototype,ok,-2.7755575615628914e-17,0.0,0.0,0.3250053279216479,0.3250053279216479,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,18,M3_top1_projection,ok,2.0816681711721685e-16,0.0,0.0,0.40500086849325834,0.40500086849325834,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,18,M3_fullspan_control,ok,1.1102230246251565e-16,0.41769999999999996,0.03300000000000003,1.2523315717771765e-16,1.2523315717771765e-16,0.0,False,degenerate_scores
C1_random_unconstrained,18,M4_matrix_response,ok,-1.5860913613844212,0.18880000000000002,0.0,2.09662577138473,1.8062337906421482,-0.29039198074258166,True,calibrated_load_margin_preserved
C1_random_unconstrained,19,M1_signed_prototype,ok,-2.220446049250313e-16,0.0,0.0,0.7726923421841211,0.7726923421841211,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,19,M2_unsigned_prototype,ok,-1.1102230246251565e-16,0.0,0.0,0.6141360402799332,0.6141360402799332,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,19,M3_top1_projection,ok,-1.6653345369377348e-16,0.0,0.0,0.6287602593410213,0.6287602593410213,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,19,M3_fullspan_control,ok,-2.220446049250313e-16,0.36460000000000004,0.1874,2.367994689222996e-16,1.695310558602614e-17,-2.1984636333627347e-16,False,degenerate_scores
C1_random_unconstrained,19,M4_matrix_response,ok,0.7342212253991174,0.10560000000000003,0.0,1.5128746335944008,1.4361139397761142,-0.07676069381828654,True,calibrated_load_margin_preserved
C1_random_unconstrained,20,M1_signed_prototype,ok,0.0,0.0,0.0,0.047540850362133666,0.047540850362133666,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,20,M2_unsigned_prototype,ok,9.280770596475918e-17,0.0,0.0,0.04750769655067335,0.04750769655067335,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,20,M3_top1_projection,ok,1.734723475976807e-16,0.0,0.0,0.3924962304185305,0.3924962304185305,0.0,True,calibrated_load_margin_preserved
C1_random_unconstrained,20,M3_fullspan_control,ok,1.1102230246251565e-16,0.40969999999999995,0.05389999999999995,1.2825296380469808e-16,1.2825296380469808e-16,0.0,False,degenerate_scores
C1_random_unconstrained,20,M4_matrix_response,ok,-5.6044129566598535,0.5,0.0,5.6044129566598535,1.7145468677927234,-3.88986608886713,True,calibrated_load_margin_preserved
C1_random_unconstrained,21,M1_signed_prototype,ok,5.516420653606247e-16,0.0,0.0,1.2732117486830865,1.2732117486830865,0.0,True,calibrated_load_margin_preserved
