condition,seed,metric,sign_sensitivity_mean,sign_sensitivity_max,n_variants,status
C2_orthogonal_equal_singular,23,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,23,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,23,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,24,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,24,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,24,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,24,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,24,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,25,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,25,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,25,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,25,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,25,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,26,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,26,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,26,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,26,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,26,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,27,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,27,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,27,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,27,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,27,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,28,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,28,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,28,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,28,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,28,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,29,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,29,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,29,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,29,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,29,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,30,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,30,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,30,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,30,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,30,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,31,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,31,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,31,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,31,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,31,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,32,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,32,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,32,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,32,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,32,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,33,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,33,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,33,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,33,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,33,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,34,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,34,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,34,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,34,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,34,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,35,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,35,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,35,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,35,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,35,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,36,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,36,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,36,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,36,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,36,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,37,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,37,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,37,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,37,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,37,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,38,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,38,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,38,M3_top1_projection,,,0,not_applicable
C2_orthogonal_equal_singular,38,M3_fullspan_control,,,0,not_applicable
C2_orthogonal_equal_singular,38,M4_matrix_response,,,0,not_applicable
C2_orthogonal_equal_singular,39,M1_signed_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
C2_orthogonal_equal_singular,39,M2_unsigned_prototype,,,0,undefined_prototype_equal_singular_values/undefined_prototype_equal_singular_values
