condition,seed,step,top1_A,top1_B,NMI,selected_gate_A,selected_gate_B,expert_usage_E0,expert_usage_E1,update_norm_E0,update_norm_E1,router_grad_norm,CE_A_E0,CE_A_E1,CE_B_E0,CE_B_E1,interpretation_tag
ntp_no_router_prior,2,300,1,0,1.0,0.9031769037246704,0.8908356428146362,0.5,0.5,6.4849853515625e-05,4.76837158203125e-05,9.467027827598122e-06,3.8992719650268555,1.9073468138230965e-06,1.9073468138230965e-06,3.980564594268799,success_control
ntp_no_prior_no_expert_advantage,0,0,0,0,0.0,0.5064302682876587,0.5085770487785339,1.0,0.0,0.0,0.0,0.0853711070940212,0.4938252568244934,0.5003397464752197,0.4971432089805603,0.47647562623023987,early_lock_in
ntp_no_prior_no_expert_advantage,0,10,0,0,0.0,0.8815644979476929,0.882128119468689,1.0,0.0,0.09609309583902359,0.0,0.03794092837648065,0.06086234003305435,0.34914761781692505,0.048516809940338135,0.31803056597709656,early_lock_in
ntp_no_prior_no_expert_advantage,0,50,0,0,0.0,0.984092116355896,0.9840176701545715,1.0,0.0,0.003780233208090067,0.0,3.89185290562219e-05,0.00015948931104503572,0.20248952507972717,0.00012087091454304755,0.18562082946300507,early_lock_in
ntp_no_prior_no_expert_advantage,0,100,0,0,0.0,0.9850032925605774,0.9849222302436829,1.0,0.0,0.0005551917711272836,0.0,2.6202057790821923e-05,9.965400386136025e-05,0.19567222893238068,9.262132516596466e-05,0.18154624104499817,early_lock_in
ntp_no_prior_no_expert_advantage,0,200,0,0,0.0,0.9852620959281921,0.9851787686347961,1.0,0.0,0.0004920546780340374,0.0,1.889197298136423e-05,6.782778655178845e-05,0.1901198774576187,6.758938252460212e-05,0.17677293717861176,early_lock_in
ntp_no_prior_no_expert_advantage,0,300,0,0,0.0,0.985500156879425,0.9854174256324768,1.0,0.0,0.0004484709061216563,0.0,1.373548026904499e-05,4.827859811484814e-05,0.18537594377994537,4.815939246327616e-05,0.1719205230474472,early_lock_in
ntp_no_prior_no_expert_advantage,1,0,1,1,0.0,0.5022022128105164,0.5095292925834656,0.0,1.0,0.0,0.0,0.07759155603276804,0.4966928958892822,0.5182592272758484,0.48626092076301575,0.5090137720108032,early_lock_in
ntp_no_prior_no_expert_advantage,1,10,1,1,0.0,0.8808081150054932,0.8824605345726013,0.0,1.0,0.0,0.09753090143203735,0.03948099254537346,0.28669169545173645,0.0615270622074604,0.39632293581962585,0.0566137358546257,early_lock_in
ntp_no_prior_no_expert_advantage,1,50,1,1,0.0,0.9850350618362427,0.9843863844871521,0.0,1.0,0.0,0.0038602198474109173,3.733087292675167e-05,0.15045535564422607,0.0001399419124936685,0.2547961473464966,0.00014125302550382912,early_lock_in
ntp_no_prior_no_expert_advantage,1,100,1,1,0.0,0.9859206080436707,0.9852738976478577,0.0,1.0,0.0,0.0004943837993778288,2.5217378547828493e-05,0.14608599245548248,9.738924563862383e-05,0.248077854514122,9.655486064730212e-05,early_lock_in
ntp_no_prior_no_expert_advantage,1,200,1,1,0.0,0.9861719012260437,0.9855120778083801,0.0,1.0,0.0,0.0004840611945837736,1.8207550219292546e-05,0.14225298166275024,6.913899414939806e-05,0.24121524393558502,6.782778655178845e-05,early_lock_in
ntp_no_prior_no_expert_advantage,1,300,1,1,0.0,0.9864048957824707,0.9857326149940491,0.0,1.0,0.0,0.00044165129656903446,1.3252364850313979e-05,0.13863055408000946,4.9232225137529895e-05,0.23487693071365356,4.827859811484814e-05,early_lock_in
ntp_no_prior_no_expert_advantage,2,0,1,0,1.0,0.5031007528305054,0.5008040070533752,0.5,0.5,0.0,0.0,0.050456194516493774,0.4987516403198242,0.48906055092811584,0.49321380257606506,0.5033137798309326,success_control
ntp_no_prior_no_expert_advantage,2,10,1,0,1.0,0.7334198355674744,0.7277237772941589,0.5,0.5,0.08477011322975159,0.08560597896575928,0.02830302873537264,1.4001476764678955,0.009088101796805859,0.008189431391656399,1.3221064805984497,success_control
ntp_no_prior_no_expert_advantage,2,50,1,0,1.0,0.8919219374656677,0.8757604360580444,0.5,0.5,0.002283334732055664,0.0022253692150115967,1.748497776647441e-05,4.351221561431885,2.622600959512056e-06,2.861018856492592e-06,4.481491565704346,success_control
ntp_no_prior_no_expert_advantage,2,100,1,0,1.0,0.8935266733169556,0.8797317147254944,0.5,0.5,6.917136488482356e-05,5.260119360173121e-05,1.3090995166551563e-05,4.466324806213379,2.0265558760002023e-06,2.264974000354414e-06,4.592329978942871,success_control
ntp_no_prior_no_expert_advantage,2,200,1,0,1.0,0.8924532532691956,0.8821442723274231,0.5,0.5,6.8932946305722e-05,5.057463931734674e-05,1.1851504356962638e-05,4.503613471984863,1.9073468138230965e-06,2.0265558760002023e-06,4.614885330200195,success_control
ntp_no_prior_no_expert_advantage,2,300,1,0,1.0,0.891603410243988,0.8844904899597168,0.5,0.5,7.75458465795964e-05,6.020080763846636e-05,1.0641482619885616e-05,4.546706676483154,1.7881377516459906e-06,1.9073468138230965e-06,4.6437177658081055,success_control
