dim,seed,lr,variant,trainable_parameters,first_stable_tail_step,success,final_tail_loss,final_a_bayes_gap,final_cake_loss,final_the_retention_gap,base_max_abs_drift,final_embedding_common_energy_fraction,final_embedding_residual_energy_fraction,final_map_common_energy_fraction,final_map_residual_energy_fraction
8,5,0.3,common_oracle,14,60,1,0.5493389368057251,5.888938903808594e-05,6.675687927781837e-06,9.5367431640625e-07,0.0,0.9999996423721313,4.4975704611332004e-15,0.9999997019767761,1.3937027174563054e-15
8,5,1.0,common_oracle,14,60,1,0.5501172542572021,0.001621246337890625,9.536729521641973e-07,9.5367431640625e-07,0.0,0.9999997615814209,1.3711488770488836e-15,0.9999999403953552,1.8841449583119124e-15
8,5,0.003,residual_oracle,14,,0,3.9230947494506836,6.5942583084106445,0.15331919491291046,9.5367431640625e-07,0.0,3.864382416358036e-15,0.9999998807907104,2.5038793670276e-15,0.9999998807907104
8,5,0.01,residual_oracle,14,665,1,0.5540222525596619,0.0076999664306640625,0.0017322470666840672,9.5367431640625e-07,0.0,3.0206243102360577e-15,1.0,1.849727892082602e-15,1.0000001192092896
8,5,0.03,residual_oracle,14,230,1,0.5499445796012878,0.0010663270950317383,0.00021049997303634882,9.5367431640625e-07,0.0,6.620438738376292e-15,0.9999998807907104,4.76514774565436e-15,1.0
8,5,0.1,residual_oracle,14,100,1,0.5494723916053772,0.00027382373809814453,5.868875814485364e-05,9.5367431640625e-07,0.0,6.050267827294479e-15,0.9999998807907104,6.6185375729261794e-15,0.9999998807907104
8,5,0.3,residual_oracle,14,70,1,0.5518830418586731,0.005153775215148926,0.0,9.5367431640625e-07,0.0,4.8512672794675995e-15,0.9999999403953552,6.884059108484353e-15,0.9999997615814209
8,5,1.0,residual_oracle,14,105,1,0.5493380427360535,6.377696990966797e-05,0.0,9.5367431640625e-07,0.0,1.9190655856283654e-15,1.0,4.327142773464425e-15,0.9999998807907104
8,6,0.003,common_oracle,14,,0,1.038323998451233,0.4515887498855591,0.5264468789100647,0.0001990199089050293,0.0,1.0000003576278687,5.270846743955912e-15,1.0000003576278687,1.6930655485978933e-15
8,6,0.01,common_oracle,14,565,1,0.5518097877502441,0.00370180606842041,0.001305461977608502,0.0001990199089050293,0.0,1.0000004768371582,1.1832254909205104e-14,1.0000003576278687,9.250214729936666e-15
8,6,0.03,common_oracle,14,200,1,0.5496161580085754,0.0004410743713378906,0.00017893202311825007,0.0001990199089050293,0.0,1.0000004768371582,1.318891285247148e-14,1.0000004768371582,8.876257307020418e-15
8,6,0.1,common_oracle,14,90,1,0.5494024753570557,0.00014197826385498047,5.062212949269451e-05,0.0001990199089050293,0.0,1.000000238418579,7.526753404026552e-15,1.0000003576278687,6.715622371758099e-15
8,6,0.3,common_oracle,14,70,1,0.5493339896202087,4.9591064453125e-05,6.079645118006738e-06,0.0001990199089050293,0.0,1.0000003576278687,4.275444117528759e-15,1.0000001192092896,4.474474837276891e-15
8,6,1.0,common_oracle,14,55,1,0.5493094325065613,6.556510925292969e-06,0.0,0.0001990199089050293,0.0,1.000000238418579,6.940455832661965e-15,1.0000001192092896,1.6159231875970104e-15
8,6,0.003,residual_oracle,14,,0,1.5421792268753052,0.46507132053375244,1.5206748247146606,0.0001990199089050293,0.0,9.351583397899325e-15,0.999999463558197,9.551234145764847e-15,0.9999996423721313
8,6,0.01,residual_oracle,14,580,1,0.5610412955284119,0.014777779579162598,0.008692541159689426,0.0001990199089050293,0.0,7.485147992690368e-15,0.9999997019767761,1.0091091441730322e-14,0.9999994039535522
8,6,0.03,residual_oracle,14,295,1,0.5511488914489746,0.0026186704635620117,0.0010669030016288161,0.0001990199089050293,0.0,4.446792106494726e-15,0.9999997019767761,1.1608309562346434e-14,0.9999995231628418
8,6,0.1,residual_oracle,14,85,1,0.5494917035102844,0.0003018379211425781,6.925699562998489e-05,0.0001990199089050293,0.0,5.455102244488613e-15,0.9999995231628418,8.898040453324957e-15,0.9999996423721313
8,6,0.3,residual_oracle,14,50,1,0.5496500134468079,0.000687718391418457,0.0,0.0001990199089050293,0.0,5.689067144080354e-15,0.9999995827674866,1.4810755635699495e-14,0.999999463558197
8,6,1.0,residual_oracle,14,80,1,0.5496872067451477,0.0007621049880981445,0.0,0.0001990199089050293,0.0,6.85799378711497e-15,0.9999993443489075,7.129190866936221e-15,0.9999993443489075
8,7,0.003,common_oracle,14,,0,0.9357802271842957,0.7376774549484253,0.03527085855603218,2.0265579223632812e-06,0.0,1.0000001192092896,1.790132136221447e-14,1.0,2.7477708151348035e-14
8,7,0.01,common_oracle,14,815,1,0.5556691288948059,0.010254740715026855,0.0024712043814361095,2.0265579223632812e-06,0.0,1.0000001192092896,2.0576339501070066e-14,0.9999998807907104,3.0487314468764445e-14
8,7,0.03,common_oracle,14,325,1,0.5498747229576111,0.0009528398513793945,0.00018415979866404086,2.0265579223632812e-06,0.0,1.0,2.1689991315065708e-14,1.0,3.151545322453708e-14
8,7,0.1,common_oracle,14,125,1,0.5495263934135437,0.000392913818359375,4.756305497721769e-05,2.0265579223632812e-06,0.0,1.0,3.1358030457223976e-14,1.0000001192092896,2.5941912057099795e-14
8,7,0.3,common_oracle,14,105,1,0.5493184924125671,2.467632293701172e-05,1.1920926823449918e-07,2.0265579223632812e-06,0.0,0.9999999403953552,2.7894385680959054e-14,1.0,2.192808380620942e-14
8,7,1.0,common_oracle,14,65,1,0.5493104457855225,8.58306884765625e-06,0.0,2.0265579223632812e-06,0.0,1.0000001192092896,2.6158555979953133e-14,1.0000003576278687,1.0102448459487108e-14
8,7,0.003,residual_oracle,14,,0,0.6420053839683533,0.12483680248260498,0.060561493039131165,2.0265579223632812e-06,0.0,1.7313206058145077e-14,1.0000001192092896,2.5827001873409382e-14,1.0000001192092896
8,7,0.01,residual_oracle,14,490,1,0.5525999665260315,0.004462718963623047,0.0021250303834676743,2.0265579223632812e-06,0.0,1.6463609989192385e-14,1.0,3.104361860346676e-14,1.0
8,7,0.03,residual_oracle,14,260,1,0.5500362515449524,0.0013065338134765625,0.00015374489885289222,2.0265579223632812e-06,0.0,2.2556350166044563e-14,0.9999998807907104,1.892960411358814e-14,1.000000238418579
8,7,0.1,residual_oracle,14,100,1,0.5494518876075745,0.00026857852935791016,2.292715544172097e-05,2.0265579223632812e-06,0.0,2.3113308210182155e-14,1.0,1.5534452115504097e-14,1.0000001192092896
8,7,0.3,residual_oracle,14,55,1,0.5493366122245789,6.091594696044922e-05,0.0,2.0265579223632812e-06,0.0,1.6478783737409498e-14,1.000000238418579,2.4548293831179978e-14,1.0000001192092896
8,7,1.0,residual_oracle,14,55,1,0.5493208765983582,2.944469451904297e-05,0.0,2.0265579223632812e-06,0.0,1.1837408257656199e-14,1.000000238418579,2.3062931772677153e-14,0.9999999403953552
8,8,0.003,common_oracle,14,,0,1.0739907026290894,0.9369783401489258,0.11239070445299149,5.364418029785156e-07,0.0,0.9999997019767761,2.599747138332993e-16,0.9999995827674866,1.4737982588277905e-15
8,8,0.01,common_oracle,14,,0,0.8603785634040833,0.6153978109359741,0.006747024599462748,5.364418029785156e-07,0.0,0.9999995231628418,1.1535451599871882e-15,0.9999996423721313,2.3960018861400026e-15
8,8,0.03,common_oracle,14,540,1,0.5510534048080444,0.0032433271408081055,0.0002512058708816767,5.364418029785156e-07,0.0,0.9999995231628418,6.90036703381784e-15,0.9999997019767761,3.078072625817686e-15
8,8,0.1,common_oracle,14,135,1,0.5495484471321106,0.0004334449768066406,5.125823736307211e-05,5.364418029785156e-07,0.0,0.9999995231628418,6.0903883898741264e-15,0.9999995231628418,1.7888255879003074e-15
