layer,band,x_source_energy_fraction,a_source_energy_fraction,h_energy_fraction,a_norm_share_in_band,x_norm_share_in_band,cross_term_over_h_energy,a_shapley_share_in_h_band,x_shapley_share_in_h_band,a_to_x_norm_ratio,a_adjacent_cosine,a_between_cosine,a_sequence_gap,a_sequence_accuracy,h_adjacent_cosine,h_between_cosine,h_sequence_gap,h_sequence_accuracy,x_own_adjacent_cosine,x_own_between_cosine,x_own_sequence_gap,x_own_sequence_accuracy,a_own_adjacent_cosine,a_own_between_cosine,a_own_sequence_gap,a_own_sequence_accuracy
16,50_100,0.0003206340630365158,0.2761798906528727,0.00017861934300886903,0.38256086977582593,0.6174391302241741,-1.912047985545794,0.15801169153260042,0.8419885022304386,0.7871422037940546,0.604546070098877,0.03613981604576111,0.5684062540531158,0.8359375,-0.1353684961795807,-0.002031282288953662,-0.13333721389062703,0.01171875,-0.12813545763492584,-0.0033604044001549482,-0.1247750532347709,0.01171875,-0.1344365030527115,0.008866016753017902,-0.1433025198057294,0.01171875
17,0_1,0.9911549285236447,0.11680931202727134,0.9895009755464282,0.00015410420298183562,0.9998458957970182,-0.0026506830919477186,-0.001170828840472307,1.0011709658547405,0.012414828019246147,0.8658324480056763,0.15525364875793457,0.7105787992477417,0.455078125,0.6206786036491394,0.1377042829990387,0.4829743206501007,0.45703125,0.47833743691444397,0.12375820428133011,0.35457923263311386,0.392578125,0.8902162909507751,0.10920052975416183,0.7810157611966133,0.552734375
17,1_2,0.0009760734244152454,0.051312743475307454,0.001331890216307665,0.0643296389129772,0.9356703610870228,0.216121650443522,0.15848743418181488,0.8415125313299631,0.2622069027087153,0.8847415447235107,0.03860533982515335,0.8461362048983574,0.46484375,0.5632656812667847,0.030773205682635307,0.5324924755841494,0.38671875,0.35849541425704956,0.02830476127564907,0.3301906529814005,0.33203125,0.854802131652832,0.02211795561015606,0.832684176042676,0.51953125
17,2_5,0.0021613285520599196,0.07047654709251651,0.002599037923779438,0.04090089464083813,0.9590991053591619,0.13223495334859395,0.10160984333002954,0.8983901544607623,0.2065069444938387,0.8539906740188599,0.024149447679519653,0.8298412263393402,0.58203125,0.39415454864501953,-0.006239400710910559,0.4003939493559301,0.447265625,0.3140629529953003,-0.001858644769527018,0.3159215977648273,0.41796875,0.753124475479126,0.0020846633706241846,0.7510398121085018,0.4921875
17,5_10,0.0020633764792583075,0.08174127861639838,0.0024420469447616827,0.04925739081328552,0.9507426091867145,0.11055523315480532,0.09908934390657315,0.9009106325811201,0.22761675242965987,0.8136959671974182,0.015931351110339165,0.797764616087079,0.6796875,0.3460482954978943,0.0013368360232561827,0.3447114594746381,0.369140625,0.30587852001190186,0.007422498427331448,0.2984560215845704,0.392578125,0.6701428294181824,0.005392045713961124,0.6647507837042212,0.3515625
17,10_20,0.0017443611406260148,0.15374712455056516,0.0022183790621701535,0.1033560952807193,0.8966439047192807,0.12231619866596465,0.1518720752803246,0.8481279764855416,0.33951428084103125,0.7534782290458679,0.018133459612727165,0.7353447694331408,0.796875,0.37846165895462036,-0.003062442410737276,0.38152410136535764,0.322265625,0.3413127064704895,-0.0067724245600402355,0.34808513103052974,0.345703125,0.572637677192688,0.008425964042544365,0.5642117131501436,0.24609375
17,20_50,0.0013919277482851982,0.2724275229520069,0.0016400314156876708,0.20379916931731057,0.7962008306826894,-0.06684024636566835,0.18400101855058285,0.8159989114286159,0.5059293699421079,0.6792441606521606,0.02086871862411499,0.6583754420280457,0.833984375,0.2542807459831238,-0.004509832244366407,0.2587905782274902,0.119140625,0.22814764082431793,-0.004619263578206301,0.23276690440252423,0.126953125,0.32563942670822144,0.004734542686492205,0.32090488402172923,0.107421875
17,50_100,0.000503476143639073,0.2534854405784435,0.0002628598168974848,0.3970255891283699,0.6029744108716302,-2.179166792631668,0.172627068396287,0.8273726694800112,0.8114463451692414,0.6584638357162476,0.02874520607292652,0.629718629643321,0.8828125,-0.13732881844043732,-0.004683926235884428,-0.1326448922045529,0.0078125,-0.12465941905975342,-0.003713801270350814,-0.1209456177894026,0.021484375,-0.17638784646987915,0.008172224275767803,-0.18456007074564695,0.015625
18,0_1,0.9866693083528183,0.1255816475957938,0.9849032686332346,0.0001857060868315252,0.9998142939131685,-0.0009636546553182776,-0.00029594226947120045,1.0002960220800863,0.013628667579327063,0.8607754707336426,0.2486066073179245,0.6121688634157181,0.73828125,0.6359819769859314,0.13857342302799225,0.49740855395793915,0.560546875,0.5314720273017883,0.11667764186859131,0.414794385433197,0.427734375,0.8417994976043701,0.1807415932416916,0.6610579043626785,0.7890625
18,1_2,0.0015118392365781994,0.04141693116422723,0.001954826582983455,0.03844149398875535,0.9615585060112446,0.19650841149791212,0.1291416207927522,0.870858326513605,0.19994579352958947,0.8308846950531006,0.06352002173662186,0.7673646733164787,0.642578125,0.5918672680854797,0.014675040729343891,0.5771922273561358,0.38671875,0.505169153213501,0.021312816068530083,0.4838563371449709,0.365234375,0.774760365486145,-0.003947653342038393,0.7787080188281834,0.517578125
