layer,a_band,h_band,energy_fraction,a_band_adjacent_cosine,a_band_sequence_gap,a_band_sequence_accuracy
1,0_1,50_100,0.21640156732163485,0.5338622331619263,0.4474889039993286,0.419921875
1,1_2,0_1,0.03843294222878937,0.4823037385940552,0.47495609149336815,0.26953125
1,1_2,1_2,0.0360313484011905,0.4823037385940552,0.47495609149336815,0.26953125
1,1_2,2_5,0.07704564411038999,0.4823037385940552,0.47495609149336815,0.26953125
1,1_2,5_10,0.08489709343511793,0.4823037385940552,0.47495609149336815,0.26953125
1,1_2,10_20,0.17707878879891192,0.4823037385940552,0.47495609149336815,0.26953125
1,1_2,20_50,0.3229578455359267,0.4823037385940552,0.47495609149336815,0.26953125
1,1_2,50_100,0.2635563259038624,0.4823037385940552,0.47495609149336815,0.26953125
1,2_5,0_1,0.010243508841790254,0.42138615250587463,0.42507508932612836,0.474609375
1,2_5,1_2,0.014746936881958609,0.42138615250587463,0.42507508932612836,0.474609375
1,2_5,2_5,0.05876606478000922,0.42138615250587463,0.42507508932612836,0.474609375
1,2_5,5_10,0.07904596193578142,0.42138615250587463,0.42507508932612836,0.474609375
1,2_5,10_20,0.16048899680777873,0.42138615250587463,0.42507508932612836,0.474609375
1,2_5,20_50,0.37217611590370775,0.42138615250587463,0.42507508932612836,0.474609375
1,2_5,50_100,0.30453255392725953,0.42138615250587463,0.42507508932612836,0.474609375
1,5_10,0_1,0.00562411650757967,0.36885547637939453,0.37761331256479025,0.373046875
1,5_10,1_2,0.005675866090469489,0.36885547637939453,0.37761331256479025,0.373046875
1,5_10,2_5,0.02648255609682208,0.36885547637939453,0.37761331256479025,0.373046875
1,5_10,5_10,0.049648190166736744,0.36885547637939453,0.37761331256479025,0.373046875
1,5_10,10_20,0.11455635724382529,0.36885547637939453,0.37761331256479025,0.373046875
1,5_10,20_50,0.385637355899798,0.36885547637939453,0.37761331256479025,0.373046875
1,5_10,50_100,0.41237564237195473,0.36885547637939453,0.37761331256479025,0.373046875
1,10_20,0_1,0.005152341395082644,0.29063528776168823,0.29514703806489706,0.279296875
1,10_20,1_2,0.004570888538932403,0.29063528776168823,0.29514703806489706,0.279296875
1,10_20,2_5,0.01606961995802616,0.29063528776168823,0.29514703806489706,0.279296875
1,10_20,5_10,0.03426534547631742,0.29063528776168823,0.29514703806489706,0.279296875
1,10_20,10_20,0.08846236193160206,0.29063528776168823,0.29514703806489706,0.279296875
1,10_20,20_50,0.33530444027434336,0.29063528776168823,0.29514703806489706,0.279296875
1,10_20,50_100,0.5161749772196446,0.29063528776168823,0.29514703806489706,0.279296875
1,20_50,0_1,0.006030521146373193,0.13181591033935547,0.13236299011623487,0.115234375
1,20_50,1_2,0.0056138833410219295,0.13181591033935547,0.13236299011623487,0.115234375
1,20_50,2_5,0.0172453956533027,0.13181591033935547,0.13236299011623487,0.115234375
1,20_50,5_10,0.03413525625009596,0.13181591033935547,0.13236299011623487,0.115234375
1,20_50,10_20,0.08444420172829407,0.13181591033935547,0.13236299011623487,0.115234375
1,20_50,20_50,0.2981402204545042,0.13181591033935547,0.13236299011623487,0.115234375
1,20_50,50_100,0.5543906304741991,0.13181591033935547,0.13236299011623487,0.115234375
1,50_100,0_1,0.00880541593863122,-0.10034440457820892,-0.09990800451487303,0.025390625
1,50_100,1_2,0.008499844802886706,-0.10034440457820892,-0.09990800451487303,0.025390625
1,50_100,2_5,0.02775423470111841,-0.10034440457820892,-0.09990800451487303,0.025390625
1,50_100,5_10,0.04737888231813859,-0.10034440457820892,-0.09990800451487303,0.025390625
1,50_100,10_20,0.09412664314835703,-0.10034440457820892,-0.09990800451487303,0.025390625
1,50_100,20_50,0.28682133733660675,-0.10034440457820892,-0.09990800451487303,0.025390625
1,50_100,50_100,0.5266136583136118,-0.10034440457820892,-0.09990800451487303,0.025390625
2,0_1,0_1,0.5619677364588173,0.5108086466789246,0.4067969247698784,0.4140625
2,0_1,1_2,0.027238857700931846,0.5108086466789246,0.4067969247698784,0.4140625
2,0_1,2_5,0.04467262021822691,0.5108086466789246,0.4067969247698784,0.4140625
2,0_1,5_10,0.04863870189391431,0.5108086466789246,0.4067969247698784,0.4140625
2,0_1,10_20,0.06371105903298994,0.5108086466789246,0.4067969247698784,0.4140625
2,0_1,20_50,0.11378938781322177,0.5108086466789246,0.4067969247698784,0.4140625
2,0_1,50_100,0.13998152537779457,0.5108086466789246,0.4067969247698784,0.4140625
2,1_2,0_1,0.04557373834076542,0.4895794689655304,0.48017949890345335,0.33203125
2,1_2,1_2,0.04471345657462701,0.4895794689655304,0.48017949890345335,0.33203125
2,1_2,2_5,0.08527690946498677,0.4895794689655304,0.48017949890345335,0.33203125
2,1_2,5_10,0.11813245075618206,0.4895794689655304,0.48017949890345335,0.33203125
2,1_2,10_20,0.18759757024720636,0.4895794689655304,0.48017949890345335,0.33203125
2,1_2,20_50,0.2873155582866404,0.4895794689655304,0.48017949890345335,0.33203125
2,1_2,50_100,0.2313905423817629,0.4895794689655304,0.48017949890345335,0.33203125
2,2_5,0_1,0.013777541095751238,0.4325993061065674,0.4370912513695657,0.4375
2,2_5,1_2,0.03261841062563074,0.4325993061065674,0.4370912513695657,0.4375
2,2_5,2_5,0.09339275312747641,0.4325993061065674,0.4370912513695657,0.4375
2,2_5,5_10,0.08959994716986244,0.4325993061065674,0.4370912513695657,0.4375
2,2_5,10_20,0.16114676957255,0.4325993061065674,0.4370912513695657,0.4375
2,2_5,20_50,0.31810393990910507,0.4325993061065674,0.4370912513695657,0.4375
2,2_5,50_100,0.2913607485624107,0.4325993061065674,0.4370912513695657,0.4375
2,5_10,0_1,0.008054095341504752,0.33261483907699585,0.3316685727913864,0.3828125
2,5_10,1_2,0.01137499037484057,0.33261483907699585,0.3316685727913864,0.3828125
2,5_10,2_5,0.049345478919262525,0.33261483907699585,0.3316685727913864,0.3828125
2,5_10,5_10,0.08820840149448007,0.33261483907699585,0.3316685727913864,0.3828125
2,5_10,10_20,0.12936203009766875,0.33261483907699585,0.3316685727913864,0.3828125
2,5_10,20_50,0.34467077449357325,0.33261483907699585,0.3316685727913864,0.3828125
2,5_10,50_100,0.36898437775187404,0.33261483907699585,0.3316685727913864,0.3828125
2,10_20,0_1,0.006990868923614267,0.24768903851509094,0.25328396959230304,0.248046875
2,10_20,1_2,0.0076471466176787194,0.24768903851509094,0.25328396959230304,0.248046875
2,10_20,2_5,0.02857216762679489,0.24768903851509094,0.25328396959230304,0.248046875
2,10_20,5_10,0.05732946515162715,0.24768903851509094,0.25328396959230304,0.248046875
2,10_20,10_20,0.10525304649856142,0.24768903851509094,0.25328396959230304,0.248046875
