model,step,band,common_stable_layers,median_geometric_G,pointwise_ci_lower,pointwise_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper,log_gain_relative_to_fine_mean,haar_simultaneous_upper_q95,above_simultaneous_haar_envelope
decommon,40000,F5,"1,2,3,4,5,6,7,8,9,10,11,12",0.019321097918978614,0.01876261025046141,0.02076192525224731,0.017794129252459392,0.0209791004380371,-0.46252465735399234,0.11735009960830212,False
decommon,40000,F6,"1,2,3,4,5,6,7,8,9,10,11,12",0.014685702254843148,0.014021421681254254,0.015490218625186954,0.013525074257251515,0.015945927291472945,-0.736847927869182,0.11735009960830212,False
decommon,40000,F7,"1,2,3,4,5,6,7,8,9,10,11,12",0.011534939952675068,0.011190539892167275,0.012079821909744402,0.01062332033603754,0.01252478843742073,-0.978341626644281,0.11735009960830212,False
decommon,40000,F8,"1,2,3,4,5,6,7,8,9,10,11,12",0.010079833632489947,0.009558923814987528,0.010524971099085352,0.00928321274763744,0.010944814992474804,-1.113185554787021,0.11735009960830212,False
decommon,40000,F9,"1,2,3,4,5,6,7,8,9,10,11,12",0.008240459577264833,0.00809239235973923,0.00881683085707302,0.007589206546771073,0.008947598622602634,-1.3146661962526172,0.11735009960830212,False
decommon,40000,F10,"1,2,3,4,5,6,7,8,9,10,11,12",0.007235189608897038,0.007048482274777212,0.00764083948729709,0.006663384224159606,0.007856063362951858,-1.444765745628637,0.11735009960830212,False
decommon,40000,F11,"1,2,3,4,5,6,7,8,9,10,11,12",0.007019754717065458,0.006790766172363707,0.007211263012607512,0.006464975400457345,0.0076221413439990495,-1.4749940356991764,0.11735009960830212,False
decommon,40000,F12,"1,2,3,4,5,6,7,8,9,10,11,12",0.006561774821466194,0.006470814646098168,0.006674345870011012,0.006043190184550113,0.007124860792517501,-1.5424611941113862,0.11735009960830212,False
decommon,80000,F1,"1,2,3,4,5,6,7,8,9,10,11,12",0.21938774861258153,0.20991925190441418,0.21982989446628678,0.1982001415896092,0.24284031209703527,1.6912547900608614,0.11475720815360546,True
decommon,80000,F2,"1,2,3,4,5,6,7,8,9,10,11,12",0.0651461648795729,0.06431423473150524,0.07158700894895818,0.05885460416457772,0.07211029381233708,0.47704752003642437,0.11475720815360546,True
decommon,80000,F3,"1,2,3,4,5,6,7,8,9,10,11,12",0.05049556868793748,0.04610737306765097,0.053293478675967676,0.045618905006726926,0.0558935480091471,0.22229966788823974,0.11475720815360546,True
decommon,80000,F4,"1,2,3,4,5,6,7,8,9,10,11,12",0.03582338487974605,0.03448811764998703,0.03914678441041016,0.03236370307953261,0.03965290687189655,-0.12098502669109,0.11475720815360546,False
decommon,80000,F5,"1,2,3,4,5,6,7,8,9,10,11,12",0.025455125143074082,0.0247812526050715,0.027920776973360577,0.022996769142509758,0.028176279547538506,-0.46266881218025513,0.11475720815360546,False
decommon,80000,F6,"1,2,3,4,5,6,7,8,9,10,11,12",0.019038952228485395,0.018747895778128024,0.020604400428303634,0.017200245005783363,0.021074217363570655,-0.7530989179240049,0.11475720815360546,False
decommon,80000,F7,"1,2,3,4,5,6,7,8,9,10,11,12",0.016102111274497177,0.015256933167807218,0.016805554845820806,0.014547032615448242,0.017823427935464202,-0.920635517292011,0.11475720815360546,False
decommon,80000,F8,"1,2,3,4,5,6,7,8,9,10,11,12",0.01324362918542926,0.012654041896230291,0.013817215465824194,0.011964611498646955,0.014659373939637614,-1.1160692951244684,0.11475720815360546,False
decommon,80000,F9,"1,2,3,4,5,6,7,8,9,10,11,12",0.010765672106744749,0.01069488871092332,0.011794753052494424,0.009725965781398917,0.011916523100626382,-1.3232233524089239,0.11475720815360546,False
decommon,80000,F10,"1,2,3,4,5,6,7,8,9,10,11,12",0.010604703924206971,0.010281326355083683,0.011270717187646854,0.009580543273660124,0.011738347409721258,-1.3382882465972823,0.11475720815360546,False
decommon,80000,F11,"1,2,3,4,5,6,7,8,9,10,11,12",0.0097555254530085,0.009416123502880786,0.010170040149101224,0.008813375123702945,0.010798391709022234,-1.4217520780889208,0.11475720815360546,False
decommon,80000,F12,"1,2,3,4,5,6,7,8,9,10,11,12",0.009348124468097666,0.009075344593969201,0.009424314838125657,0.008445319325675384,0.01034743953439058,-1.4644101841699524,0.11475720815360546,False
