model,step,layer,control,contrast,actual_router_input_B,control_B,actual_minus_control_B
lb,80000,12,next_layer_basis,H:M,1.4624737088833337,0.00924734748180341,1.4532263614015304
lb,80000,12,next_layer_basis,H:T,2.391198686677582,0.0010126839624191402,2.390186002715163
decommon,30000,1,expert_input_h_basis,H:M,1.5524079278083074,1.7090211017997152,-0.15661317399140784
decommon,30000,1,expert_input_h_basis,H:T,2.520705218770665,2.5514196388377277,-0.030714420067062598
decommon,30000,2,expert_input_h_basis,H:M,2.4775448015633423,0.8782145883908422,1.5993302131725002
decommon,30000,2,expert_input_h_basis,H:T,4.193327488842476,2.5082023073335575,1.6851251815089183
decommon,30000,3,expert_input_h_basis,H:M,2.775200319511141,1.1341563740062093,1.6410439455049317
decommon,30000,3,expert_input_h_basis,H:T,4.247345340267541,2.300120767105846,1.9472245731616953
decommon,30000,4,expert_input_h_basis,H:M,2.496462232515485,0.7753197763719119,1.721142456143573
decommon,30000,4,expert_input_h_basis,H:T,4.203959936164781,1.703310920089546,2.5006490160752346
decommon,30000,5,expert_input_h_basis,H:M,2.0946674848153073,0.8353662546499635,1.259301230165344
decommon,30000,5,expert_input_h_basis,H:T,3.8111254171437645,1.3982223184517835,2.412903098691981
decommon,30000,6,expert_input_h_basis,H:M,1.4234533862059757,0.6652212075600542,0.7582321786459215
decommon,30000,6,expert_input_h_basis,H:T,3.2801965396302695,0.9229567480981958,2.3572397915320735
decommon,30000,7,expert_input_h_basis,H:M,1.2640241895737376,0.621191479256794,0.6428327103169437
decommon,30000,7,expert_input_h_basis,H:T,2.6917570656758056,0.9162698133077241,1.7754872523680816
decommon,30000,8,expert_input_h_basis,H:M,1.5017175272821655,0.27259289745450066,1.2291246298276648
decommon,30000,8,expert_input_h_basis,H:T,2.930421529477257,0.44734980538535996,2.4830717240918974
decommon,30000,9,expert_input_h_basis,H:M,0.847642246511199,0.5006144997257399,0.3470277467854591
decommon,30000,9,expert_input_h_basis,H:T,1.8462128535822022,0.5135040200960372,1.332708833486165
decommon,30000,10,expert_input_h_basis,H:M,0.9528470737642358,0.22498086248574084,0.727866211278495
decommon,30000,10,expert_input_h_basis,H:T,2.30512390452867,0.2359577751154414,2.0691661294132286
decommon,30000,11,expert_input_h_basis,H:M,1.0120549948680373,0.41023149998350045,0.6018234948845369
decommon,30000,11,expert_input_h_basis,H:T,2.2505293843978884,0.3029977008630294,1.947531683534859
decommon,30000,12,expert_input_h_basis,H:M,0.48547650466679315,-0.08173828139354457,0.5672147860603377
decommon,30000,12,expert_input_h_basis,H:T,2.0371129450348886,-0.19994904091484358,2.2370619859497323
decommon,40000,1,expert_input_h_basis,H:M,1.566460470142913,1.7326236609666448,-0.16616319082373177
decommon,40000,1,expert_input_h_basis,H:T,2.6949875560433343,2.7232890997549517,-0.028301543711617416
decommon,40000,2,expert_input_h_basis,H:M,2.484571527767395,0.816061299495308,1.668510228272087
decommon,40000,2,expert_input_h_basis,H:T,4.253697497693265,2.4171182468805448,1.8365792508127203
decommon,40000,3,expert_input_h_basis,H:M,2.7676002810970695,1.0504454731906223,1.7171548079064471
decommon,40000,3,expert_input_h_basis,H:T,4.286276472831889,2.170606955339831,2.115669517492058
decommon,40000,4,expert_input_h_basis,H:M,2.4539393288285467,0.7494778982055059,1.7044614306230408
decommon,40000,4,expert_input_h_basis,H:T,4.172483721872266,1.5978785396173716,2.574605182254894
decommon,40000,5,expert_input_h_basis,H:M,2.044145354751845,0.8644187974772197,1.1797265572746254
decommon,40000,5,expert_input_h_basis,H:T,3.7701218225118236,1.3030237568705771,2.4670980656412462
decommon,40000,6,expert_input_h_basis,H:M,1.3914959964292324,0.6927864751878677,0.6987095212413647
decommon,40000,6,expert_input_h_basis,H:T,3.215763313731814,0.9009891805674013,2.3147741331644127
decommon,40000,7,expert_input_h_basis,H:M,1.2182568843641464,0.5748384301036522,0.6434184542604942
decommon,40000,7,expert_input_h_basis,H:T,2.4390204704085807,0.788036550387213,1.6509839200213676
decommon,40000,8,expert_input_h_basis,H:M,1.3965449942364478,0.31098124132831,1.085563752908138
decommon,40000,8,expert_input_h_basis,H:T,2.6688919102642767,0.38164306961412,2.2872488406501565
decommon,40000,9,expert_input_h_basis,H:M,0.7612428283606715,0.38332788797706013,0.37791494038361134
decommon,40000,9,expert_input_h_basis,H:T,1.6213116932605922,0.39117893277123467,1.2301327604893575
decommon,40000,10,expert_input_h_basis,H:M,0.8630956578189466,0.19770528890486763,0.665390368914079
decommon,40000,10,expert_input_h_basis,H:T,2.0296204495811643,0.15090670581794388,1.8787137437632204
decommon,40000,11,expert_input_h_basis,H:M,0.9279339576697173,0.3434523458395608,0.5844816118301566
decommon,40000,11,expert_input_h_basis,H:T,2.0012946313717386,0.1870221232481538,1.8142725081235849
decommon,40000,12,expert_input_h_basis,H:M,0.2887115707368441,-0.14869432302623153,0.43740589376307565
decommon,40000,12,expert_input_h_basis,H:T,1.7499562599444667,-0.2680146065774622,2.017970866521929
decommon,80000,1,expert_input_h_basis,H:M,1.878543969877493,1.9908761870601643,-0.11233221718267128
decommon,80000,1,expert_input_h_basis,H:T,3.1850651256450067,3.197679320680187,-0.012614195035180131
decommon,80000,2,expert_input_h_basis,H:M,2.634660870532729,1.0723686178985856,1.5622922526341432
decommon,80000,2,expert_input_h_basis,H:T,4.42788817662573,2.595798139362662,1.8320900372630682
decommon,80000,3,expert_input_h_basis,H:M,2.7877145469211224,1.033540180926205,1.7541743659949174
decommon,80000,3,expert_input_h_basis,H:T,4.4267342065171364,2.0775356632413056,2.349198543275831
decommon,80000,4,expert_input_h_basis,H:M,2.4365362615213146,0.7818639546369999,1.6546723068843148
decommon,80000,4,expert_input_h_basis,H:T,4.058816695333155,1.4806657470901796,2.578150948242975
decommon,80000,5,expert_input_h_basis,H:M,2.007545270861133,0.8779665803263786,1.1295786905347542
