variant,layer,metric,step0_mean,step10_mean,step300_mean,delta_0_10_mean,delta_0_10_std,delta_0_300_mean,delta_0_300_std
freeze_gate_and_experts,3,delta_max_load,0.11085621515909823,0.7893007596333822,-0.028081734975179035,0.6784445444742838,0.024556862130260725,-0.1389379501342773,0.1247129325927612
freeze_gate_and_experts,4,common_margin,0.1587225794792175,0.04483084877332047,0.14092716823021567,-0.11389173070589705,0.0448472047819848,-0.01779541124900183,0.1603815133054573
freeze_gate_and_experts,4,raw_max_load,0.2659002939860025,0.7226753234863281,0.46086804072062176,0.4567750295003256,0.03097873058414363,0.19496774673461922,0.15523433528724967
freeze_gate_and_experts,4,dominance_ratio,0.6686168335710576,1.3483973715320028,0.8432440402199374,0.6797805379609453,0.19093698104681656,0.17462720664887968,0.817891374721772
freeze_gate_and_experts,4,centered_max_load,0.15896987915039057,0.19473918279012037,0.30078315734863276,0.03576930363972983,0.016504009403174227,0.1418132781982422,0.02199333099412153
freeze_gate_and_experts,4,delta_max_load,0.10693041483561198,0.5279361406962076,0.16008488337198887,0.4210057258605957,0.014572508142272659,0.05315446853637689,0.1372379768826696
freeze_gate_and_experts,5,common_margin,0.14822087188561758,0.43545154730478924,0.32753333449363703,0.28723067541917163,0.22029647909509012,0.1793124626080195,0.17430637527025444
freeze_gate_and_experts,5,raw_max_load,0.25818681716918945,0.9695477485656738,0.7005071640014648,0.7113609313964844,0.055316940936821136,0.4423203468322754,0.13658945655036103
freeze_gate_and_experts,5,dominance_ratio,0.6184157520517529,14.520466556868348,2.298595188126478,13.902050804816591,7.15391567645167,1.6801794360747253,1.3342764803648637
freeze_gate_and_experts,5,centered_max_load,0.15379587809244785,0.2506163914998372,0.2631220817565918,0.09682051340738933,0.061807473459081635,0.10932620366414388,0.036495837648514454
freeze_gate_and_experts,5,delta_max_load,0.1043909390767415,0.7189313570658366,0.43738508224487305,0.6145404179890951,0.11609715100156603,0.33299414316813153,0.15181041902091116
freeze_prefix_before_layer3,3,common_margin,0.0649567196766535,0.2299833595752716,1.6626522541046143,0.16502663989861807,0.2533593042860739,1.5976955344279606,1.4523665440328806
freeze_prefix_before_layer3,3,raw_max_load,0.27465788523356116,0.5061947504679362,0.6671682993570963,0.231536865234375,0.18285145061449334,0.39251041412353516,0.152286154986307
freeze_prefix_before_layer3,3,dominance_ratio,0.2773568954296349,0.9967569798196859,1.6434009817926214,0.7194000843900512,1.0795434949042493,1.3660440863629866,1.3161556533999208
freeze_prefix_before_layer3,3,centered_max_load,0.16380167007446286,0.209452470143636,0.3539568583170573,0.04565080006917314,0.02890493451986094,0.1901551882425944,0.0995541674717367
freeze_prefix_before_layer3,3,delta_max_load,0.11085621515909823,0.2967422803243001,0.31321144104003906,0.18588606516520187,0.15503577255870685,0.20235522588094082,0.0896216575059404
freeze_prefix_before_layer3,4,common_margin,0.1587225794792175,0.3920931567748387,4.045291264851888,0.2333705772956212,0.35102296018038315,3.8865686853726706,1.3441540211345964
freeze_prefix_before_layer3,4,raw_max_load,0.2659002939860025,0.5980156262715658,0.968089739481608,0.33211533228556317,0.20696470307989392,0.7021894454956055,0.08048483587868142
freeze_prefix_before_layer3,4,dominance_ratio,0.6686168335710576,1.9275879033905239,14.339213152960184,1.258971069819466,1.6734154072798484,13.670596319389125,9.059956783535903
freeze_prefix_before_layer3,4,centered_max_load,0.15896987915039057,0.25917069117228186,0.521268367767334,0.10020081202189131,0.06538647373611346,0.3622984886169434,0.2684094668662858
freeze_prefix_before_layer3,4,delta_max_load,0.10693041483561198,0.33884493509928376,0.4468213717142741,0.23191452026367185,0.14427481162562697,0.3398909568786621,0.33590033154577004
freeze_prefix_before_layer3,5,common_margin,0.14822087188561758,0.6745986342430115,1.6260228355725606,0.5263777623573939,0.22529333042073021,1.477801963686943,0.9937534123730994
freeze_prefix_before_layer3,5,raw_max_load,0.25818681716918945,0.8256125450134277,0.9422780672709147,0.5674257278442383,0.014411293102207004,0.6840912501017252,0.03966931284184879
freeze_prefix_before_layer3,5,dominance_ratio,0.6184157520517529,2.995087381720447,42.13247015861056,2.376671629668694,0.636829301151848,41.514054406558806,31.96976440497957
freeze_prefix_before_layer3,5,centered_max_load,0.15379587809244785,0.3998297055562337,0.36960363388061523,0.24603382746378585,0.07323920217398465,0.21580775578816735,0.06719452750328049
freeze_prefix_before_layer3,5,delta_max_load,0.1043909390767415,0.42578283945719403,0.5726744333902994,0.32139190038045246,0.08146208998026225,0.4682834943135579,0.06698699700220713
freeze_prefix_before_layer4,3,common_margin,0.0649567196766535,0.0649567196766535,0.0649567196766535,0.0,0.0,0.0,0.0
freeze_prefix_before_layer4,3,raw_max_load,0.27465788523356116,0.27465788523356116,0.27465788523356116,0.0,0.0,0.0,0.0
freeze_prefix_before_layer4,3,dominance_ratio,0.2773568954296349,0.2773568954296349,0.2773568954296349,0.0,0.0,0.0,0.0
freeze_prefix_before_layer4,3,centered_max_load,0.16380167007446286,0.16380167007446286,0.16380167007446286,0.0,0.0,0.0,0.0
freeze_prefix_before_layer4,3,delta_max_load,0.11085621515909823,0.11085621515909823,0.11085621515909823,0.0,0.0,0.0,0.0
freeze_prefix_before_layer4,4,common_margin,0.1587225794792175,0.38574589292208356,3.4017868439356485,0.227023313442866,0.16730638218847282,3.243064264456431,2.1549977192238217
freeze_prefix_before_layer4,4,raw_max_load,0.2659002939860025,0.4762279192606608,0.7921635309855143,0.2103276252746582,0.1419294509482859,0.5262632369995118,0.15225337592877558
freeze_prefix_before_layer4,4,dominance_ratio,0.6686168335710576,1.6135321757640047,3.4168554655987613,0.9449153421929469,0.6855849894633835,2.7482386320277037,2.0355312295948313
freeze_prefix_before_layer4,4,centered_max_load,0.15896987915039057,0.1773592631022135,0.39731868108113605,0.018389383951822935,0.027382574848309325,0.23834880193074545,0.03685372283965877
freeze_prefix_before_layer4,4,delta_max_load,0.10693041483561198,0.2988686561584472,0.39484484990437824,0.1919382413228353,0.12238918971432607,0.2879144350687663,0.12128845064282906
freeze_prefix_before_layer4,5,common_margin,0.14822087188561758,0.3396504620711009,3.6146181424458823,0.1914295901854833,0.12844336211462776,3.4663972705602646,1.2215818995498955
freeze_prefix_before_layer4,5,raw_max_load,0.25818681716918945,0.6357000668843588,0.9983113606770834,0.37751324971516925,0.0471721002805773,0.7401245435078939,0.038789385705694276
freeze_prefix_before_layer4,5,dominance_ratio,0.6184157520517529,1.3475948732121277,9.456596483178167,0.7291791211603749,0.4612473689596736,8.838180731126416,2.9938002659044245
freeze_prefix_before_layer4,5,centered_max_load,0.15379587809244785,0.2821801503499349,0.671489397684733,0.12838427225748703,0.05403518149416697,0.5176935195922853,0.16754098067155962
freeze_prefix_before_layer4,5,delta_max_load,0.1043909390767415,0.35351991653442383,0.3268219629923503,0.24912897745768228,0.010379408801143344,0.22243102391560876,0.14637784564322365
freeze_prefix_before_layer5,3,common_margin,0.0649567196766535,0.0649567196766535,0.0649567196766535,0.0,0.0,0.0,0.0
freeze_prefix_before_layer5,3,raw_max_load,0.27465788523356116,0.27465788523356116,0.27465788523356116,0.0,0.0,0.0,0.0
