model,step,layer,basis_orthogonality_relative_frobenius,fine_rank_coverage,coarse_rank_coverage,eigenvalues_nonincreasing,minimum_eigenvalue
batchgrad,10000,8,1.3814486078744748e-06,768,768,True,7.751714861115033e-07
batchgrad,10000,9,1.4016093141468844e-06,768,768,True,1.2069043577866978e-06
batchgrad,10000,10,1.3998179456620637e-06,768,768,True,1.6265213389488054e-06
batchgrad,10000,11,1.3541821574488437e-06,768,768,True,1.5834349369470146e-06
batchgrad,10000,12,1.348662337571243e-06,768,768,True,2.162190412491327e-06
batchgrad,20000,1,1.4266212605157726e-06,768,768,True,2.6790610263560666e-07
batchgrad,20000,2,1.376525035663447e-06,768,768,True,0.0
batchgrad,20000,3,1.4008853366301186e-06,768,768,True,1.0161092944827033e-07
batchgrad,20000,4,1.4048713481113655e-06,768,768,True,1.3324483916221652e-07
batchgrad,20000,5,1.4189838556294777e-06,768,768,True,2.4015278654587746e-07
batchgrad,20000,6,1.4205393242779197e-06,768,768,True,4.985312216376769e-07
batchgrad,20000,7,1.397574993739768e-06,768,768,True,5.29484054823115e-07
batchgrad,20000,8,1.3762021009959505e-06,768,768,True,9.583394557921565e-07
batchgrad,20000,9,1.3943804347423982e-06,768,768,True,1.2638276984944241e-06
batchgrad,20000,10,1.4198044509979823e-06,768,768,True,2.9620771329064155e-06
batchgrad,20000,11,1.3617902881762559e-06,768,768,True,4.022128450742457e-06
batchgrad,20000,12,1.3555928305939325e-06,768,768,True,5.8477226048125885e-06
batchgrad,30000,1,1.4264348510735592e-06,768,768,True,1.5591990631946828e-07
batchgrad,30000,2,1.3655787319036075e-06,768,768,True,0.0
batchgrad,30000,3,1.4066028555358696e-06,768,768,True,1.3365138329390902e-07
batchgrad,30000,4,1.4137714800572743e-06,768,768,True,9.972283265824444e-08
batchgrad,30000,5,1.406767604725995e-06,768,768,True,1.7852637768100976e-07
batchgrad,30000,6,1.407708709860663e-06,768,768,True,4.4220635686542664e-07
batchgrad,30000,7,1.395158759800767e-06,768,768,True,4.0827822544997616e-07
batchgrad,30000,8,1.3999257218254844e-06,768,768,True,6.067976414669829e-07
