model,step,layer,coarse_band,coarse_V,sum_constituent_fine_V,within_group_response_cross_term,cross_term_over_coarse_V,coarse_input_energy,sum_constituent_fine_energy,energy_reconstruction_relative_error
batchgrad,10000,9,H,29.725807189941406,29.725807189941406,0.0,0.0,80.23223876953125,80.23223876953125,0.0
batchgrad,10000,9,M,0.7778629660606384,0.7831324758008119,-0.005269509740173484,-0.0067743419729313845,24.019189834594727,24.019189715385437,4.96308536514769e-09
batchgrad,10000,9,T,0.0085510509088635,0.008351089896677735,0.00019996101218576479,0.023384378635671242,1.829402565956116,1.8294025489594787,9.290813036492049e-09
batchgrad,10000,10,H,26.639280319213867,26.639280319213867,0.0,0.0,119.38102722167967,119.38102722167967,0.0
batchgrad,10000,10,M,1.5900218486785889,1.582150686532259,0.00787116214632988,0.004950348419973804,56.23574447631836,56.235743045806885,2.5437761835122197e-08
batchgrad,10000,10,T,0.0222762655466794,0.02180717566807249,0.00046908987860690837,0.02105783294888191,3.949050903320313,3.949051056522876,3.879478052596035e-08
batchgrad,10000,11,H,55.80358505249024,55.80358505249024,0.0,0.0,122.7438735961914,122.7438735961914,0.0
batchgrad,10000,11,M,1.2450900077819824,1.302159421145916,-0.05706941336393356,-0.04583557253470989,40.81608963012695,40.8160936832428,9.930191455025859e-08
batchgrad,10000,11,T,0.0101436842232942,0.010202587725870845,-5.8903502576646005e-05,-0.005806914063962933,2.3479528427124023,2.3479531891644,1.4755492165538116e-07
batchgrad,10000,12,H,43.88289642333984,43.88289642333984,0.0,0.0,253.5668029785156,253.5668029785156,0.0
batchgrad,10000,12,M,1.3118555545806885,1.345094433054328,-0.03323887847363949,-0.025337300556892265,54.03578186035156,54.03578066825867,2.2061176029406242e-08
batchgrad,10000,12,T,0.0181063022464513,0.01713642911090553,0.0009698731355457721,0.0535655001415797,3.875779390335083,3.8757792999967933,2.3308418937098265e-08
batchgrad,20000,1,H,0.9515857100486756,0.9515857100486756,0.0,0.0,11.009550094604492,11.009550094604492,0.0
batchgrad,20000,1,M,0.1065717339515686,0.10667876061052059,-0.00010702665895198638,-0.0010042687210158794,7.774495601654053,7.77449643611908,1.0733365476185147e-07
batchgrad,20000,1,T,0.0053933728486299,0.005264792910565829,0.00012857993806407106,0.023840357726563392,0.7062352299690247,0.7062352650100363,4.961662936214562e-08
batchgrad,20000,2,H,6.521904945373535,6.521904945373535,0.0,0.0,6.243570327758789,6.243570327758789,0.0
batchgrad,20000,2,M,0.0654975250363349,0.0620988990413023,0.0033986259950325934,0.05188938044830241,0.9523566961288452,0.9523566737771032,2.3469926870543158e-08
batchgrad,20000,2,T,0.0013011798728257,0.001307198944687026,-6.019071861326037e-06,-0.004625856875771337,0.1176249980926513,0.1176250035641711,4.6516640981086264e-08
batchgrad,20000,3,H,9.819427490234377,9.819427490234377,0.0,0.0,11.751188278198242,11.751188278198242,0.0
batchgrad,20000,3,M,0.1889082342386245,0.18566059926524747,0.003247634973377017,0.017191600919177933,4.46415901184082,4.464159071445465,1.335181937231495e-08
batchgrad,20000,3,T,0.0027409805916249,0.0027617026014465367,-2.0722009821636488e-05,-0.007560071707531546,0.3706918656826019,0.3706918653915634,7.851223564478944e-10
batchgrad,20000,4,H,8.8779296875,8.8779296875,0.0,0.0,14.484769821166992,14.484769821166992,0.0
batchgrad,20000,4,M,0.241923525929451,0.23877787310630058,0.0031456528231504077,0.0130026743412616,4.503052234649658,4.503052026033402,4.632774503934204e-08
batchgrad,20000,4,T,0.0029776596929877,0.002959986018595128,1.7673674392571902e-05,0.0059354245329622055,0.3966380655765533,0.3966380369383839,7.220227173567447e-08
batchgrad,20000,5,H,10.631601333618164,10.631601333618164,0.0,0.0,24.76174736022949,24.76174736022949,0.0
batchgrad,20000,5,M,0.4791989028453827,0.4579386515542863,0.021260251291096377,0.04436623532495058,7.534432411193848,7.534433096647263,9.097611837337865e-08
batchgrad,20000,5,T,0.0048420927487313,0.004760576436183055,8.151631254824532e-05,0.016834934144870275,0.6401146650314331,0.6401146613061425,5.819723926096724e-09
batchgrad,20000,6,H,18.271499633789062,18.271499633789062,0.0,0.0,29.821081161499023,29.821081161499023,0.0
