model,step,layer,control,contrast,actual_router_input_B,control_B,actual_minus_control_B
batchgrad,10000,12,expert_input_h_basis,H:T,3.2007676496918958,0.5996038500287291,2.6011637996631665
batchgrad,20000,1,expert_input_h_basis,H:M,1.4287043337130887,1.5135359800952746,-0.08483164638218588
batchgrad,20000,1,expert_input_h_basis,H:T,2.1747406456641514,2.165541087605153,0.009199558058998303
batchgrad,20000,2,expert_input_h_basis,H:M,2.4692338085162295,0.8210552784848468,1.6481785300313827
batchgrad,20000,2,expert_input_h_basis,H:T,3.7782425386613108,1.8033942769009634,1.9748482617603473
batchgrad,20000,3,expert_input_h_basis,H:M,2.6003251501804914,1.1354414927238217,1.4648836574566697
batchgrad,20000,3,expert_input_h_basis,H:T,4.037116169707467,2.587712402502734,1.4494037672047329
batchgrad,20000,4,expert_input_h_basis,H:M,2.4135079546757154,0.7732952256824824,1.640212728993233
batchgrad,20000,4,expert_input_h_basis,H:T,4.057950451189766,1.7742043968241368,2.2837460543656296
batchgrad,20000,5,expert_input_h_basis,H:M,1.8096252504054995,0.6660714652081527,1.1435537851973467
batchgrad,20000,5,expert_input_h_basis,H:T,3.5472347902853847,1.1945952908048298,2.3526394994805546
batchgrad,20000,6,expert_input_h_basis,H:M,2.009025218433447,0.8459863369988119,1.1630388814346353
batchgrad,20000,6,expert_input_h_basis,H:T,3.597980662967329,1.3808487747318912,2.2171318882354383
batchgrad,20000,7,expert_input_h_basis,H:M,2.009616795810485,0.5306272111720405,1.4789895846384444
batchgrad,20000,7,expert_input_h_basis,H:T,3.5316159820391957,0.782708427249372,2.748907554789824
batchgrad,20000,8,expert_input_h_basis,H:M,1.616922547004474,0.7888359733491629,0.828086573655311
batchgrad,20000,8,expert_input_h_basis,H:T,3.0426415023273945,0.9904684593154857,2.052173043011909
batchgrad,20000,9,expert_input_h_basis,H:M,1.7525755608950182,0.5833172525933857,1.1692583083016324
batchgrad,20000,9,expert_input_h_basis,H:T,3.438087076555372,0.5624895378938171,2.8755975386615553
batchgrad,20000,10,expert_input_h_basis,H:M,1.1275597139913318,0.5460541090614079,0.5815056049299239
batchgrad,20000,10,expert_input_h_basis,H:T,2.447781613775846,0.6119277855396384,1.8358538282362078
batchgrad,20000,11,expert_input_h_basis,H:M,1.1412818331456929,0.35079352080709486,0.790488312338598
batchgrad,20000,11,expert_input_h_basis,H:T,2.858471297862699,0.2674871194322022,2.5909841784304968
batchgrad,20000,12,expert_input_h_basis,H:M,0.9198358480212475,0.20683603079995816,0.7129998172212894
batchgrad,20000,12,expert_input_h_basis,H:T,2.465438826582138,0.2855276415670889,2.179911185015049
batchgrad,30000,1,expert_input_h_basis,H:M,1.4336561586908951,1.48154169776068,-0.047885539069784766
batchgrad,30000,1,expert_input_h_basis,H:T,2.233334718440645,2.2483142199715,-0.014979501530854922
batchgrad,30000,2,expert_input_h_basis,H:M,2.5961821750426495,0.818855355500591,1.7773268195420586
batchgrad,30000,2,expert_input_h_basis,H:T,3.889904944067697,1.8066274311534172,2.0832775129142798
batchgrad,30000,3,expert_input_h_basis,H:M,2.5709799561080913,1.1170757110588077,1.4539042450492836
batchgrad,30000,3,expert_input_h_basis,H:T,4.086875286579303,2.4594716401159693,1.6274036464633341
batchgrad,30000,4,expert_input_h_basis,H:M,2.3852437362290178,0.6796659538230059,1.7055777824060119
batchgrad,30000,4,expert_input_h_basis,H:T,4.083726907400946,1.5988232914142322,2.4849036159867137
batchgrad,30000,5,expert_input_h_basis,H:M,1.6256836838583772,0.7071849560642178,0.9184987277941594
batchgrad,30000,5,expert_input_h_basis,H:T,3.411662001072797,1.1002173734838583,2.311444627588939
batchgrad,30000,6,expert_input_h_basis,H:M,1.80007955002073,0.7943730988786104,1.0057064511421197
batchgrad,30000,6,expert_input_h_basis,H:T,3.343768868780873,1.2240169454754732,2.1197519233053996
batchgrad,30000,7,expert_input_h_basis,H:M,1.7859796047036307,0.4496568498170435,1.3363227548865872
batchgrad,30000,7,expert_input_h_basis,H:T,3.2295200441871628,0.5922434085999346,2.637276635587228
batchgrad,30000,8,expert_input_h_basis,H:M,1.4385457802488566,0.7247286166264336,0.713817163622423
batchgrad,30000,8,expert_input_h_basis,H:T,2.6935188002218187,0.8346424323086895,1.8588763679131293
batchgrad,30000,9,expert_input_h_basis,H:M,1.5872018714742964,0.5521357838917393,1.035066087582557
batchgrad,30000,9,expert_input_h_basis,H:T,3.19232796462018,0.4226550444037488,2.769672920216431
batchgrad,30000,10,expert_input_h_basis,H:M,0.8907522087280165,0.4333947557765124,0.45735745295150415
batchgrad,30000,10,expert_input_h_basis,H:T,1.977976961315191,0.4374281416108247,1.5405488197043662
batchgrad,30000,11,expert_input_h_basis,H:M,0.7466410162749867,0.2203090306935563,0.5263319855814304
batchgrad,30000,11,expert_input_h_basis,H:T,2.171601542182912,0.09016163278984372,2.081439909393068
batchgrad,30000,12,expert_input_h_basis,H:M,0.6719432460658371,0.0850788100321226,0.5868644360337145
batchgrad,30000,12,expert_input_h_basis,H:T,2.002958328419324,0.051919355229251424,1.9510389731900728
lb,10000,1,expert_input_h_basis,H:M,2.037452560674018,1.9816652515529214,0.05578730912109653
lb,10000,1,expert_input_h_basis,H:T,2.8661504598408634,2.8075826158543578,0.05856784398650561
lb,10000,2,expert_input_h_basis,H:M,2.44281936610188,0.6735763439130759,1.769243022188804
lb,10000,2,expert_input_h_basis,H:T,3.356541979277236,1.7109770236573987,1.6455649556198375
lb,10000,3,expert_input_h_basis,H:M,2.642927246421096,1.2369853062199536,1.4059419402011426
lb,10000,3,expert_input_h_basis,H:T,3.811237007865115,2.656728047563449,1.154508960301666
lb,10000,4,expert_input_h_basis,H:M,2.818312641305876,0.35082367146990623,2.46748896983597
lb,10000,4,expert_input_h_basis,H:T,4.15098439436752,1.4906141731121705,2.6603702212553495
lb,10000,5,expert_input_h_basis,H:M,2.4936111140768653,0.909470285824682,1.5841408282521834
lb,10000,5,expert_input_h_basis,H:T,4.0624539922091385,2.006916937139381,2.0555370550697574
lb,10000,6,expert_input_h_basis,H:M,2.576623298682751,0.6661921770906033,1.910431121592148
lb,10000,6,expert_input_h_basis,H:T,3.882492617348776,1.5184856910158042,2.364006926332972
lb,10000,7,expert_input_h_basis,H:M,2.0064443760355712,0.42245210233477715,1.583992273700794
lb,10000,7,expert_input_h_basis,H:T,3.644180540486154,0.9977727301092889,2.646407810376865
lb,10000,8,expert_input_h_basis,H:M,1.927243450546885,0.5905685397206248,1.33667491082626
lb,10000,8,expert_input_h_basis,H:T,3.4828562186538026,1.005078101408769,2.4777781172450335
lb,10000,9,expert_input_h_basis,H:M,2.283365675275184,0.6576562392454919,1.6257094360296922
lb,10000,9,expert_input_h_basis,H:T,3.5835327181765644,0.9174195089448676,2.666113209231697
lb,10000,10,expert_input_h_basis,H:M,2.10119698869207,0.4441614026999935,1.6570355859920762
lb,10000,10,expert_input_h_basis,H:T,3.5417534440617997,0.6322942488449106,2.909459195216889
lb,10000,11,expert_input_h_basis,H:M,1.9933401912779496,0.23139391015657126,1.7619462811213784
lb,10000,11,expert_input_h_basis,H:T,3.422695972851562,0.3191008508770999,3.103595121974462
lb,10000,12,expert_input_h_basis,H:M,2.4043852802205374,0.14660119127196286,2.2577840889485747
lb,10000,12,expert_input_h_basis,H:T,3.7539224435615615,0.035401495855572465,3.718520947705989
lb,20000,1,expert_input_h_basis,H:M,1.7049409085301732,1.663353829324301,0.041587079205872124
lb,20000,1,expert_input_h_basis,H:T,2.735852037623935,2.679701388988782,0.056150648635152844
lb,20000,2,expert_input_h_basis,H:M,2.3842262700122765,0.44537605118994983,1.9388502188223267
lb,20000,2,expert_input_h_basis,H:T,3.5802225505439003,1.5288159733363405,2.05140657720756
lb,20000,3,expert_input_h_basis,H:M,2.5306514762098957,1.171071065789006,1.3595804104208897
lb,20000,3,expert_input_h_basis,H:T,3.9171616954160338,2.5683752444321852,1.3487864509838485
lb,20000,4,expert_input_h_basis,H:M,2.587084767508677,0.27054517435534653,2.3165395931533306
lb,20000,4,expert_input_h_basis,H:T,4.110024831465286,1.2035699837183027,2.9064548477469834
lb,20000,5,expert_input_h_basis,H:M,2.275974261064418,0.7564266253778313,1.5195476356865865
lb,20000,5,expert_input_h_basis,H:T,4.022326286166001,1.6512369436485517,2.371089342517449
lb,20000,6,expert_input_h_basis,H:M,2.1664143648445373,0.6858582488754514,1.4805561159690859
lb,20000,6,expert_input_h_basis,H:T,3.6501185314228537,1.1989918873348817,2.4511266440879718
lb,20000,7,expert_input_h_basis,H:M,1.453364528732308,0.41219647504025303,1.0411680536920551
lb,20000,7,expert_input_h_basis,H:T,3.2170498074744334,0.6796014333784898,2.5374483740959435
lb,20000,8,expert_input_h_basis,H:M,1.4907640971071165,0.4395830303354459,1.0511810667716706
lb,20000,8,expert_input_h_basis,H:T,2.908398084087405,0.7260112542187559,2.182386829868649
lb,20000,9,expert_input_h_basis,H:M,1.8332576722318863,0.5499654611942024,1.2832922110376839
lb,20000,9,expert_input_h_basis,H:T,3.1215510379090827,0.6796016164296018,2.441949421479481
lb,20000,10,expert_input_h_basis,H:M,1.4314250850143806,0.3001024580847103,1.1313226269296703
lb,20000,10,expert_input_h_basis,H:T,3.0143352992597325,0.3676672615516707,2.646668037708062
lb,20000,11,expert_input_h_basis,H:M,1.3796988802926609,0.07344788406843394,1.306250996224227
