start_record,end_record,start_global_step,end_global_step,loss_mean,loss_min,loss_max,batch_time_mean,num_records
162990,164800,40747,41200,3.2273036996134734,2.781,3.814,0.8562794036443954,1811
164801,166611,41200,41653,3.226549972390944,2.723,3.912,0.8556085035891773,1811
166612,168422,41653,42105,3.227352291551629,2.592,3.741,0.856322473771397,1811
168423,170233,42106,42558,3.226621755935947,2.761,3.79,0.8546874654886802,1811
170234,172044,42558,43011,3.2285665378244066,2.741,3.794,0.8574676974047487,1811
172045,173855,43011,43464,3.221250690226394,2.635,3.729,0.8546907785753727,1811
173856,175666,43464,43916,3.2213064605190502,2.712,3.908,0.8560397570403092,1811
175667,177477,43917,44369,3.2120127001656544,2.691,3.681,0.8561435670900055,1811
177478,179288,44369,44822,3.2180646051905026,2.755,3.761,0.8547465488680287,1811
179289,181099,44822,45275,3.2145118718939814,2.664,3.736,0.8576322473771397,1811
181100,181130,45275,45282,3.225806451612903,2.999,3.564,0.8538064516129032,31
