rank,pooled_eigenvalue,complex_old_variance,complex_new_variance,complex_update_variance,simple_old_variance,simple_new_variance,simple_update_variance,innovation_top2_mass
3010,4.050384320718245e-07,4.890240702752608e-07,4.879505238163526e-07,1.855844986086741e-06,3.0534542366560536e-07,3.390215094240181e-07,1.232496212954063e-06,3.3948805759143856e-05
3011,4.039503433693015e-07,4.7628368818887e-07,4.939882083878888e-07,1.8323459047533328e-06,3.039645222531414e-07,3.427495559603595e-07,1.2401695374213889e-06,0.00012871048817310527
3012,4.0266556654115495e-07,4.6206324506785657e-07,4.7246895132605104e-07,1.752977954731383e-06,3.189631483423476e-07,3.583477583787875e-07,1.2991594650958816e-06,6.969047550631801e-05
3013,4.01690707753832e-07,4.662337278867102e-07,4.915964837541587e-07,1.8051399515235363e-06,3.103206908022734e-07,3.397899100860286e-07,1.244895294544338e-06,0.00013880940518604096
3014,3.998375440874221e-07,4.5715112582409153e-07,4.80723014701382e-07,1.7638946065096346e-06,3.2420613741926244e-07,3.3844244210183985e-07,1.2777097462201482e-06,3.597182275652078e-05
3015,3.990901526720918e-07,4.797005781118173e-07,4.942388668839606e-07,1.8438900595219693e-06,3.02877231113312e-07,3.207142873984574e-07,1.1897018383052757e-06,7.26045668626548e-06
3016,3.9697698275430355e-07,4.725926418970818e-07,4.8654768139104e-07,1.815502117290412e-06,2.9996454877420196e-07,3.299672165783259e-07,1.2074063298573194e-06,0.00014923672961299526
3017,3.9669004064783915e-07,4.632213381032735e-07,5.055882465017937e-07,1.8225411320380153e-06,2.977797639504284e-07,3.213341300850001e-07,1.186025125749773e-06,7.478573023774923e-06
3018,3.9531041166726727e-07,4.966354878716299e-07,5.242370944105848e-07,1.940354907930745e-06,2.6470427345020105e-07,2.968240579285489e-07,1.0683286748618016e-06,3.920541108055233e-06
3019,3.9377090304681864e-07,4.73398702251956e-07,4.988849643486906e-07,1.8260275931169998e-06,2.8891293098733755e-07,3.150417659647375e-07,1.1475000379711026e-06,8.452308434298017e-05
3020,3.930537678313374e-07,4.845852327669572e-07,4.971586857164132e-07,1.8564782900957774e-06,2.75362649533386e-07,3.162611496916237e-07,1.1312993779339053e-06,1.2913059724668274e-05
3021,3.926027785650125e-07,4.511294175815541e-07,4.558195348674015e-07,1.7027999599090762e-06,3.076221140710793e-07,3.5699137582963625e-07,1.2719613573993398e-06,0.0001165062297771478
3022,3.897417329372303e-07,4.771206090583184e-07,4.689083946637591e-07,1.7830598951464075e-06,3.000840042377259e-07,3.1399686132067553e-07,1.174232501199757e-06,8.237609626380778e-06
3023,3.8911482605554096e-07,4.783678071323753e-07,5.006095604177948e-07,1.850778017670761e-06,2.7177526566305855e-07,3.068477708584383e-07,1.1056062405674511e-06,1.7464498552240277e-05
3024,3.878011708324648e-07,4.78184703589381e-07,4.958133479273058e-07,1.8487935453479152e-06,2.762357778068014e-07,3.021081016656047e-07,1.107901216844688e-06,9.85896828281272e-07
3025,3.8624188217877524e-07,4.496402687085841e-07,4.760563798070741e-07,1.7529436783099889e-06,2.9414860656881105e-07,3.262549440491634e-07,1.1907223324632766e-06,6.942687080804958e-05
3026,3.858488110453674e-07,4.507289348672008e-07,4.804120850791309e-07,1.7574861076339032e-06,2.966975637452173e-07,3.166881783170104e-07,1.1735525920166817e-06,1.6606606549831427e-06
3027,3.833011982484546e-07,4.710254875601132e-07,4.797629800649219e-07,1.7948947785482966e-06,2.79998236613456e-07,3.035421387157721e-07,1.1140321557793814e-06,0.00012035987610056394
3028,3.810538145382793e-07,4.7515412135624034e-07,4.77079369542044e-07,1.8084227834994999e-06,2.6717847001606376e-07,3.059207600326932e-07,1.0972836523650837e-06,7.231727119026575e-05
3029,3.7970795455574e-07,4.580600569391908e-07,4.685351237723758e-07,1.7467073649153747e-06,2.853042809595054e-07,3.080458691686751e-07,1.1409045757239558e-06,5.610835664910081e-05
3030,3.7834798461550204e-07,4.188030444106154e-07,4.7094792519698477e-07,1.6770052267551224e-06,2.910532094671987e-07,3.336972873541731e-07,1.2005235213719926e-06,4.066801977545351e-05
3031,3.7704887395507046e-07,4.506207907437542e-07,4.823933203566951e-07,1.7700122481146673e-06,2.757101238160537e-07,3.0057697949343307e-07,1.1012858969527247e-06,9.92081168557908e-05
3032,3.760948539619821e-07,4.4504129398562056e-07,4.546487565402596e-07,1.6946072806055887e-06,2.84306034244629e-07,3.2148625497858904e-07,1.1551398716712826e-06,0.00010430672916873001
3033,3.7461970915399165e-07,4.5774669896334536e-07,4.859046730729492e-07,1.789238493625875e-06,2.569118006945867e-07,2.9901425389051316e-07,1.0617871425765532e-06,2.7204726960174345e-05
3034,3.741332990829055e-07,4.794718513607108e-07,4.974137362724018e-07,1.8556524641469687e-06,2.482709904927091e-07,2.7247378495563614e-07,1.002733824096921e-06,5.5101528760228093e-05
3035,3.73611561833343e-07,4.5506817829380515e-07,4.641551121356094e-07,1.7510062652773817e-06,2.788709241005893e-07,2.974476656985805e-07,1.1078912157320923e-06,6.368486226445769e-05
3036,3.71717802174283e-07,4.0407962257298143e-07,4.438834404528046e-07,1.5882746656933191e-06,3.0622117164516113e-07,3.3377705593449055e-07,1.22800851041703e-06,7.837513859210666e-05
3037,3.705479896305991e-07,4.222108859745134e-07,4.68491103223057e-07,1.6781392760400302e-06,2.830438717009858e-07,3.095327500830559e-07,1.1379854085138023e-06,1.8224320080911215e-05
3038,3.7000447663553077e-07,4.650594590266679e-07,4.820939145401939e-07,1.7975831958692096e-06,2.486841077408361e-07,2.8526548203721575e-07,1.0191081296790882e-06,7.6192805878910135e-06
3039,3.669845248724665e-07,4.320778964932547e-07,4.677322343988636e-07,1.6906294023058141e-06,2.684794394364836e-07,3.007247309676927e-07,1.090385365239594e-06,8.431628598416111e-05
3040,3.664051595989654e-07,4.4344414702821463e-07,4.6252715133500904e-07,1.7222087694527668e-06,2.605190167211935e-07,3.0020482249954723e-07,1.0719878997357774e-06,8.482011002161944e-06
3041,3.66238313947396e-07,4.253396256728971e-07,4.5077624161893586e-07,1.6570797761813731e-06,2.798340649248635e-07,3.100773372780028e-07,1.1367442819013244e-06,0.00014397528508940856
3042,3.6357074728591304e-07,4.307589143844469e-07,4.6194238002604375e-07,1.688701592360853e-06,2.6893567946539624e-07,2.9371220683951665e-07,1.0722664958398084e-06,7.94348718157499e-06
3043,3.621051588877499e-07,4.351339521082951e-07,4.660593027046586e-07,1.7071537878173844e-06,2.6285519750871026e-07,2.8543407444573864e-07,1.0458178728102084e-06,8.403707461902357e-05
3044,3.6148875100864615e-07,4.248636099241225e-07,4.566187169484739e-07,1.665742996966774e-06,2.727776504957503e-07,2.927551115789549e-07,1.0818693792828226e-06,6.98984732620733e-05
3045,3.611953793573866e-07,4.2719606691785526e-07,4.5765795948524796e-07,1.6818306881016887e-06,2.64079176509382e-07,2.969075353204929e-07,1.0758428360844857e-06,2.299605527486675e-05
3046,3.592867594731632e-07,4.4158693919435747e-07,4.6503453475586405e-07,1.7173737837419222e-06,2.4863328976063976e-07,2.829459032900047e-07,1.010524812048865e-06,0.00020908900765666282
3047,3.5883308083961293e-07,4.181372206957323e-07,4.543888827362695e-07,1.6536346388024479e-06,2.630937925654072e-07,3.0076472770621647e-07,1.0825639196837624e-06,5.834740388436809e-06
3048,3.570492204000832e-07,4.0404593222556517e-07,4.494936233181452e-07,1.6182978762297136e-06,2.7222667934885753e-07,3.034777115031829e-07,1.1027055876143774e-06,0.00011285186946303771
3049,3.555409790690063e-07,4.3309556558662324e-07,4.5645405243052966e-07,1.6909271568125634e-06,2.459296064417069e-07,2.8772733132790287e-07,1.0182088025048933e-06,0.0001936471624324383
3050,3.543831651605262e-07,4.3679232827246404e-07,4.606647316843997e-07,1.7056163948140236e-06,2.43997923975402e-07,2.77116923803047e-07,9.90036386511351e-07,9.419905922214249e-05
3051,3.538337626837947e-07,4.1831700149421247e-07,4.542947559391068e-07,1.6481897314090738e-06,2.5727458974258986e-07,2.864863398789356e-07,1.0444534287153949e-06,5.460791585544544e-05
3052,3.526662779805912e-07,4.362042808953188e-07,4.635709366025338e-07,1.7167579788219682e-06,2.431376015913109e-07,2.687865040076284e-07,9.777183203980101e-07,3.6582763649557255e-05
3053,3.5190190348379223e-07,4.289505060097274e-07,4.6606590365666775e-07,1.6960102074387963e-06,2.4549196437171685e-07,2.681312094393866e-07,9.813269627057868e-07,2.9016122545380298e-05
3054,3.4973178863341544e-07,4.226230618865667e-07,4.345335689417412e-07,1.613868603390309e-06,2.5186034629785915e-07,2.9093578443109926e-07,1.0360078424432428e-06,5.494510401229155e-05
3055,3.492429764438654e-07,4.0241215554764433e-07,4.4434793951182524e-07,1.6084723475352082e-06,2.637701373566716e-07,2.8746584656428973e-07,1.0554241920664908e-06,2.500072365091588e-05
3056,3.4902339598681527e-07,4.1823356062375454e-07,4.6071116789791506e-07,1.666973719812313e-06,2.483827515556537e-07,2.697896362473315e-07,9.901334660176707e-07,2.9435728654727574e-05
3057,3.475295805440012e-07,4.248007495556804e-07,4.4466023254741294e-07,1.6489302961829017e-06,2.478603574825042e-07,2.738161348513645e-07,9.99330124452282e-07,3.2803474092195024e-05
3058,3.468881686481953e-07,4.2581002110148746e-07,4.493594108582489e-07,1.6554070131676399e-06,2.453368063372501e-07,2.680637020202129e-07,9.809317495523371e-07,8.989706334178464e-05
3059,3.454046723511768e-07,4.213990895532681e-07,4.417062721680851e-07,1.639591569039957e-06,2.5312538152492566e-07,2.6640086481553255e-07,9.963595159943715e-07,3.688003676150248e-05
3060,3.4441445508424845e-07,4.174090891856455e-07,4.3366804224233717e-07,1.6154134276389732e-06,2.500696412440708e-07,2.7752105919819654e-07,1.0109196677200689e-06,3.710741807978696e-05
3061,3.420626863604202e-07,3.8994583252265505e-07,4.2494823457807e-07,1.5450307860652242e-06,2.5446056717848626e-07,2.9989922666841136e-07,1.0649647869440325e-06,2.0096051098129924e-05
3062,3.405923060489923e-07,4.197423040163902e-07,4.479067315065176e-07,1.6469778626290385e-06,2.3167428296935915e-07,2.6404470889758494e-07,9.497000806231601e-07,1.09236819651543e-05
3063,3.3969579134359805e-07,4.2116346260570993e-07,4.5099105457849624e-07,1.6479407906595177e-06,2.264205234157596e-07,2.6120430057387093e-07,9.334825455602831e-07,3.8082813122937044e-05
3064,3.390445108018168e-07,4.16000494616076e-07,4.3524722974703435e-07,1.6257333772821007e-06,2.3763631904581815e-07,2.6828826400652536e-07,9.693093837299832e-07,1.5492660900929907e-05
3065,3.3831793035729696e-07,4.050893033697593e-07,4.2719847704123186e-07,1.5734713284234013e-06,2.450536506950854e-07,2.769224231188596e-07,1.0013239260288447e-06,9.993034456952839e-05
3066,3.36404795108309e-07,4.1522889029688064e-07,4.224081205924068e-07,1.5902630358492307e-06,2.400544408476579e-07,2.689142541269717e-07,9.783408187877352e-07,4.713783343489314e-05
3067,3.3566918737430984e-07,4.083409008182069e-07,4.2534681079494016e-07,1.5814122893208773e-06,2.396586954449294e-07,2.7031470837135875e-07,9.736192113490119e-07,0.00019013693401685082
3068,3.329708822397866e-07,3.9158021054045004e-07,4.165137953864306e-07,1.5402217414456046e-06,2.514142406675149e-07,2.733517397142427e-07,1.0106849695957567e-06,0.00017245977745559575
3069,3.316604051577848e-07,4.1198215613467543e-07,4.20504472717412e-07,1.5833683862440396e-06,2.3048691302241738e-07,2.6464069135814854e-07,9.443306921385824e-07,0.0001037490909527571
3070,3.3098258718929543e-07,4.01309377698434e-07,4.224819651239163e-07,1.561533918813992e-06,2.3976514116670655e-07,2.6134448846021583e-07,9.570075631135002e-07,6.0062355314189104e-05
3071,3.3028766458061946e-07,4.093749123324257e-07,4.1737434538898164e-07,1.5723704696685204e-06,2.2541283568071728e-07,2.6995715300917407e-07,9.51710853955365e-07,7.900711251366567e-06
3072,3.2955925510217826e-07,4.079788832609744e-07,4.170655944602614e-07,1.5718989140066556e-06,2.363490500261587e-07,2.578099427730433e-07,9.487596006206342e-07,1.664270682775321e-05
3073,3.284699215553879e-07,3.8390337604113145e-07,4.0521381639326563e-07,1.4884064149635324e-06,2.468393166007471e-07,2.788864310236941e-07,1.0145633018510548e-06,1.1260273078539184e-05
3074,3.274556235959867e-07,3.9529308480452656e-07,4.151735944361126e-07,1.540234497990907e-06,2.326563991136179e-07,2.6765969614071055e-07,9.594780260682025e-07,7.6218366618796026e-06
3075,3.2526331713636236e-07,4.0276395939412433e-07,4.1826221862692814e-07,1.5569180695042208e-06,2.2045257234760565e-07,2.605283728324887e-07,9.179074634226718e-07,0.00011582939455701673
