distribution,optimizer,loss,batch,batch_size,lr,seed,common_stable_step,tail_stable_step,all_stable_step,tail_common_step_ratio,final_population_loss,final_macro_loss,final_common_loss,final_tail_loss,final_common_accuracy,final_tail_accuracy,final_all_accuracy,final_parameter_top1_energy,final_parameter_effective_rank,final_parameter_condition_nonzero,final_gradient_top1_energy,final_gradient_effective_rank,final_gradient_condition_nonzero,final_update_top1_energy,final_update_effective_rank,final_update_condition_nonzero,final_common_function_update_norm,final_tail_function_update_norm,final_tail_to_common_update_ratio,final_batch_unique_fraction,final_batch_tail_unique_fraction
zipf90,adam,balanced,16,16,0.1,1,1,19,19,19.0,0.00290108285844326,0.005535309202969074,0.0024958173744380474,0.00654847314581275,1.0,1.0,1.0,0.15687566995620728,13.407106399536133,4.339882850646973,0.8141592741012573,1.6388509273529053,132.16111755371094,0.2687947750091553,9.023170471191406,24.58305549621582,0.04534495621919632,0.045893073081970215,1.0120877027511597,0.375,0.16666666666666666
zipf90,adam,balanced,16,16,0.1,2,1,14,14,14.0,0.002753648441284895,0.005257504992187023,0.0023684401530772448,0.006220525596290827,1.0,1.0,1.0,0.12828925251960754,13.780132293701172,3.5408120155334473,0.9891736507415771,1.0728249549865723,76.73997497558594,0.1987440288066864,9.886608123779297,609.9503784179688,0.04352179169654846,0.0316021591424942,0.7261226773262024,0.3125,0.08333333333333333
zipf90,muon,raw,population,0,0.1,0,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.10765241086483002,14.806085586547852,82.94249725341797,0.0,0.0,0.0,0.13948708772659302,13.518975257873535,243.95529174804688,1.0130268335342407,0.6390772461891174,0.6308591365814209,1.0,1.0
zipf90,muon,raw,population,0,0.1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.10758478939533234,14.805665969848633,82.48234558105469,0.0,0.0,0.0,0.1397360861301422,13.53701114654541,243.88278198242188,1.0142054557800293,0.6402535438537598,0.6312858462333679,1.0,1.0
zipf90,muon,raw,population,0,0.1,2,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.10727233439683914,14.808574676513672,82.72411346435547,0.0,0.0,0.0,0.14138996601104736,13.480998992919922,249.49497985839844,1.0161187648773193,0.6369954943656921,0.6268907785415649,1.0,1.0
zipf90,muon,raw,64,64,0.1,0,1,10,10,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.08711719512939453,14.832242012023926,172.31314086914062,0.0,0.0,0.0,0.17472127079963684,12.401524543762207,836.5630493164062,0.9832626581192017,0.5221314430236816,0.5310192704200745,0.6875,0.5833333333333334
zipf90,muon,raw,64,64,0.1,1,1,4,4,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.08797167986631393,14.851938247680664,163.72593688964844,0.0,0.0,0.0,0.17561785876750946,12.00259017944336,667.7646484375,0.995469868183136,0.5154687166213989,0.5178144574165344,0.5625,0.4166666666666667
zipf90,muon,raw,64,64,0.1,2,1,3,3,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.09483730792999268,14.791707992553711,111.85975646972656,0.0,0.0,0.0,0.17210204899311066,12.437461853027344,401.9105224609375,0.977629542350769,0.5391051769256592,0.5514411926269531,0.5625,0.4166666666666667
zipf90,muon,raw,16,16,0.1,0,1,39,39,39.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.08326878398656845,14.8319091796875,190.36756896972656,0.0,0.0,0.0,0.16688759624958038,12.410953521728516,875.1649169921875,0.9227548837661743,0.49766722321510315,0.5393276214599609,0.25,0.0
zipf90,muon,raw,16,16,0.1,1,1,15,15,15.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0838431790471077,14.783500671386719,179.2041473388672,0.0,0.0,0.0,0.17931923270225525,12.111124038696289,832.0740966796875,0.939588725566864,0.4799513816833496,0.5108100771903992,0.375,0.16666666666666666
zipf90,muon,raw,16,16,0.1,2,1,10,10,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.09001889824867249,14.729454040527344,155.43963623046875,0.0,0.0,0.0,0.1876886636018753,11.91645622253418,670.0484619140625,0.9428377151489258,0.49360838532447815,0.5235348343849182,0.3125,0.08333333333333333
zipf90,muon,balanced,population,0,0.1,0,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.07100122421979904,15.212394714355469,4.371301174163818,0.0,0.0,0.0,0.08371564745903015,15.001399040222168,9.090261459350586,0.754286527633667,0.7566366195678711,1.0031156539916992,1.0,1.0
zipf90,muon,balanced,population,0,0.1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.07085161656141281,15.208727836608887,4.403596878051758,0.0,0.0,0.0,0.08311525732278824,14.989850997924805,9.07824420928955,0.7612377405166626,0.749342143535614,0.9843733310699463,1.0,1.0
zipf90,muon,balanced,population,0,0.1,2,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.07118367403745651,15.215705871582031,4.34377908706665,0.0,0.0,0.0,0.08433797955513,15.014012336730957,9.003573417663574,0.7666549682617188,0.7490551471710205,0.9770433902740479,1.0,1.0
zipf90,muon,balanced,64,64,0.1,0,1,10,10,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.08946962654590607,14.95451545715332,11.243839263916016,0.0,0.0,0.0,0.15277104079723358,14.073321342468262,65.41610717773438,0.6747624278068542,0.7425091862678528,1.1004009246826172,0.6875,0.5833333333333334
zipf90,muon,balanced,64,64,0.1,1,1,4,4,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0900379866361618,14.938058853149414,11.183327674865723,0.0,0.0,0.0,0.1454174518585205,14.221695899963379,70.9788589477539,0.7070545554161072,0.7829828858375549,1.107386827468872,0.5625,0.4166666666666667
zipf90,muon,balanced,64,64,0.1,2,1,3,3,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0947042927145958,14.973649024963379,10.388715744018555,0.0,0.0,0.0,0.1451592892408371,14.341797828674316,54.2165641784668,0.6689064502716064,0.720282256603241,1.0768057107925415,0.5625,0.4166666666666667
zipf90,muon,balanced,16,16,0.1,0,1,39,39,39.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.08150257915258408,14.837264060974121,18.874670028686523,0.0,0.0,0.0,0.09065384417772293,14.698540687561035,61.378448486328125,0.7684780955314636,0.7861084342002869,1.0229419469833374,0.25,0.0
zipf90,muon,balanced,16,16,0.1,1,1,15,15,15.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.08071417361497879,14.961183547973633,14.456754684448242,0.0,0.0,0.0,0.15476378798484802,14.083457946777344,92.41362762451172,0.6732777953147888,0.7427439093589783,1.1031759977340698,0.375,0.16666666666666666
zipf90,muon,balanced,16,16,0.1,2,1,10,10,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.08979039639234543,14.860590934753418,17.482892990112305,0.0,0.0,0.0,0.14800722897052765,13.745963096618652,117.2181625366211,0.6958209276199341,0.7893187403678894,1.1343705654144287,0.3125,0.08333333333333333
